Gene,GCF_000007545,GCF_000020745,GCF_000020885,GCF_000020925,GCF_000022165,GCF_000170215,GCF_000171415,GCF_000171515,GCF_000171535
AJBGEP_00178,peppan_g_169,peppan_g_4669,peppan_g_9219,peppan_g_13716,peppan_g_18341,peppan_g_23435,peppan_g_30076,peppan_g_32577,peppan_g_38267
AJBGEP_00181,peppan_g_172,peppan_g_4672,peppan_g_9222,peppan_g_13719,peppan_g_18344,peppan_g_23438,peppan_g_30073,peppan_g_32574,peppan_g_38264
AJBGEP_00221,peppan_g_207,peppan_g_4711,peppan_g_9263,peppan_g_13759,peppan_g_18384,peppan_g_23478,peppan_g_30033,peppan_g_32527,peppan_g_38217
AJBGEP_00235,peppan_g_219,peppan_g_4724,peppan_g_9275,peppan_g_13772,peppan_g_18396,peppan_g_23490,peppan_g_30021,peppan_g_32515,peppan_g_38205
AJBGEP_00236,peppan_g_220,peppan_g_4725,peppan_g_9276,peppan_g_13773,peppan_g_18397,peppan_g_23491,peppan_g_30020,peppan_g_32514,peppan_g_38204
AJBGEP_00240,peppan_g_224,peppan_g_4729,peppan_g_9280,peppan_g_13777,peppan_g_18401,peppan_g_23495,peppan_g_30016,peppan_g_32005,peppan_g_38200
AJBGEP_00248,peppan_g_233,peppan_g_4737,peppan_g_9288,peppan_g_13785,peppan_g_18409,peppan_g_23503,peppan_g_30008,peppan_g_32013,peppan_g_38192
AJBGEP_00261,peppan_g_247,peppan_g_4750,peppan_g_9301,peppan_g_13798,peppan_g_18422,peppan_g_23516,peppan_g_29995,peppan_g_32029,peppan_g_38179
AJBGEP_00262,peppan_g_248,peppan_g_4751,peppan_g_9302,peppan_g_13799,peppan_g_18423,peppan_g_23517,peppan_g_29994,peppan_g_32030,peppan_g_38178
AJBGEP_00317,peppan_g_2496,peppan_g_4800,peppan_g_9329,peppan_g_13848,peppan_g_18472,peppan_g_23564,peppan_g_29139,peppan_g_35127,peppan_g_38140
AJBGEP_00324,peppan_g_2488,peppan_g_4807,peppan_g_9336,peppan_g_13854,peppan_g_18479,peppan_g_23571,peppan_g_29147,peppan_g_35120,peppan_g_38133
AJBGEP_00332,peppan_g_2468,peppan_g_4827,peppan_g_9347,peppan_g_13864,peppan_g_18489,peppan_g_23581,peppan_g_29157,peppan_g_35110,peppan_g_38113
AJBGEP_00338,peppan_g_2463,peppan_g_4832,peppan_g_9352,peppan_g_13869,peppan_g_18494,peppan_g_23586,peppan_g_29162,peppan_g_35105,peppan_g_38108
AJBGEP_00358,peppan_g_2455,peppan_g_4853,peppan_g_9372,peppan_g_13890,peppan_g_18513,peppan_g_23604,peppan_g_29180,peppan_g_35084,peppan_g_38087
AJBGEP_00369,peppan_g_2444,peppan_g_4864,peppan_g_9383,peppan_g_13901,peppan_g_18524,peppan_g_23615,peppan_g_29191,peppan_g_35073,peppan_g_38076
AJBGEP_00380,peppan_g_2438,peppan_g_4874,peppan_g_9393,peppan_g_13911,peppan_g_18534,peppan_g_23625,peppan_g_29201,peppan_g_35063,peppan_g_38066
AJBGEP_00390,peppan_g_2428,peppan_g_4884,peppan_g_9403,peppan_g_13921,peppan_g_18544,peppan_g_23635,peppan_g_29211,peppan_g_35053,peppan_g_38056
AJBGEP_00400,peppan_g_2418,peppan_g_4894,peppan_g_9413,peppan_g_13931,peppan_g_18554,peppan_g_23645,peppan_g_29221,peppan_g_35043,peppan_g_38046
AJBGEP_00409,peppan_g_2409,peppan_g_4903,peppan_g_9422,peppan_g_13940,peppan_g_18563,peppan_g_23654,peppan_g_29230,peppan_g_35034,peppan_g_38037
AJBGEP_00414,peppan_g_2404,peppan_g_4908,peppan_g_9427,peppan_g_13945,peppan_g_18568,peppan_g_23659,peppan_g_29235,peppan_g_35029,peppan_g_38032
AJBGEP_00433,peppan_g_2385,peppan_g_4924,peppan_g_9443,peppan_g_13963,peppan_g_18586,peppan_g_23677,peppan_g_29253,peppan_g_35011,peppan_g_38014
AJBGEP_00434,peppan_g_2384,peppan_g_4925,peppan_g_9444,peppan_g_13964,peppan_g_18587,peppan_g_23678,peppan_g_29254,peppan_g_35010,peppan_g_38013
AJBGEP_00452,peppan_g_2366,peppan_g_4943,peppan_g_9462,peppan_g_13982,peppan_g_18605,peppan_g_23696,peppan_g_29272,peppan_g_34992,peppan_g_37995
AJBGEP_00465,peppan_g_2352,peppan_g_4954,peppan_g_9475,peppan_g_13995,peppan_g_18618,peppan_g_23709,peppan_g_29285,peppan_g_34979,peppan_g_37982
AJBGEP_00481,peppan_g_2336,peppan_g_4969,peppan_g_9490,peppan_g_14010,peppan_g_18633,peppan_g_23724,peppan_g_29300,peppan_g_34964,peppan_g_37967
AJBGEP_00484,peppan_g_2333,peppan_g_4972,peppan_g_9493,peppan_g_14013,peppan_g_18636,peppan_g_23727,peppan_g_29303,peppan_g_34961,peppan_g_37964
AJBGEP_00494,peppan_g_2323,peppan_g_4982,peppan_g_9503,peppan_g_14023,peppan_g_18646,peppan_g_23737,peppan_g_29313,peppan_g_34951,peppan_g_37954
AJBGEP_00498,peppan_g_2319,peppan_g_4986,peppan_g_9507,peppan_g_14027,peppan_g_18650,peppan_g_23741,peppan_g_29317,peppan_g_34947,peppan_g_37950
AJBGEP_00501,peppan_g_2316,peppan_g_4989,peppan_g_9510,peppan_g_14030,peppan_g_18653,peppan_g_23744,peppan_g_29320,peppan_g_34944,peppan_g_37947
AJBGEP_00530,peppan_g_2288,peppan_g_5017,peppan_g_9539,peppan_g_14058,peppan_g_18681,peppan_g_23772,peppan_g_29348,peppan_g_34916,peppan_g_37919
AJBGEP_00532,peppan_g_2287,peppan_g_5018,peppan_g_9540,peppan_g_14059,peppan_g_18682,peppan_g_23773,peppan_g_29349,peppan_g_34915,peppan_g_37918
AJBGEP_00575,peppan_g_2247,peppan_g_5042,peppan_g_9582,peppan_g_14101,peppan_g_18724,peppan_g_23815,peppan_g_29391,peppan_g_34873;peppan_g_36339,peppan_g_37876
AJBGEP_00589,peppan_g_2234,peppan_g_5190,peppan_g_9597,peppan_g_14180,peppan_g_18739,peppan_g_23830,peppan_g_29465,peppan_g_34807,peppan_g_37857
AJBGEP_00605,peppan_g_2226,peppan_g_5195,peppan_g_9605,peppan_g_14188,peppan_g_18754,peppan_g_23845,peppan_g_29473,peppan_g_34792,peppan_g_37849
AJBGEP_00611,peppan_g_2220,peppan_g_5201,peppan_g_9611,peppan_g_14194,peppan_g_18760,peppan_g_23851,peppan_g_29479,peppan_g_34786,peppan_g_37843
AJBGEP_00655,peppan_g_2176,peppan_g_5244,peppan_g_9654,peppan_g_14237,peppan_g_18803,peppan_g_23894,peppan_g_29522,peppan_g_34743,peppan_g_37800
AJBGEP_00662,peppan_g_2169,peppan_g_5251,peppan_g_9661,peppan_g_14244,peppan_g_18810,peppan_g_23901,peppan_g_29529,peppan_g_32235,peppan_g_37793
AJBGEP_00670,peppan_g_2161,peppan_g_5259,peppan_g_9669,peppan_g_14252,peppan_g_18818,peppan_g_23909,peppan_g_29537,peppan_g_32227,peppan_g_37785
AJBGEP_00691,peppan_g_2147,peppan_g_5272,peppan_g_9689,peppan_g_14272,peppan_g_18838,peppan_g_23929,peppan_g_29557,peppan_g_32207,peppan_g_37765
AJBGEP_00693,peppan_g_2145,peppan_g_5274,peppan_g_9691,peppan_g_14274,peppan_g_18840,peppan_g_23931,peppan_g_29559,peppan_g_32205,peppan_g_37763
AJBGEP_00715,peppan_g_2131,peppan_g_5291,peppan_g_9709,peppan_g_14289,peppan_g_18855,peppan_g_23946,peppan_g_27594,peppan_g_32191,peppan_g_37749
AJBGEP_00752,peppan_g_2093,peppan_g_5329,peppan_g_9735,peppan_g_14315,peppan_g_18893,peppan_g_23984,peppan_g_27556,peppan_g_32264,peppan_g_37711
AJBGEP_00755,peppan_g_2090,peppan_g_5332,peppan_g_9738,peppan_g_14318,peppan_g_18896,peppan_g_23987,peppan_g_27553,peppan_g_32267,peppan_g_37708
AJBGEP_00763,peppan_g_2082,peppan_g_5340,peppan_g_9746,peppan_g_14326,peppan_g_18904,peppan_g_23995,peppan_g_27545,peppan_g_32275,peppan_g_37700
AJBGEP_00772,peppan_g_2074,peppan_g_5348,peppan_g_9754,peppan_g_14334,peppan_g_18912,peppan_g_24003,peppan_g_27537,peppan_g_32283,peppan_g_37692
AJBGEP_00795,peppan_g_2065,peppan_g_5357,peppan_g_9772,peppan_g_14352,peppan_g_18930,peppan_g_24021,peppan_g_28466,peppan_g_32943,peppan_g_37674
AJBGEP_00827,peppan_g_2033,peppan_g_5389,peppan_g_9804,peppan_g_14384,peppan_g_18962,peppan_g_24053,peppan_g_28498,peppan_g_32911,peppan_g_37599
AJBGEP_00830,peppan_g_2030,peppan_g_5392,peppan_g_9807,peppan_g_14387,peppan_g_18965,peppan_g_24056,peppan_g_28501,peppan_g_32908,peppan_g_37596
AJBGEP_00842,peppan_g_2021,peppan_g_5401,peppan_g_9816,peppan_g_14396,peppan_g_18975,peppan_g_24065,peppan_g_28510,peppan_g_32899,peppan_g_37587
AJBGEP_00853,peppan_g_2010,peppan_g_5412,peppan_g_9828,peppan_g_14407,peppan_g_18986,peppan_g_24076,peppan_g_28528,peppan_g_32888,peppan_g_37576
AJBGEP_00863,peppan_g_1999,peppan_g_5422,peppan_g_9838,peppan_g_14417,peppan_g_18996,peppan_g_24086,peppan_g_28538,peppan_g_32878,peppan_g_37566
AJBGEP_00872,peppan_g_1992,peppan_g_5429,peppan_g_9848,peppan_g_14427,peppan_g_19006,peppan_g_24096,peppan_g_28548,peppan_g_32868,peppan_g_37556
AJBGEP_00878,peppan_g_1986,peppan_g_5435,peppan_g_9854,peppan_g_14433,peppan_g_19012,peppan_g_24102,peppan_g_28554,peppan_g_32862,peppan_g_37550
AJBGEP_00894,peppan_g_1979,peppan_g_5451,peppan_g_9861,peppan_g_14449,peppan_g_19028,peppan_g_24118,peppan_g_28570,peppan_g_32846,peppan_g_37534
AJBGEP_00898,peppan_g_1975,peppan_g_5455,peppan_g_9865,peppan_g_14453,peppan_g_19032,peppan_g_24122,peppan_g_28574,peppan_g_32842,peppan_g_37530
AJBGEP_00902,peppan_g_1972,peppan_g_5458,peppan_g_9868,peppan_g_14456,peppan_g_19035,peppan_g_24125,peppan_g_28577,peppan_g_32839,peppan_g_37527
AJBGEP_00913,peppan_g_1961,peppan_g_5469,peppan_g_9879,peppan_g_14467,peppan_g_19046,peppan_g_24136,peppan_g_28588,peppan_g_32828,peppan_g_37516
AJBGEP_00918,peppan_g_1956,peppan_g_5474,peppan_g_9884,peppan_g_14472,peppan_g_19051,peppan_g_24141,peppan_g_28593,peppan_g_32823,peppan_g_37511
AJBGEP_00920,peppan_g_1954,peppan_g_5476,peppan_g_9886,peppan_g_14474,peppan_g_19053,peppan_g_24143,peppan_g_28595,peppan_g_32821,peppan_g_37509
AJBGEP_00930,peppan_g_1944,peppan_g_5486,peppan_g_9896,peppan_g_14484,peppan_g_19063,peppan_g_24153,peppan_g_28605,peppan_g_32811,peppan_g_37499
AJBGEP_00933,peppan_g_1941,peppan_g_5489,peppan_g_9899,peppan_g_14487,peppan_g_19066,peppan_g_24156,peppan_g_28608,peppan_g_32808,peppan_g_37496
AJBGEP_00957,peppan_g_1921,peppan_g_5507,peppan_g_9924,peppan_g_14507,peppan_g_19088,peppan_g_24177,peppan_g_28629,peppan_g_32787,peppan_g_37473
AJBGEP_00965,peppan_g_1913,peppan_g_5515,peppan_g_9932,peppan_g_14515,peppan_g_19096,peppan_g_24185,peppan_g_28637,peppan_g_32779,peppan_g_37465
AJBGEP_00975,peppan_g_1903,peppan_g_5525,peppan_g_9942,peppan_g_14525,peppan_g_19106,peppan_g_24195,peppan_g_28647,peppan_g_32769,peppan_g_37455
AJBGEP_00976,peppan_g_1902,peppan_g_5526,peppan_g_9943,peppan_g_14526,peppan_g_19107,peppan_g_24196,peppan_g_28648,peppan_g_32768,peppan_g_37454
AJBGEP_00989,peppan_g_1889,peppan_g_5539,peppan_g_9956,peppan_g_14539,peppan_g_19120,peppan_g_24209,peppan_g_28661,peppan_g_31991,peppan_g_37441
AJBGEP_00993,peppan_g_1885,peppan_g_5543,peppan_g_9960,peppan_g_14543,peppan_g_19124,peppan_g_24213,peppan_g_28665,peppan_g_31995,peppan_g_37437
AJBGEP_00997,peppan_g_1881,peppan_g_5544,peppan_g_9964,peppan_g_14547,peppan_g_19128,peppan_g_24217,peppan_g_28669,peppan_g_31999,peppan_g_37433
AJBGEP_01063,peppan_g_1809,peppan_g_5552,peppan_g_9972,peppan_g_14610,peppan_g_19193,peppan_g_24225,peppan_g_27703,peppan_g_31930,peppan_g_37369
AJBGEP_01105,peppan_g_1768,peppan_g_5592,peppan_g_10013,peppan_g_14650,peppan_g_19233,peppan_g_24265,peppan_g_27743,peppan_g_32475,peppan_g_37329
AJBGEP_01138,peppan_g_1737,peppan_g_5623,peppan_g_10923,peppan_g_15608,peppan_g_19264,peppan_g_24296,peppan_g_27911,peppan_g_32444,peppan_g_37298
AJBGEP_01147,peppan_g_1729,peppan_g_5631,peppan_g_10915,peppan_g_15600,peppan_g_19272,peppan_g_24304,peppan_g_27919,peppan_g_32436,peppan_g_37290
AJBGEP_01162,peppan_g_1715,peppan_g_5645,peppan_g_10901,peppan_g_15586,peppan_g_19286,peppan_g_24318,peppan_g_27933,peppan_g_32422,peppan_g_37276
AJBGEP_01163,peppan_g_1714,peppan_g_5646,peppan_g_10900,peppan_g_15585,peppan_g_19287,peppan_g_24319,peppan_g_27934,peppan_g_32421,peppan_g_37275
AJBGEP_01173,peppan_g_1704,peppan_g_5656,peppan_g_10890,peppan_g_15575,peppan_g_19297,peppan_g_24329,peppan_g_27944,peppan_g_32411,peppan_g_37265
AJBGEP_01202,peppan_g_1676,peppan_g_5690,peppan_g_10862,peppan_g_15547,peppan_g_19325,peppan_g_24357,peppan_g_27972,peppan_g_32388,peppan_g_37237
AJBGEP_01205,peppan_g_1673,peppan_g_5693,peppan_g_10859,peppan_g_15544,peppan_g_19328,peppan_g_24360,peppan_g_27975,peppan_g_32385,peppan_g_37234
AJBGEP_01211,peppan_g_1667,peppan_g_5699,peppan_g_10853,peppan_g_15538,peppan_g_19334,peppan_g_24366,peppan_g_27981,peppan_g_32379,peppan_g_37228
AJBGEP_01217,peppan_g_1660,peppan_g_5706,peppan_g_10846,peppan_g_15531,peppan_g_19341,peppan_g_24373,peppan_g_27988,peppan_g_32372,peppan_g_37221
AJBGEP_01221,peppan_g_1656,peppan_g_5710,peppan_g_10842,peppan_g_15527,peppan_g_19345,peppan_g_24377,peppan_g_27992,peppan_g_32368,peppan_g_37217
AJBGEP_01227,peppan_g_1650,peppan_g_5716,peppan_g_10836,peppan_g_15521,peppan_g_19351,peppan_g_24383,peppan_g_27998,peppan_g_32362,peppan_g_37211
AJBGEP_01228,peppan_g_1649,peppan_g_5717,peppan_g_10835,peppan_g_15520,peppan_g_19352,peppan_g_24384,peppan_g_27999,peppan_g_32361,peppan_g_37210
AJBGEP_01236,peppan_g_1643,peppan_g_5723,peppan_g_10829,peppan_g_15514,peppan_g_19359,peppan_g_24390,peppan_g_28005,peppan_g_32355,peppan_g_37204
AJBGEP_01240,peppan_g_1639,peppan_g_5727,peppan_g_10825,peppan_g_15510,peppan_g_19363,peppan_g_24394,peppan_g_28009,peppan_g_32351,peppan_g_37200
AJBGEP_01314,peppan_g_1082,peppan_g_5729,peppan_g_10823,peppan_g_15508,peppan_g_19429,peppan_g_24458,peppan_g_28076,peppan_g_32349,peppan_g_37198
AJBGEP_01334,peppan_g_1104,peppan_g_5751,peppan_g_10803,peppan_g_15490,peppan_g_19447,peppan_g_24476,peppan_g_28094,peppan_g_32331,peppan_g_37180
AJBGEP_01373,peppan_g_1141,peppan_g_5788,peppan_g_10766,peppan_g_15445,peppan_g_19484,peppan_g_24513,peppan_g_31845,peppan_g_32744,peppan_g_37144
AJBGEP_01448,peppan_g_1202,peppan_g_5858,peppan_g_10696,peppan_g_15373,peppan_g_19556,peppan_g_24585,peppan_g_31775,peppan_g_32674,peppan_g_36996
AJBGEP_01466,peppan_g_1220,peppan_g_5876,peppan_g_10678,peppan_g_15355,peppan_g_19574,peppan_g_24603,peppan_g_31757,peppan_g_32655,peppan_g_36977
AJBGEP_01472,peppan_g_1226,peppan_g_5882,peppan_g_10672,peppan_g_15349,peppan_g_19580,peppan_g_24609,peppan_g_31751,peppan_g_32649,peppan_g_36971
AJBGEP_01474,peppan_g_1228,peppan_g_5884,peppan_g_10670,peppan_g_15347,peppan_g_19582,peppan_g_24611,peppan_g_31749,peppan_g_32647,peppan_g_36969
AJBGEP_01492,peppan_g_1246,peppan_g_5902,peppan_g_10652,peppan_g_15329,peppan_g_19600,peppan_g_24629,peppan_g_31731,peppan_g_32629,peppan_g_36951
AJBGEP_01501,peppan_g_1255,peppan_g_5911,peppan_g_10643,peppan_g_15320,peppan_g_19609,peppan_g_24638,peppan_g_31722,peppan_g_32620,peppan_g_36942
AJBGEP_01502,peppan_g_1256,peppan_g_5912,peppan_g_10642,peppan_g_15319,peppan_g_19610,peppan_g_24639,peppan_g_31721,peppan_g_32619,peppan_g_36941
AJBGEP_01519,peppan_g_1269,peppan_g_5925,peppan_g_10629,peppan_g_15306,peppan_g_19623,peppan_g_24652,peppan_g_31708,peppan_g_31944,peppan_g_36928
AJBGEP_01524,peppan_g_1274,peppan_g_5930,peppan_g_10624,peppan_g_15301,peppan_g_19628,peppan_g_24657,peppan_g_31703,peppan_g_31949,peppan_g_36923
AJBGEP_01526,peppan_g_1276,peppan_g_5932,peppan_g_10622,peppan_g_15299,peppan_g_19630,peppan_g_24659,peppan_g_31701,peppan_g_31951,peppan_g_36921
AJBGEP_01527,peppan_g_1277,peppan_g_5933,peppan_g_10621,peppan_g_15298,peppan_g_19631,peppan_g_24660,peppan_g_31700,peppan_g_31952,peppan_g_36920
AJBGEP_01556,peppan_g_1306,peppan_g_5965,peppan_g_10590,peppan_g_15269,peppan_g_19660,peppan_g_24689,peppan_g_31671,peppan_g_32032,peppan_g_36891
AJBGEP_01563,peppan_g_1361,peppan_g_5972,peppan_g_10583,peppan_g_15262,peppan_g_19667,peppan_g_24696,peppan_g_31664,peppan_g_36331,peppan_g_36884
AJBGEP_01565,peppan_g_1364,peppan_g_5974,peppan_g_10581,peppan_g_15260,peppan_g_19669,peppan_g_24698,peppan_g_31662,peppan_g_36329,peppan_g_36882
AJBGEP_01622,peppan_g_1416,peppan_g_6027,peppan_g_10528,peppan_g_15207,peppan_g_19722,peppan_g_24751,peppan_g_31609,peppan_g_36276,peppan_g_36829
AJBGEP_01625,peppan_g_1419,peppan_g_6030,peppan_g_10525,peppan_g_15204,peppan_g_19725,peppan_g_24754,peppan_g_31606,peppan_g_36273,peppan_g_36826
AJBGEP_01649,peppan_g_1438,peppan_g_6059,peppan_g_10498,peppan_g_15191,peppan_g_19749,peppan_g_24778,peppan_g_31584,peppan_g_36251,peppan_g_36799
AJBGEP_01661,peppan_g_1446,peppan_g_6071,peppan_g_10484,peppan_g_15179,peppan_g_19761,peppan_g_24790,peppan_g_31572,peppan_g_36239,peppan_g_36787
AJBGEP_01684,peppan_g_1467,peppan_g_6094,peppan_g_10461,peppan_g_15156,peppan_g_19784,peppan_g_24813,peppan_g_31549,peppan_g_36216,peppan_g_36764
AJBGEP_01691,peppan_g_1473,peppan_g_6100,peppan_g_10455,peppan_g_15150,peppan_g_19790,peppan_g_24819,peppan_g_31543,peppan_g_36210,peppan_g_36758
AJBGEP_01697,peppan_g_1479,peppan_g_6106,peppan_g_10449,peppan_g_15144,peppan_g_19796,peppan_g_24825,peppan_g_31537,peppan_g_36204,peppan_g_36752
AJBGEP_01745,peppan_g_1518,peppan_g_6151,peppan_g_10400,peppan_g_15100,peppan_g_19840,peppan_g_24869,peppan_g_31493,peppan_g_36160,peppan_g_36704
AJBGEP_01752,peppan_g_1525,peppan_g_6158,peppan_g_10393,peppan_g_15093,peppan_g_19847,peppan_g_24876,peppan_g_31486,peppan_g_36153,peppan_g_36697
AJBGEP_01766,peppan_g_1540,peppan_g_6173,peppan_g_10378,peppan_g_15078,peppan_g_19862,peppan_g_24891,peppan_g_31471,peppan_g_36138,peppan_g_36682
AJBGEP_01769,peppan_g_1543,peppan_g_6176,peppan_g_10375,peppan_g_15075,peppan_g_19865,peppan_g_24894,peppan_g_31468,peppan_g_36135,peppan_g_36679
AJBGEP_01781,peppan_g_1554,peppan_g_6186,peppan_g_10365,peppan_g_15065,peppan_g_19876,peppan_g_24904,peppan_g_31458,peppan_g_36125,peppan_g_36669
AJBGEP_01783,peppan_g_1556,peppan_g_6188,peppan_g_10363,peppan_g_15063,peppan_g_19878,peppan_g_24906,peppan_g_31456,peppan_g_36123,peppan_g_36667
AJBGEP_01789,peppan_g_1566,peppan_g_6198,peppan_g_10357,peppan_g_15057,peppan_g_19884,peppan_g_24912,peppan_g_31450,peppan_g_36117,peppan_g_36661
AJBGEP_01792,peppan_g_1569,peppan_g_6201,peppan_g_10354,peppan_g_15054,peppan_g_19887,peppan_g_24915,peppan_g_31447,peppan_g_36114,peppan_g_36658
AJBGEP_01801,peppan_g_1578,peppan_g_6210,peppan_g_10345,peppan_g_15045,peppan_g_19896,peppan_g_24924,peppan_g_31438,peppan_g_36105,peppan_g_36649
AJBGEP_01806,peppan_g_1583,peppan_g_6215,peppan_g_10340,peppan_g_15039,peppan_g_19902,peppan_g_24930,peppan_g_31432,peppan_g_36100,peppan_g_36644
AJBGEP_01822,peppan_g_1598,peppan_g_6230,peppan_g_10325,peppan_g_15024,peppan_g_19917,peppan_g_24945,peppan_g_31417,peppan_g_36085,peppan_g_36629
AJBGEP_01835,peppan_g_1611,peppan_g_6243,peppan_g_10312,peppan_g_15011,peppan_g_19930,peppan_g_24958,peppan_g_31404,peppan_g_36072,peppan_g_36616
AJBGEP_01839,peppan_g_1615,peppan_g_6247,peppan_g_10308,peppan_g_15007,peppan_g_19934,peppan_g_24962,peppan_g_31400,peppan_g_36068,peppan_g_36612
AJBGEP_01857,peppan_g_1631,peppan_g_6263,peppan_g_10292,peppan_g_14991,peppan_g_19950,peppan_g_24978,peppan_g_31384,peppan_g_36052,peppan_g_36596
AJBGEP_01872,peppan_g_1071,peppan_g_6278,peppan_g_10277,peppan_g_14976,peppan_g_19965,peppan_g_24993,peppan_g_31369,peppan_g_36037,peppan_g_36581
AJBGEP_01875,peppan_g_1068,peppan_g_6281,peppan_g_10274,peppan_g_14973,peppan_g_19968,peppan_g_24996,peppan_g_31366,peppan_g_36034,peppan_g_36578
AJBGEP_01879,peppan_g_1064,peppan_g_6286,peppan_g_10268,peppan_g_14968,peppan_g_19972,peppan_g_25000,peppan_g_31360,peppan_g_36030,peppan_g_36574
AJBGEP_01883,peppan_g_1060,peppan_g_6290,peppan_g_10264,peppan_g_14964,peppan_g_19976,peppan_g_25004,peppan_g_31356,peppan_g_36026,peppan_g_36570
AJBGEP_01903,peppan_g_1041,peppan_g_6309,peppan_g_10245,peppan_g_14945,peppan_g_19995,peppan_g_25023,peppan_g_31337,peppan_g_36007,peppan_g_36551
AJBGEP_01906,peppan_g_1038,peppan_g_6312,peppan_g_10242,peppan_g_14942,peppan_g_19998,peppan_g_25026,peppan_g_31334,peppan_g_36004,peppan_g_36548
AJBGEP_01915,peppan_g_1032,peppan_g_6318,peppan_g_10236,peppan_g_14936,peppan_g_20005,peppan_g_25032,peppan_g_31328,peppan_g_35998,peppan_g_36542
AJBGEP_01919,peppan_g_1028,peppan_g_6322,peppan_g_10232,peppan_g_14932,peppan_g_20009,peppan_g_25036,peppan_g_31324,peppan_g_35994,peppan_g_36538
