# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_18	cds	8912	9076	-	BENMGJ_00085	73.2	1.1e-17	0.981	0.930	0.623	UniRef:UniRef50_B7LRN8
contig_18	cds	9159	10043	-	BENMGJ_00086	343.0	2.6e-116	0.952	0.800	0.607	UniRef:UniRef50_P28638
contig_18	cds	10129	10425	-	BENMGJ_00087	141.0	3.4e-43	1.010	0.876	0.758	UniRef:UniRef50_P57902
contig_18	cds	10451	11416	-	BENMGJ_00088	351.0	1.4e-118	1.016	0.872	0.586	UniRef:UniRef50_A0A2D8RB11
contig_18	cds	12078	12959	-	BENMGJ_00089	492.0	4.1e-175	1.171	1.0	0.723	UniRef:UniRef50_P0A8T1
contig_18	cds	12971	14422	-	BENMGJ_00090	697.0	2.0e-249	0.971	0.839	0.768	UniRef:UniRef50_P16256
contig_18	cds	14412	14654	-	BENMGJ_00091	142.0	2.5e-44	1.0	0.930	0.813	UniRef:UniRef50_P45566
contig_18	cds	14763	16112	-	BENMGJ_00092	833.0	4.5e-304	1.216	1.0	0.800	UniRef:UniRef50_P24182
contig_18	cds	16123	16593	-	BENMGJ_00093	192.0	2.9e-62	0.891	1.007	0.791	UniRef:UniRef50_A0A660MKE9
contig_18	cds	16986	17585	-	BENMGJ_00094	390.0	7.1e-141	1.0	1.0	0.995	BlastRules:WP_001241496
contig_18	cds	17586	18590	-	BENMGJ_00095	402.0	2.2e-138	0.976	0.874	0.580	UniRef:UniRef50_P76342
contig_18	cds	18713	19687	-	BENMGJ_00096	419.0	6.2e-145	1.003	0.806	0.643	UniRef:UniRef50_A0AA91IQT5
contig_19	cds	503	781	+	BENMGJ_00097	-	-	-	-	-	-
contig_19	cds	796	1176	-	BENMGJ_00098	132.0	1.5e-38	1.0	0.824	0.587	UniRef:UniRef50_P0ABC0
contig_19	cds	1792	2415	-	BENMGJ_00099	340.0	4.5e-118	0.976	0.849	0.817	UniRef:UniRef50_Q7NA87
contig_19	cds	2518	4407	-	BENMGJ_00100	1113.0	0.0	1.0	0.904	0.905	UniRef:UniRef50_P0A6U3
contig_19	cds	4786	5229	-	BENMGJ_00101	251.0	5.0e-85	1.0	0.891	0.803	UniRef:UniRef50_P03817
contig_19	cds	5319	5777	-	BENMGJ_00102	222.0	1.6e-73	0.980	0.909	0.752	UniRef:UniRef50_P0ACI6
contig_19	cds	5928	6920	+	BENMGJ_00103	516.0	1.2e-184	0.800	0.892	0.932	UniRef:UniRef50_A0A377E031
contig_19	cds	6925	8376	-	BENMGJ_00104	925.0	0.0	1.027	1.0	0.970	UniRef:UniRef50_Q8ZKW3
contig_19	cds	8370	9866	-	BENMGJ_00105	824.0	1.7e-299	1.0	0.888	0.847	UniRef:UniRef50_P31473
contig_19	cds	10214	12082	+	BENMGJ_00106	1036.0	0.0	1.0	0.931	0.834	UniRef:UniRef50_P63183
contig_19	cds	12279	12698	+	BENMGJ_00107	228.0	1.7e-76	1.0	0.972	0.835	UniRef:UniRef50_A7MMV4
contig_19	cds	12706	14211	+	BENMGJ_00108	790.0	2.3e-287	0.932	0.994	0.880	UniRef:UniRef50_A0A2X3GG12
contig_19	cds	14217	15182	+	BENMGJ_00109	445.0	2.4e-157	0.807	0.992	0.977	UniRef:UniRef50_A0A377PRY9
contig_19	cds	15207	16097	+	BENMGJ_00110	343.0	2.5e-116	0.943	0.830	0.627	UniRef:UniRef50_P44737
contig_19	cds	16231	17160	+	BENMGJ_00111	489.0	1.9e-174	1.0	0.997	0.832	UniRef:UniRef50_A0A3P8M3X6
contig_19	cds	17173	18162	+	BENMGJ_00112	629.0	2.0e-228	1.088	0.992	0.913	UniRef:UniRef50_A8ACQ9
contig_19	cds	18128	19555	-	BENMGJ_00113	766.0	5.2e-278	0.981	0.930	0.867	UniRef:UniRef50_P31474
contig_19	cds	19567	20271	-	BENMGJ_00114	319.0	3.1e-109	0.970	0.912	0.714	UniRef:UniRef50_P31475
contig_20	cds	4	558	+	BENMGJ_00115	324.0	7.2e-113	1.0	0.939	0.804	UniRef:UniRef50_A0A378N7I7
contig_20	cds	766	1191	+	BENMGJ_00116	205.0	2.1e-67	1.0	0.953	0.723	UniRef:UniRef50_H2IS64
contig_20	cds	1229	3667	+	BENMGJ_00117	1204.0	0.0	0.954	0.890	0.783	UniRef:UniRef50_Q8K917
contig_20	cds	3758	4489	+	BENMGJ_00118	333.0	2.5e-114	0.996	0.917	0.694	UniRef:UniRef50_Q8EAG8
contig_20	cds	4621	5025	+	BENMGJ_00119	216.0	2.9e-72	0.858	1.0	0.974	UniRef:UniRef50_A0A3S4K542
contig_20	cds	5040	5738	+	BENMGJ_00120	346.0	2.5e-120	0.991	0.991	0.865	UniRef:UniRef50_A0A1C3ZVM4
contig_20	cds	5738	6808	+	BENMGJ_00121	661.0	1.2e-240	0.938	0.910	0.976	UniRef:UniRef50_A0A659R823
contig_20	cds	6805	7464	+	BENMGJ_00122	430.0	6.8e-154	1.0	0.978	0.973	UniRef:UniRef50_A0A377KEB4
contig_20	cds	7482	7880	+	BENMGJ_00123	238.0	3.4e-80	1.0	0.830	0.902	UniRef:UniRef50_P0AF80
contig_20	cds	7890	8528	+	BENMGJ_00124	304.0	5.9e-104	0.991	0.913	0.662	UniRef:UniRef50_P39295
contig_20	cds	8531	9694	+	BENMGJ_00125	-	-	-	-	-	-
contig_20	cds	9779	11401	+	BENMGJ_00126	874.0	5.0e-316	1.293	0.997	0.656	UniRef:UniRef50_A0A6I5A9D5
contig_20	cds	11446	11721	-	BENMGJ_00127	132.0	3.1e-40	0.989	0.978	0.756	UniRef:UniRef50_E3GDA8
contig_20	cds	11852	12154	-	BENMGJ_00128	173.0	8.0e-56	1.0	0.813	0.860	UniRef:UniRef50_A0A1I6DT67
contig_20	cds	12365	13114	+	BENMGJ_00129	303.0	1.5e-102	0.984	0.897	0.645	UniRef:UniRef50_P39298
contig_20	cds	13111	13866	-	BENMGJ_00130	477.0	7.7e-171	1.0	0.857	0.968	UniRef:UniRef50_P0A9W0
contig_20	cds	13971	15035	-	BENMGJ_00131	582.0	3.6e-209	1.0	0.919	0.746	UniRef:UniRef50_P39300
contig_20	cds	15398	16795	+	BENMGJ_00132	851.0	5.0e-311	1.144	1.0	0.861	UniRef:UniRef50_A0A3N6RWI1
contig_20	cds	16811	17116	+	BENMGJ_00133	174.0	2.1e-56	0.990	0.893	0.870	UniRef:UniRef50_Q8FAJ1
contig_20	cds	17126	17590	+	BENMGJ_00134	289.0	2.7e-100	1.0	0.994	0.935	UniRef:UniRef50_Q8ZK88
contig_20	cds	17604	18254	+	BENMGJ_00135	428.0	3.0e-155	1.0	1.0	0.991	BlastRules:WP_000056760
contig_20	cds	18264	19118	+	BENMGJ_00136	542.0	3.0e-198	1.0	1.0	0.940	BlastRules:WP_000949502
contig_20	cds	19118	19804	+	BENMGJ_00137	329.0	2.9e-114	0.807	0.995	0.832	UniRef:UniRef50_A0A7X9GZJ0
contig_20	cds	19933	20208	-	BENMGJ_00138	132.0	8.9e-40	0.989	0.865	0.733	UniRef:UniRef50_Q3YUE8
contig_20	ncRNA-region	20596	20679	+	-	103.4	4.5e-21	-	-	-	RFAM:RF02893
contig_21	cds	308	1591	+	BENMGJ_00139	825.0	4.7e-303	1.0	1.0	1.0	UniRef:UniRef50_A0A5U7CPA1
contig_21	cds	1588	2454	+	BENMGJ_00140	397.0	1.4e-138	0.993	0.986	0.629	UniRef:UniRef50_Q8ZMQ7
contig_21	cds	2607	2897	-	BENMGJ_00141	130.0	3.1e-39	0.969	0.894	0.677	UniRef:UniRef50_S3IRN6
contig_21	cds	3058	3342	+	BENMGJ_00142	-	-	-	-	-	-
contig_21	cds	3455	3976	+	BENMGJ_00143	320.0	8.8e-112	0.994	0.905	0.983	UniRef:UniRef50_A0A0X8S1D4
contig_21	cds	3973	4347	+	BENMGJ_00144	136.0	2.5e-40	0.976	0.823	0.537	UniRef:UniRef50_J5Y3G2
contig_21	cds	4344	5324	+	BENMGJ_00145	367.0	1.5e-125	1.0	0.997	0.571	UniRef:UniRef50_A0A9P0VK01
contig_21	cds	5335	6348	+	BENMGJ_00146	577.0	9.1e-208	0.899	0.846	0.924	UniRef:UniRef50_A0A447UXC1
contig_21	cds	6694	7845	+	BENMGJ_00147	727.0	4.6e-265	0.950	0.847	0.984	UniRef:UniRef50_A0A0D5M1T3
contig_21	cds	7919	8554	-	BENMGJ_00148	239.0	1.8e-78	0.991	0.921	0.569	UniRef:UniRef50_A0A6G9IBW6
contig_21	cds	8578	9144	-	BENMGJ_00149	296.0	1.3e-101	0.963	0.862	0.895	UniRef:UniRef50_J6HFI7
contig_21	cds	9141	9983	-	BENMGJ_00150	557.0	4.5e-202	1.004	1.0	0.936	UniRef:UniRef50_A0A564HW74
contig_21	cds	10113	11654	-	BENMGJ_00151	834.0	9.2e-304	1.004	0.998	0.831	UniRef:UniRef50_A0A0Q3C1J5
contig_21	cds	11877	13556	+	BENMGJ_00152	-	-	-	-	-	-
contig_21	cds	13556	13738	+	BENMGJ_00153	-	-	-	-	-	-
contig_21	ncRNA	14465	14593	+	BENMGJ_00154	90.6	8.1e-13	-	-	-	RFAM:RF02957
contig_21	cds	14673	15548	+	BENMGJ_00155	331.0	2.5e-112	0.993	0.983	0.578	UniRef:UniRef50_D4BHM6
contig_21	cds	15747	17588	+	BENMGJ_00156	1219.0	0.0	1.0	0.982	0.998	UniRef:UniRef50_A0A0T9UW69
contig_21	cds	17848	19170	-	BENMGJ_00157	572.0	1.4e-202	0.982	0.956	0.639	UniRef:UniRef50_A0A3Y5UTC5
contig_21	ncRNA	19284	19612	+	BENMGJ_00158	421.4	2.0e-47	-	-	-	RFAM:RF02763
contig_21	cds	19709	20305	+	BENMGJ_00159	-	-	-	-	-	-
contig_22	cds	25	3261	+	BENMGJ_00160	1968.0	0.0	1.0	0.957	0.936	UniRef:UniRef50_A0A3S4IB59
contig_22	cds	3348	3629	+	BENMGJ_00161	116.0	1.2e-33	1.0	1.0	0.677	UniRef:UniRef50_A0A657G0Q6
contig_22	cds	3631	3975	-	BENMGJ_00162	243.0	3.7e-83	1.0	1.0	1.0	UniRef:UniRef50_A0A0T9RQT6
contig_22	cds	3929	4066	-	BENMGJ_00163	-	-	-	-	-	-
contig_22	cds	4388	4645	+	BENMGJ_00164	179.0	4.7e-59	1.0	1.0	1.0	UniRef:UniRef50_A0A5Y3XHU8
contig_22	cds	4727	5860	-	BENMGJ_00165	511.0	8.6e-180	0.981	0.841	0.668	UniRef:UniRef50_A0A7T3X3R1
contig_22	cds	5857	6627	-	BENMGJ_00166	486.0	6.2e-177	1.0	1.0	0.996	BlastRules:WP_000944065
contig_22	cds	6629	6829	-	BENMGJ_00167	63.5	1.7e-13	1.0	0.930	0.500	UniRef:UniRef50_A0A0T9N4J8
contig_22	cds	6810	7568	-	BENMGJ_00168	281.0	9.0e-94	1.004	0.984	0.573	UniRef:UniRef50_A0A8S0FGV7
contig_22	cds	7561	8196	-	BENMGJ_00169	226.0	5.0e-73	0.953	0.810	0.552	UniRef:UniRef50_A0A097QY13
contig_22	cds	8196	10091	-	BENMGJ_00170	858.0	5.1e-309	0.990	0.959	0.662	UniRef:UniRef50_Q6G477
contig_22	cds	10455	10943	-	BENMGJ_00171	252.0	5.2e-85	1.198	1.021	0.716	UniRef:UniRef50_P0AFX4
contig_22	cds	11036	11809	+	BENMGJ_00172	452.0	7.2e-161	1.0	0.915	0.821	UniRef:UniRef50_P32664
contig_22	cds	11850	12914	+	BENMGJ_00173	496.0	3.0e-175	0.997	0.941	0.677	UniRef:UniRef50_A9KCZ5
contig_22	cds	12924	13595	+	BENMGJ_00174	388.0	4.5e-137	0.996	0.996	0.833	UniRef:UniRef50_I2BE02
contig_22	cds	13637	14227	+	BENMGJ_00175	266.0	7.0e-90	1.0	0.970	0.633	UniRef:UniRef50_A0A6L2ZL37
contig_22	cds	14414	14686	+	BENMGJ_00176	97.1	7.2e-26	1.0	0.818	0.567	UniRef:UniRef50_A0A090ASH9
contig_22	cds	14698	15390	+	BENMGJ_00177	326.0	3.8e-112	1.052	1.0	0.669	UniRef:UniRef50_P32681
contig_22	cds	15432	15887	-	BENMGJ_00178	167.0	4.3e-52	0.881	0.869	0.654	UniRef:UniRef50_A0A484Y856
contig_22	cds	15952	17538	+	BENMGJ_00179	1007.0	0.0	1.0	0.953	0.989	UniRef:UniRef50_P14377
contig_22	cds	17544	18869	+	BENMGJ_00180	592.0	1.2e-211	1.0	1.205	0.735	UniRef:UniRef50_A0A3S4KDD1
contig_22	cds	18866	20155	-	BENMGJ_00181	819.0	5.4e-300	1.119	0.998	0.877	UniRef:UniRef50_P15640
contig_22	cds	20171	21760	-	BENMGJ_00182	925.0	0.0	1.0	0.860	0.881	UniRef:UniRef50_P15639
contig_23	cds	81	536	+	BENMGJ_00183	157.0	1.8e-47	1.046	0.819	0.525	UniRef:UniRef50_A0A142YLP9
contig_23	cds	640	1941	+	BENMGJ_00184	739.0	1.4e-269	0.882	0.960	0.995	UniRef:UniRef50_B2TYL0
contig_23	cds	1938	2261	-	BENMGJ_00185	169.0	5.8e-54	1.0	0.922	0.701	UniRef:UniRef50_Q9I630
contig_23	cds	2306	3661	-	BENMGJ_00186	820.0	6.9e-300	0.993	0.928	0.895	UniRef:UniRef50_P23830
contig_23	cds	3776	6436	-	BENMGJ_00187	1739.0	0.0	1.0	1.0	1.0	BlastRules:WP_000082639
contig_23	cds	6490	7170	-	BENMGJ_00188	401.0	2.6e-144	1.0	0.974	0.885	BlastRules:WP_001300438
contig_23	cds	7243	7662	-	BENMGJ_00189	283.0	9.9e-98	1.0	0.813	0.950	UniRef:UniRef50_A0A377A270
contig_23	cds	7866	8903	+	BENMGJ_00190	603.0	3.4e-217	0.997	0.825	0.875	UniRef:UniRef50_P0AGJ5
contig_23	cds	9019	9708	-	BENMGJ_00191	311.0	1.8e-106	0.952	0.886	0.670	UniRef:UniRef50_A1SUE5
contig_23	cds	10027	10410	+	BENMGJ_00192	216.0	5.3e-72	0.969	0.809	0.886	UniRef:UniRef50_Q6D209
contig_23	cds	10472	11059	-	BENMGJ_00193	361.0	3.1e-127	1.082	1.0	0.910	UniRef:UniRef50_Q8ZMX5
contig_23	cds	11162	12061	+	BENMGJ_00194	447.0	1.0e-157	0.950	0.916	0.764	UniRef:UniRef50_P33634
contig_23	cds	12079	13413	-	BENMGJ_00195	744.0	2.0e-269	0.980	0.855	0.917	UniRef:UniRef50_P21507
contig_23	cds	13544	14281	+	BENMGJ_00196	501.0	3.0e-183	1.0	1.0	1.0	BlastRules:WP_000083343
contig_23	cds	14266	15888	-	BENMGJ_00197	940.0	0.0	0.987	0.882	0.859	UniRef:UniRef50_P10902
contig_23	cds	16313	16888	+	BENMGJ_00198	370.0	4.7e-133	1.0	1.0	1.0	BlastRules:WP_000003307
contig_23	cds	16920	17570	+	BENMGJ_00199	341.0	1.9e-118	1.0	0.889	0.866	UniRef:UniRef50_P0AFX7
contig_23	cds	17570	18526	+	BENMGJ_00200	408.0	1.4e-141	1.066	0.997	0.599	UniRef:UniRef50_D0ZSY7
contig_23	ncRNA	18487	19372	-	BENMGJ_00201	1105.8	9.5e-93	-	-	-	RFAM:RF02746
contig_23	cds	18523	19002	+	BENMGJ_00202	224.0	1.8e-74	1.031	1.0	0.744	UniRef:UniRef50_A9MGW7
contig_23	cds	19254	21053	+	BENMGJ_00203	847.0	2.7e-306	0.992	0.992	0.704	UniRef:UniRef50_A0A2D9XTD1
contig_23	cds	21070	22044	+	BENMGJ_00204	642.0	1.0e-233	1.080	1.0	0.926	UniRef:UniRef50_P00803
contig_23	ncRNA-region	22161	22372	+	-	232.2	1.0e-35	-	-	-	RFAM:RF00552
contig_23	cds	22261	22998	+	BENMGJ_00205	457.0	8.7e-164	0.992	0.957	0.959	UniRef:UniRef50_P0A7Y0
contig_24	cds	58	357	+	BENMGJ_00206	-	-	-	-	-	-
contig_24	ncRNA	369	455	-	BENMGJ_00207	83.6	2.6e-13	-	-	-	RFAM:RF00127
contig_24	cds	790	1584	+	BENMGJ_00208	475.0	1.9e-169	0.996	0.824	0.871	UniRef:UniRef50_P0A1X6
contig_24	cds	1822	4494	+	BENMGJ_00209	1362.0	0.0	0.989	0.941	0.759	UniRef:UniRef50_P27249
contig_24	cds	4524	5348	+	BENMGJ_00210	373.0	8.8e-129	0.993	0.824	0.779	UniRef:UniRef50_P0A9D8
contig_24	cds	5384	6685	-	BENMGJ_00211	497.0	4.2e-173	0.991	0.933	0.606	UniRef:UniRef50_A9MPJ7
contig_24	cds	6932	7318	+	BENMGJ_00212	220.0	1.8e-73	0.992	0.819	0.874	UniRef:UniRef50_P62768
contig_24	cds	7407	8564	-	BENMGJ_00213	726.0	1.5e-267	1.0	1.0	0.956	BlastRules:WP_000929443
