"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000007545.1_ASM754v1_genomic","GCF_000020745.1_ASM2074v1_genomic","GCF_000020885.1_ASM2088v1_genomic","GCF_000020925.1_ASM2092v1_genomic","GCF_000022165.1_ASM2216v1_genomic","GCF_000170215.1_ASM17021v1_genomic","GCF_000171415.1_ASM17141v1_genomic","GCF_000171515.1_ASM17151v1_genomic","GCF_000171535.2_ASM17153v2_genomic"
"yebY","","Uncharacterized protein YebY","9","9","1","32","7262","","","","353","353","353","GEGEGB_01067","LNHIMF_01945","BEJGEH_01192","HFCAGB_01341","AJBGEP_01969","ODDLKH_02363","IKCLMC_04269","PKJKAM_04277","ONMMKP_00156"
"DUF1398 domain-containing protein","","DUF1398 domain-containing protein","9","9","1","32","7302","","","","341","395","389","GEGEGB_01083","LNHIMF_01923","BEJGEH_01209","HFCAGB_01418","AJBGEP_01949","ODDLKH_02344","IKCLMC_04297","PKJKAM_04308","ONMMKP_00179"
"mgrB","","PhoP/PhoQ regulator MgrB","9","9","1","32","7324","","","","143","143","143","GEGEGB_01101","LNHIMF_01907","BEJGEH_01226","HFCAGB_01436","AJBGEP_01932","ODDLKH_02327","IKCLMC_04315","PKJKAM_04326","ONMMKP_00197"
"ycgR","","flagellar brake protein YcgR","9","9","1","32","7364","","","","734","734","734","GEGEGB_01142","LNHIMF_01866","BEJGEH_01267","HFCAGB_01477","AJBGEP_01889","ODDLKH_02286","IKCLMC_04356","PKJKAM_04367","ONMMKP_00238"
"cbdX","","Cytochrome bd-II oxidase subunit CbdX","9","9","1","32","7370","","","","89","89","89","GEGEGB_01148","LNHIMF_01862","BEJGEH_01271","HFCAGB_01481","AJBGEP_01885","ODDLKH_02282","IKCLMC_04360","PKJKAM_04371","ONMMKP_00242"
"hyaE","","Hydrogenase-1 operon protein HyaE","9","9","1","32","7374","","","","404","455","421","GEGEGB_01152","LNHIMF_01858","BEJGEH_01275","HFCAGB_01485","AJBGEP_01881","ODDLKH_02278","IKCLMC_04364","PKJKAM_04375","ONMMKP_00246"
"ychH","","Uncharacterized protein YchH","9","9","1","32","7382","","","","221","278","271","GEGEGB_01161","LNHIMF_01849","BEJGEH_01285","HFCAGB_01494","AJBGEP_01873","ODDLKH_02270","IKCLMC_04374","PKJKAM_04383","ONMMKP_00254"
"peptide chain release factor N(5)-glutamine methyltransferase","","peptide chain release factor N(5)-glutamine methyltransferase","9","9","1","32","7390","","","","833","833","833","GEGEGB_01168","LNHIMF_01842","BEJGEH_01292","HFCAGB_01501","AJBGEP_01866","ODDLKH_02262","IKCLMC_04381","PKJKAM_04390","ONMMKP_00261"
"msgA","","virulence protein MsgA","9","9","1","32","572","","","","239","239","239","GEGEGB_01181","LNHIMF_01287","BEJGEH_01848","HFCAGB_02051","AJBGEP_01318","ODDLKH_01715","IKCLMC_00959","PKJKAM_00505","ONMMKP_00890"
"Putative envelope protein","","Putative envelope protein","9","9","1","32","571","","","","521","521","521","GEGEGB_01182","LNHIMF_01288","BEJGEH_01847","HFCAGB_02050","AJBGEP_01319","ODDLKH_01716","IKCLMC_00960","PKJKAM_00504","ONMMKP_00889"
"Peptide ABC transporter ATP-binding protein","","Peptide ABC transporter ATP-binding protein","9","9","1","32","557","","","","797","797","797","GEGEGB_01198","LNHIMF_01303","BEJGEH_01831","HFCAGB_02034","AJBGEP_01334","ODDLKH_01731","IKCLMC_00975","PKJKAM_00489","ONMMKP_00874"
"ATP-binding component of an ABC superfamily nickel transporter","","ATP-binding component of an ABC superfamily nickel transporter","9","9","1","32","556","","","","590","590","590","GEGEGB_01199","LNHIMF_01304","BEJGEH_01830","HFCAGB_02033","AJBGEP_01335","ODDLKH_01732","IKCLMC_00976","PKJKAM_00488","ONMMKP_00873"
"group_1027","hypothetical protein","hypothetical protein","9","9","1","32","554","","","","326","326","326","GEGEGB_01201","LNHIMF_01306","BEJGEH_01828","HFCAGB_02031","AJBGEP_01337","ODDLKH_01734","IKCLMC_00978","PKJKAM_00486","ONMMKP_00871"
"HTH luxR-type domain-containing protein","","HTH luxR-type domain-containing protein","9","9","1","32","551","","","","593","593","593","GEGEGB_01206","LNHIMF_01311","BEJGEH_01823","HFCAGB_02026","AJBGEP_01342","ODDLKH_01739","IKCLMC_00983","PKJKAM_00481","ONMMKP_00866"
"ybiB","","Uncharacterized protein YbiB","9","9","1","32","1595","","","","734","974","947","GEGEGB_02173","LNHIMF_00950","BEJGEH_00823","HFCAGB_00902","AJBGEP_00849","ODDLKH_01313","IKCLMC_01418","PKJKAM_01072","ONMMKP_01289"
"Monofunctional chorismate mutase","","Monofunctional chorismate mutase","9","9","1","32","548","","","","545","545","545","GEGEGB_01209","LNHIMF_01314","BEJGEH_01820","HFCAGB_02023","AJBGEP_01345","ODDLKH_01742","IKCLMC_04897","PKJKAM_00478","ONMMKP_00863"
"2-nitroimidazole transporter","","2-nitroimidazole transporter","9","9","1","32","539","","","","1184","1184","1184","GEGEGB_01221","LNHIMF_01324","BEJGEH_01810","HFCAGB_02013","AJBGEP_01355","ODDLKH_01752","IKCLMC_04887","PKJKAM_00468","ONMMKP_00853"
"group_1032","Arabinose operon regulatory protein","Arabinose operon regulatory protein","9","9","1","32","538","","","","794","794","794","GEGEGB_01222","LNHIMF_01325","BEJGEH_01809","HFCAGB_02012","AJBGEP_01356","ODDLKH_01753","IKCLMC_04886","PKJKAM_00467","ONMMKP_00852"
"diguanylate cyclase","","diguanylate cyclase","9","9","1","32","532","","","","1301","1493","1471","GEGEGB_01226","LNHIMF_01329","BEJGEH_01805","HFCAGB_02008","AJBGEP_01360","ODDLKH_01757","IKCLMC_04882","PKJKAM_00463","ONMMKP_00848"
"Chondro-6-sulfatase","","Chondro-6-sulfatase","9","9","1","32","526","","","","1022","1196","1176","GEGEGB_01231","LNHIMF_01334","BEJGEH_01800","HFCAGB_02004","AJBGEP_01364","ODDLKH_01761","IKCLMC_04877","PKJKAM_00459","ONMMKP_00843"
"Glyceraldehyde-3-phosphate dehydrogenase","","Glyceraldehyde-3-phosphate dehydrogenase","9","9","1","32","522","","","","875","995","981","GEGEGB_01235","LNHIMF_01337","BEJGEH_01797","HFCAGB_02001","AJBGEP_01367","ODDLKH_01764","IKCLMC_04874","PKJKAM_00456","ONMMKP_00840"
"L-asparaginase 1","","L-asparaginase 1","9","9","1","32","509","","","","1016","1088","1080","GEGEGB_01239","LNHIMF_01341","BEJGEH_01793","HFCAGB_01989","AJBGEP_01371","ODDLKH_01768","IKCLMC_04870","PKJKAM_00924","ONMMKP_00836"
"Exodeoxyribonuclease III","","Exodeoxyribonuclease III","9","9","1","32","501","","","","806","878","870","GEGEGB_01247","LNHIMF_01349","BEJGEH_01785","HFCAGB_01981","AJBGEP_01379","ODDLKH_01776","IKCLMC_04862","PKJKAM_00916","ONMMKP_00828"
"N-succinylglutamate 5-semialdehyde dehydrogenase","","N-succinylglutamate 5-semialdehyde dehydrogenase","9","9","1","32","498","","","","1286","1478","1456","GEGEGB_01251","LNHIMF_01352","BEJGEH_01782","HFCAGB_01978","AJBGEP_01382","ODDLKH_01779","IKCLMC_04859","PKJKAM_00913","ONMMKP_00825"
"Succinylglutamate desuccinylase","","Succinylglutamate desuccinylase","9","9","1","32","496","","","","968","968","968","GEGEGB_01253","LNHIMF_01354","BEJGEH_01780","HFCAGB_01976","AJBGEP_01384","ODDLKH_01781","IKCLMC_04857","PKJKAM_00911","ONMMKP_00823"
"group_1041","hypothetical protein","hypothetical protein","9","9","1","32","495","","","","215","215","215","GEGEGB_01254","LNHIMF_01355","BEJGEH_01779","HFCAGB_01975","AJBGEP_01385","ODDLKH_01782","IKCLMC_04856","PKJKAM_00910","ONMMKP_00822"
"Translation initiation factor IF-3","","Translation initiation factor IF-3","9","9","1","32","470","","","","320","434","421","GEGEGB_01283","LNHIMF_01380","BEJGEH_01754","HFCAGB_01949","AJBGEP_01412","ODDLKH_01809","IKCLMC_04831","PKJKAM_00885","ONMMKP_00718"
"group_1044","ydiV","anti-FlhDC factor YdiV","9","9","1","32","460","","","","710","713","712","GEGEGB_01294","LNHIMF_01391","BEJGEH_01743","HFCAGB_01938","AJBGEP_01423","ODDLKH_01820","IKCLMC_04820","PKJKAM_00874","ONMMKP_00707"
"ydjN","","Symporter protein YdjN","9","9","1","32","437","","","","1343","1346","1345","GEGEGB_01307","LNHIMF_01416","BEJGEH_01718","HFCAGB_01913","AJBGEP_01448","ODDLKH_01845","IKCLMC_04795","PKJKAM_00849","ONMMKP_00682"
"sufD","","Iron-sulfur cluster assembly protein SufD","9","9","1","32","433","","","","1271","1271","1271","GEGEGB_01311","LNHIMF_01420","BEJGEH_01714","HFCAGB_01909","AJBGEP_01452","ODDLKH_01849","IKCLMC_04791","PKJKAM_00845","ONMMKP_00678"
"Hydrolase or acyltransferase","","Hydrolase or acyltransferase","9","9","1","32","423","","","","662","893","867","GEGEGB_01320","LNHIMF_01428","BEJGEH_01706","HFCAGB_01901","AJBGEP_01460","ODDLKH_01857","IKCLMC_04783","PKJKAM_00836","ONMMKP_00669"
"ttrC","","Tetrathionate reductase subunit TtrC","9","9","1","32","418","","","","1022","1022","1022","GEGEGB_01325","LNHIMF_01432","BEJGEH_01702","HFCAGB_01897","AJBGEP_01464","ODDLKH_01861","IKCLMC_04779","PKJKAM_00832","ONMMKP_00665"
"ssaL","","SPI-2 type III secretion system apparatus protein SsaL","9","9","1","32","387","","","","992","992","992","GEGEGB_01353","LNHIMF_01460","BEJGEH_01674","HFCAGB_01868","AJBGEP_01492","ODDLKH_01889","IKCLMC_04751","PKJKAM_00804","ONMMKP_00637"
"ssaM","","SPI-2 type III secretion system apparatus protein SsaM","9","9","1","32","386","","","","368","368","368","GEGEGB_01354","LNHIMF_01461","BEJGEH_01673","HFCAGB_01867","AJBGEP_01493","ODDLKH_01890","IKCLMC_04750","PKJKAM_00803","ONMMKP_00636"
"ssaN","","SctN family type III secretion system ATPase SsaN","9","9","1","32","384","","","","1178","1301","1287","GEGEGB_01356","LNHIMF_01463","BEJGEH_01671","HFCAGB_01865","AJBGEP_01495","ODDLKH_01893","IKCLMC_04748","PKJKAM_00801","ONMMKP_00634"
"ssaP","","SPI-2 type III secretion system apparatus protein SsaP","9","9","1","32","381","","","","374","374","374","GEGEGB_01358","LNHIMF_01465","BEJGEH_01669","HFCAGB_01863","AJBGEP_01497","ODDLKH_01895","IKCLMC_04746","PKJKAM_00799","ONMMKP_00632"
"ssaS","","SPI-2 type III secretion system apparatus protein SsaS","9","9","1","32","378","","","","266","266","266","GEGEGB_01361","LNHIMF_01468","BEJGEH_01666","HFCAGB_01860","AJBGEP_01500","ODDLKH_01898","IKCLMC_04743","PKJKAM_00796","ONMMKP_00629"
"ydhC","","Inner membrane transport protein YdhC","9","9","1","32","372","","","","944","1205","1176","GEGEGB_01369","LNHIMF_01476","BEJGEH_01658","HFCAGB_01852","AJBGEP_01508","ODDLKH_01906","IKCLMC_04735","PKJKAM_00788","ONMMKP_00621"
"yahB","","HTH-type transcriptional regulator YahB","9","9","1","32","371","","","","419","932","875","GEGEGB_01370","LNHIMF_01477","BEJGEH_01657","HFCAGB_01851","AJBGEP_01509","ODDLKH_01907","IKCLMC_04734","PKJKAM_00071","ONMMKP_00620"
"nemR","","HTH-type transcriptional repressor NemR","9","9","1","32","362","","","","386","599","575","GEGEGB_01380","LNHIMF_01487","BEJGEH_01647","HFCAGB_01841","AJBGEP_01519","ODDLKH_01917","IKCLMC_04724","PKJKAM_00081","ONMMKP_00610"
"Anhydro-N-acetylmuramic acid kinase","","Anhydro-N-acetylmuramic acid kinase","9","9","1","32","353","","","","632","1121","1066","GEGEGB_01388","LNHIMF_01496","BEJGEH_01639","HFCAGB_01832","AJBGEP_01528","ODDLKH_01926","IKCLMC_04715","PKJKAM_00197","ONMMKP_00601"
"gstA","","Glutathione S-transferase GstA","9","9","1","32","348","","","","605","656","610","GEGEGB_01393","LNHIMF_01501","BEJGEH_01634","HFCAGB_01826","AJBGEP_01533","ODDLKH_01931","IKCLMC_04710","PKJKAM_00192","ONMMKP_00596"
"group_1061","Inner membrane protein","Inner membrane protein","9","9","1","32","321","","","","326","335","334","GEGEGB_01416","LNHIMF_01526","BEJGEH_01610","HFCAGB_01803","AJBGEP_01555","ODDLKH_01953","IKCLMC_04686","PKJKAM_00170","ONMMKP_00574"
"group_1062","YdgH/BhsA/McbA-like domain-containing protein","YdgH/BhsA/McbA-like domain-containing protein","9","9","1","32","318","","","","623","944","908","GEGEGB_01467","LNHIMF_01528","BEJGEH_01608","HFCAGB_01800","AJBGEP_01557","ODDLKH_01955","IKCLMC_04684","PKJKAM_00168","ONMMKP_00572"
"dmsD","","Tat proofreading chaperone DmsD","9","9","1","32","283","","","","614","614","614","GEGEGB_01488","LNHIMF_01545","BEJGEH_01591","HFCAGB_01783","AJBGEP_01574","ODDLKH_01972","IKCLMC_04666","PKJKAM_04682","ONMMKP_00555"
"ynfH","","Anaerobic dimethyl sulfoxide reductase chain YnfH","9","9","1","32","282","","","","854","857","856","GEGEGB_01489","LNHIMF_01546","BEJGEH_01590","HFCAGB_01782","AJBGEP_01575","ODDLKH_01973","IKCLMC_04665","PKJKAM_04681","ONMMKP_00554"
"DUF1161 domain-containing protein","","DUF1161 domain-containing protein","9","9","1","32","278","","","","221","305","295","GEGEGB_01493","LNHIMF_01550","BEJGEH_01586","HFCAGB_01778","AJBGEP_01579","ODDLKH_01977","IKCLMC_04661","PKJKAM_04677","ONMMKP_00550"
"UPF0257 lipoprotein HV346_10385","","UPF0257 lipoprotein HV346_10385","9","9","1","32","277","","","","677","719","681","GEGEGB_01494","LNHIMF_01551","BEJGEH_01585","HFCAGB_01777","AJBGEP_01580","ODDLKH_01978","IKCLMC_04660","PKJKAM_04676","ONMMKP_00549"
"Peptidyl-dipeptidase Dcp","","Peptidyl-dipeptidase Dcp","9","9","1","32","264","","","","1082","2042","1935","GEGEGB_01506","LNHIMF_01562","BEJGEH_01574","HFCAGB_01765","AJBGEP_01592","ODDLKH_01989","IKCLMC_04649","PKJKAM_04664","ONMMKP_00538"
"2-oxo-tetronate isomerase","","2-oxo-tetronate isomerase","9","9","1","32","261","","","","527","527","527","GEGEGB_01508","LNHIMF_01564","BEJGEH_01572","HFCAGB_01763","AJBGEP_01594","ODDLKH_01991","IKCLMC_04647","PKJKAM_04662","ONMMKP_00536"
"group_1071","Cytoplasmic protein","Cytoplasmic protein","9","9","1","32","247","","","","359","359","359","GEGEGB_01522","LNHIMF_01578","BEJGEH_01558","HFCAGB_01748","AJBGEP_01608","ODDLKH_02005","IKCLMC_04633","PKJKAM_04648","ONMMKP_00522"
"phoE","","Outer membrane porin PhoE","9","9","1","32","244","","","","425","1118","1041","GEGEGB_01526","LNHIMF_01582","BEJGEH_01554","HFCAGB_01745","AJBGEP_01612","ODDLKH_02010","IKCLMC_04630","PKJKAM_04644","ONMMKP_00519"
"Uncharacterized Na(+)/H(+) antiporter HI_1107","","Uncharacterized Na(+)/H(+) antiporter HI_1107","9","9","1","32","25","","","","533","1451","1349","GEGEGB_01549","LNHIMF_01613","BEJGEH_01522","HFCAGB_01727","AJBGEP_01642","ODDLKH_02040","IKCLMC_04604","PKJKAM_04615","ONMMKP_00489"
"group_1077","Glycogen debranching enzyme","Glycogen debranching enzyme","9","9","1","32","27","","","","1811","2075","2044","GEGEGB_01551","LNHIMF_01615","BEJGEH_01520","HFCAGB_01725","AJBGEP_01644","ODDLKH_02042","IKCLMC_04602","PKJKAM_04613","ONMMKP_00487"
"group_1079","HTH tetR-type domain-containing protein","HTH tetR-type domain-containing protein","9","9","1","32","46","","","","578","590","579","GEGEGB_01566","LNHIMF_01634","BEJGEH_01500","HFCAGB_01708","AJBGEP_01661","ODDLKH_02059","IKCLMC_04585","PKJKAM_04596","ONMMKP_00470"
"group_108","Molecular chaperone","Molecular chaperone","9","9","1","32","1469","","","","482","560","551","GEGEGB_02372","LNHIMF_00753","BEJGEH_00619","HFCAGB_00699","AJBGEP_00634","ODDLKH_01099","IKCLMC_02423","PKJKAM_03064","ONMMKP_01542"
"group_1080","Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein","Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein","9","9","1","32","59","","","","188","221","217","GEGEGB_01575","LNHIMF_01644","BEJGEH_01490","HFCAGB_01698","AJBGEP_01671","ODDLKH_02069","IKCLMC_04575","PKJKAM_04586","ONMMKP_00460"
"ydcY","","YdcY family protein","9","9","1","32","66","","","","233","233","233","GEGEGB_01582","LNHIMF_01651","BEJGEH_01483","HFCAGB_01691","AJBGEP_01678","ODDLKH_02076","IKCLMC_04568","PKJKAM_04579","ONMMKP_00453"
"SsrAB-activated protein","","SsrAB-activated protein","9","9","1","32","67","","","","1319","1328","1323","GEGEGB_01583","LNHIMF_01652","BEJGEH_01482","HFCAGB_01690","AJBGEP_01679","ODDLKH_02077","IKCLMC_04567","PKJKAM_04578","ONMMKP_00452"
"group_1083","HTH cro/C1-type domain-containing protein","HTH cro/C1-type domain-containing protein","9","9","1","32","7572","","","","536","536","536","GEGEGB_01594","LNHIMF_01663","BEJGEH_01471","HFCAGB_01678","AJBGEP_01691","ODDLKH_02089","IKCLMC_04555","PKJKAM_04566","ONMMKP_00440"
"ydcL","","Uncharacterized lipoprotein YdcL","9","9","1","32","7570","","","","668","668","668","GEGEGB_01596","LNHIMF_01665","BEJGEH_01469","HFCAGB_01676","AJBGEP_01693","ODDLKH_02091","IKCLMC_04553","PKJKAM_04564","ONMMKP_00438"
"sgcE","","Protein SgcE","9","9","1","32","7560","","","","632","632","632","GEGEGB_01606","LNHIMF_01675","BEJGEH_01459","HFCAGB_01666","AJBGEP_01703","ODDLKH_02101","IKCLMC_04543","PKJKAM_04554","ONMMKP_00428"
"2-oxoadipate dioxygenase/decarboxylase","","2-oxoadipate dioxygenase/decarboxylase","9","9","1","32","7552","","","","1079","1343","1313","GEGEGB_01613","LNHIMF_01682","BEJGEH_01448","HFCAGB_01659","AJBGEP_01710","ODDLKH_02108","IKCLMC_04536","PKJKAM_04547","ONMMKP_00417"
"Putative inner membrane protein","","Putative inner membrane protein","9","9","1","32","7542","","","","344","344","344","GEGEGB_01614","LNHIMF_01689","BEJGEH_01440","HFCAGB_01650","AJBGEP_01718","ODDLKH_02116","IKCLMC_04528","PKJKAM_04539","ONMMKP_00409"
"Amino acid ABC transporter permease component","","Amino acid ABC transporter permease component","9","9","1","32","7539","","","","632","632","632","GEGEGB_01616","LNHIMF_01691","BEJGEH_01438","HFCAGB_01647","AJBGEP_01720","ODDLKH_02118","IKCLMC_04526","PKJKAM_04537","ONMMKP_00407"
"ABC-type polar amino acid transport system","","ABC-type polar amino acid transport system","9","9","1","32","7538","","","","731","731","731","GEGEGB_01617","LNHIMF_01692","BEJGEH_01437","HFCAGB_01646","AJBGEP_01721","ODDLKH_02119","IKCLMC_04525","PKJKAM_04536","ONMMKP_00406"
"Glycosyltransferase RgtA/B/C/D-like domain-containing protein","","Glycosyltransferase RgtA/B/C/D-like domain-containing protein","9","9","1","32","7536","","","","1550","1550","1550","GEGEGB_01619","LNHIMF_01694","BEJGEH_01435","HFCAGB_01644","AJBGEP_01723","ODDLKH_02121","IKCLMC_04523","PKJKAM_04534","ONMMKP_00404"
"group_1091","hypothetical protein","hypothetical protein","9","9","1","32","7535","","","","95","95","95","GEGEGB_01620","LNHIMF_01695","BEJGEH_01434","HFCAGB_01643","AJBGEP_01724","ODDLKH_02122","IKCLMC_04522","PKJKAM_04533","ONMMKP_00403"
"Methyl-accepting chemotaxis citrate transducer","","Methyl-accepting chemotaxis citrate transducer","9","9","1","32","7513","","","","1154","1154","1154","GEGEGB_01649","LNHIMF_01718","BEJGEH_01411","HFCAGB_01621","AJBGEP_01746","ODDLKH_02144","IKCLMC_04500","PKJKAM_04511","ONMMKP_00381"
"XRE family transcriptional regulator","","XRE family transcriptional regulator","9","9","1","32","7506","","","","602","602","602","GEGEGB_01656","LNHIMF_01725","BEJGEH_01404","HFCAGB_01614","AJBGEP_01753","ODDLKH_02151","IKCLMC_04493","PKJKAM_04504","ONMMKP_00374"
"group_1094","Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein","Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein","9","9","1","32","7496","","","","236","236","236","GEGEGB_01665","LNHIMF_01734","BEJGEH_01395","HFCAGB_01605","AJBGEP_01761","ODDLKH_02159","IKCLMC_04484","PKJKAM_04495","ONMMKP_00365"
"Aldo/keto reductase","","Aldo/keto reductase","9","9","1","32","7493","","","","836","869","839","GEGEGB_01668","LNHIMF_01737","BEJGEH_01392","HFCAGB_01602","AJBGEP_01764","ODDLKH_02162","IKCLMC_04481","PKJKAM_04492","ONMMKP_00362"
"group_1096","Transcriptional regulator","Transcriptional regulator","9","9","1","32","7492","","","","905","905","905","GEGEGB_01669","LNHIMF_01738","BEJGEH_01391","HFCAGB_01601","AJBGEP_01765","ODDLKH_02163","IKCLMC_04480","PKJKAM_04491","ONMMKP_00361"
"Phage shock protein","","Phage shock protein","9","9","1","32","7480","","","","218","218","218","GEGEGB_01682","LNHIMF_01748","BEJGEH_01381","HFCAGB_01591","AJBGEP_01777","ODDLKH_02173","IKCLMC_04470","PKJKAM_04481","ONMMKP_00351"
"yciZ","","UPF0509 protein YciZ","9","9","1","32","7463","","","","170","179","177","GEGEGB_01702","LNHIMF_01768","BEJGEH_01365","HFCAGB_01575","AJBGEP_01793","ODDLKH_02189","IKCLMC_04454","PKJKAM_04464","ONMMKP_00335"
"Orotidine 5'-phosphate decarboxylase","","Orotidine 5'-phosphate decarboxylase","9","9","1","32","7459","","","","737","737","737","GEGEGB_01706","LNHIMF_01772","BEJGEH_01361","HFCAGB_01571","AJBGEP_01797","ODDLKH_02193","IKCLMC_04450","PKJKAM_04460","ONMMKP_00331"
"yciV","","5'-3' exoribonuclease","9","9","1","32","7443","","","","869","869","869","GEGEGB_01723","LNHIMF_01789","BEJGEH_01344","HFCAGB_01554","AJBGEP_01813","ODDLKH_02209","IKCLMC_04434","PKJKAM_04443","ONMMKP_00314"
"trp operon leader peptide","","trp operon leader peptide","9","9","1","32","7442","","","","62","62","62","GEGEGB_01724","LNHIMF_01790","BEJGEH_01343","HFCAGB_01553","AJBGEP_01814","ODDLKH_02210","IKCLMC_04433","PKJKAM_04442","ONMMKP_00313"
"tonB","","Protein TonB","9","9","1","32","7427","","","","722","728","726","GEGEGB_01739","LNHIMF_01805","BEJGEH_01329","HFCAGB_01538","AJBGEP_01829","ODDLKH_02225","IKCLMC_04418","PKJKAM_04427","ONMMKP_00298"
"oppB","","Oligopeptide transport system permease protein OppB","9","9","1","32","7418","","","","920","1043","947","GEGEGB_01749","LNHIMF_01814","BEJGEH_01320","HFCAGB_01529","AJBGEP_01838","ODDLKH_02234","IKCLMC_04409","PKJKAM_04418","ONMMKP_00289"
"ychJ","","UPF0225 protein YchJ","9","9","1","32","7408","","","","254","458","435","GEGEGB_01758","LNHIMF_01823","BEJGEH_01311","HFCAGB_01520","AJBGEP_01847","ODDLKH_02243","IKCLMC_04400","PKJKAM_04409","ONMMKP_00280"
"ychO","","Uncharacterized protein YchO","9","9","1","32","7397","","","","1424","1529","1447","GEGEGB_01769","LNHIMF_01835","BEJGEH_01299","HFCAGB_01508","AJBGEP_01859","ODDLKH_02255","IKCLMC_04388","PKJKAM_04397","ONMMKP_00268"
"Cation transport regulator","","Cation transport regulator","9","9","1","32","7395","","","","230","230","230","GEGEGB_01771","LNHIMF_01837","BEJGEH_01297","HFCAGB_01506","AJBGEP_01861","ODDLKH_02257","IKCLMC_04386","PKJKAM_04395","ONMMKP_00266"
"fimY","","fimbria biosynthesis regulator FimY","9","9","1","32","1401","","","","722","722","722","GEGEGB_02429","LNHIMF_00559","BEJGEH_00564","HFCAGB_00579","AJBGEP_00573","ODDLKH_01039","IKCLMC_02308","PKJKAM_03178","ONMMKP_01601"
"ycfS","","putative L,D-transpeptidase YcfS","9","9","1","32","6156","","","","791","965","945","GEGEGB_01798","LNHIMF_01255","BEJGEH_01878","HFCAGB_02080","AJBGEP_01216","ODDLKH_01620","IKCLMC_00858","PKJKAM_00534","ONMMKP_00919"
