# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_25	cds	1193	1387	-	OEKLIE_00026	87.0	8.7e-23	0.984	0.840	0.603	UniRef:UniRef50_O68934
contig_26	cds	17	1060	-	OEKLIE_00027	549.0	1.2e-197	0.844	1.0	0.983	UniRef:UniRef50_A0A564IXG3
contig_26	cds	1057	1614	-	OEKLIE_00028	233.0	7.7e-77	0.978	0.948	0.597	UniRef:UniRef50_A0A318G2B8
contig_27	cds	261	755	+	OEKLIE_00029	-	-	-	-	-	-
contig_27	cds	771	1481	+	OEKLIE_00030	473.0	4.1e-170	1.0	0.983	1.0	UniRef:UniRef50_E8XHT2
contig_27	ncRNA	1573	1641	+	OEKLIE_00031	67.9	6.2e-10	-	-	-	RFAM:RF00170
contig_28	cds	246	1658	+	OEKLIE_00032	766.0	5.0e-277	0.996	0.852	0.855	UniRef:UniRef50_P0AD61
contig_29	cds	89	907	-	OEKLIE_00033	312.0	8.0e-105	1.132	0.963	0.581	UniRef:UniRef50_A0A486UBX2
contig_29	cds	904	1128	-	OEKLIE_00034	149.0	5.0e-47	1.0	0.860	0.878	UniRef:UniRef50_Q8SBF2
contig_29	cds	1125	2282	-	OEKLIE_00035	417.0	1.9e-143	0.982	0.957	0.616	UniRef:UniRef50_A0A0E0XXS9
contig_29	ncRNA	1740	1827	-	OEKLIE_00036	79.8	4.4e-13	-	-	-	RFAM:RF01695
contig_29	ncRNA	1852	1928	-	OEKLIE_00037	64.4	1.1e-09	-	-	-	RFAM:RF01394
contig_30	cds	196	1842	+	OEKLIE_00038	1061.0	0.0	1.042	1.0	0.956	UniRef:UniRef50_P25714
contig_31	cds	345	1205	-	OEKLIE_00039	350.0	2.0e-120	0.997	1.033	0.639	UniRef:UniRef50_A0A1B9N8V6
contig_31	cds	1222	1611	-	OEKLIE_00040	142.0	1.3e-42	0.946	0.871	0.582	UniRef:UniRef50_D4F543
contig_31	cds	1608	2501	-	OEKLIE_00041	354.0	9.8e-122	0.859	0.917	0.655	UniRef:UniRef50_B2U4W6
contig_32	cds	773	1477	-	OEKLIE_00042	427.0	4.6e-152	1.051	1.0	0.951	UniRef:UniRef50_P0A7L0
contig_32	cds	1481	1909	-	OEKLIE_00043	191.0	1.8e-61	1.0	0.845	0.683	UniRef:UniRef50_P10055
contig_32	cds	2067	2612	-	OEKLIE_00044	292.0	3.9e-101	0.823	1.0	0.966	UniRef:UniRef50_A0A4Q3YN90
contig_32	cds	2614	2997	-	OEKLIE_00045	201.0	7.7e-66	1.0	0.809	0.866	UniRef:UniRef50_P0AG96
contig_33	cds	80	556	+	OEKLIE_00046	-	-	-	-	-	-
contig_33	cds	591	1115	+	OEKLIE_00047	255.0	7.7e-86	1.0	0.906	0.782	UniRef:UniRef50_P10324
contig_33	ncRNA-region	1016	1154	+	-	139.9	5.0e-24	-	-	-	RFAM:RF02782
contig_33	cds	1125	1913	+	OEKLIE_00048	270.0	6.0e-89	0.939	0.860	0.886	UniRef:UniRef50_P45955
contig_33	tRNA	2078	2153	+	OEKLIE_00049	94.9	-	-	-	-	-
contig_33	tRNA	2288	2363	+	OEKLIE_00050	94.9	-	-	-	-	-
contig_33	ncRNA-region	2393	2518	+	-	54.2	2.8e-07	-	-	-	RFAM:RF00391
contig_33	ncRNA-region	2548	2672	+	-	47.9	3.2e-06	-	-	-	RFAM:RF00391
contig_34	cds	649	2208	+	OEKLIE_00051	969.0	0.0	1.0	1.0	1.0	BlastRules:WP_000421815
contig_34	cds	2230	3228	-	OEKLIE_00052	405.0	2.2e-140	0.898	0.923	0.691	UniRef:UniRef50_A0A447U1U2
contig_35	cds	386	1312	+	OEKLIE_00053	433.0	3.5e-151	0.997	0.810	0.668	UniRef:UniRef50_P54556
contig_35	cds	1347	2309	-	OEKLIE_00054	558.0	9.8e-201	0.997	0.889	0.871	UniRef:UniRef50_P06709
contig_35	cds	2306	3334	-	OEKLIE_00055	448.0	2.4e-156	0.991	0.887	0.619	UniRef:UniRef50_Q6DAP0
contig_36	cds	40	765	-	OEKLIE_00056	328.0	6.5e-113	0.971	0.979	0.671	UniRef:UniRef50_A0A191W1Z7
contig_36	cds	780	1553	-	OEKLIE_00057	321.0	8.0e-109	1.121	0.954	0.556	UniRef:UniRef50_A0A1M5Z1N6
contig_36	cds	1640	2530	-	OEKLIE_00058	545.0	2.2e-196	0.993	0.883	0.986	UniRef:UniRef50_P07654
contig_36	cds	2530	3489	-	OEKLIE_00059	462.0	2.1e-162	1.028	0.868	0.720	UniRef:UniRef50_P45191
contig_37	cds	125	3988	+	OEKLIE_00060	1815.0	0.0	1.013	0.946	0.692	UniRef:UniRef50_B8F741
contig_38	cds	196	414	-	OEKLIE_00061	-	-	-	-	-	-
contig_38	cds	1123	1611	+	OEKLIE_00062	194.0	2.9e-62	1.0	0.994	0.648	UniRef:UniRef50_A0A2S8JWE2
contig_38	cds	2885	3874	+	OEKLIE_00063	567.0	1.7e-203	0.976	0.832	0.913	UniRef:UniRef50_Q57154
contig_39	cds	20	436	+	OEKLIE_00064	197.0	2.9e-64	0.986	1.0	0.765	UniRef:UniRef50_A0A6C8LLP3
contig_39	cds	436	1092	+	OEKLIE_00065	204.0	2.1e-64	0.940	0.858	0.566	UniRef:UniRef50_A0A836S8T1
contig_39	cds	1135	1881	+	OEKLIE_00066	365.0	4.2e-128	0.988	1.263	0.780	UniRef:UniRef50_A0A379UYJ0
contig_39	cds	1917	2090	+	OEKLIE_00067	-	-	-	-	-	-
contig_39	cds	2087	2566	+	OEKLIE_00068	229.0	1.7e-76	0.881	0.933	0.821	UniRef:UniRef50_A0A2X3JV19
contig_39	cds	2563	4494	+	OEKLIE_00069	1066.0	0.0	0.862	0.931	0.982	UniRef:UniRef50_G5Q502
contig_40	cds	277	903	-	OEKLIE_00070	355.0	5.5e-124	1.240	0.996	0.736	UniRef:UniRef50_Q8ZBB5
contig_40	cds	991	1323	+	OEKLIE_00071	145.0	1.8e-44	0.882	0.836	0.794	UniRef:UniRef50_B6VLI0
contig_40	cds	1479	1955	-	OEKLIE_00072	264.0	8.3e-90	1.0	0.883	0.829	UniRef:UniRef50_Q9KU89
contig_40	cds	2009	2110	-	OEKLIE_00073	-	-	-	-	-	-
contig_40	ncRNA-region	2050	2172	-	-	122.6	1.6e-18	-	-	-	RFAM:RF01769
contig_40	cds	2203	3636	+	OEKLIE_00074	689.0	5.2e-247	1.0	0.924	0.759	UniRef:UniRef50_P24228
contig_40	cds	3768	4802	-	OEKLIE_00075	382.0	1.8e-130	0.939	0.839	0.585	UniRef:UniRef50_Q5ZS70
contig_41	cds	19	2007	-	OEKLIE_00076	-	-	-	-	-	-
contig_41	cds	2395	3303	+	OEKLIE_00077	535.0	6.8e-192	1.0	0.839	0.841	UniRef:UniRef50_P32129
contig_41	cds	3316	3939	-	OEKLIE_00078	286.0	6.3e-97	1.010	0.843	0.670	UniRef:UniRef50_Q9X6N0
contig_41	cds	3956	4942	-	OEKLIE_00079	565.0	2.0e-202	1.210	1.0	0.715	UniRef:UniRef50_P0C0K3
contig_41	cds	5019	5288	-	OEKLIE_00080	100.0	2.5e-27	0.978	0.837	0.575	UniRef:UniRef50_P0ADP9
contig_41	cds	5358	5942	+	OEKLIE_00081	256.0	9.7e-86	0.985	0.880	0.644	UniRef:UniRef50_P32173
contig_41	cds	5924	6454	+	OEKLIE_00082	273.0	1.0e-92	0.983	0.832	0.763	UniRef:UniRef50_P32125
contig_42	cds	151	702	+	OEKLIE_00083	-	-	-	-	-	-
contig_42	cds	703	2424	+	OEKLIE_00084	672.0	2.9e-237	1.0	0.908	0.627	UniRef:UniRef50_A0A246NLP7
contig_42	cds	2469	3173	+	OEKLIE_00085	358.0	3.9e-125	0.880	0.963	0.801	UniRef:UniRef50_A0A2X3K279
contig_42	cds	3485	3703	+	OEKLIE_00086	97.8	6.0e-27	0.986	0.986	0.648	UniRef:UniRef50_Q87ZS2
contig_42	cds	3794	4705	-	OEKLIE_00087	440.0	1.8e-154	0.941	0.843	0.765	UniRef:UniRef50_A0A060VGJ9
contig_42	cds	4814	5674	+	OEKLIE_00088	350.0	3.3e-119	0.986	0.810	0.582	UniRef:UniRef50_A0A2C6DIW0
contig_42	cds	5694	6371	+	OEKLIE_00089	382.0	4.6e-135	0.884	0.980	1.0	UniRef:UniRef50_A0A446CFS7
contig_42	tRNA	6520	6606	+	OEKLIE_00090	73.0	-	-	-	-	-
contig_43	cds	64	1797	-	OEKLIE_00091	1028.0	0.0	0.983	0.983	0.857	UniRef:UniRef50_N8X3B2
contig_43	cds	1794	2288	-	OEKLIE_00092	299.0	6.0e-104	0.988	0.988	0.907	UniRef:UniRef50_A0A242NG98
contig_43	cds	2414	2764	-	OEKLIE_00093	203.0	2.6e-67	0.991	0.871	0.791	UniRef:UniRef50_A0AAE2MA32
contig_43	cds	2825	3127	-	OEKLIE_00094	141.0	3.0e-43	0.990	0.934	0.657	UniRef:UniRef50_A0A6I7D802
contig_43	cds	3347	3766	-	OEKLIE_00095	-	-	-	-	-	-
contig_43	cds	3979	4464	-	OEKLIE_00096	166.0	1.6e-51	0.957	0.957	0.558	UniRef:UniRef50_B6DZ94
contig_43	cds	4461	5075	-	OEKLIE_00097	293.0	3.5e-100	1.005	0.995	0.683	UniRef:UniRef50_A0A7W3D819
contig_43	cds	5078	5416	-	OEKLIE_00098	151.0	5.1e-47	1.018	0.983	0.579	UniRef:UniRef50_A0A6P1PZK8
contig_43	cds	5948	6205	-	OEKLIE_00099	114.0	2.9e-33	0.812	0.802	0.768	UniRef:UniRef50_A0A378BXD3
contig_43	cds	6338	6961	-	OEKLIE_00100	422.0	9.9e-151	0.990	0.872	1.0	UniRef:UniRef50_A0A3R0Y0J1
contig_43	cds	6972	7133	-	OEKLIE_00101	-	-	-	-	-	-
contig_44	cds	133	828	+	OEKLIE_00102	439.0	1.7e-156	0.970	0.865	0.991	UniRef:UniRef50_D2TUU6
contig_44	cds	1481	2014	+	OEKLIE_00103	355.0	3.6e-125	1.0	0.855	0.989	UniRef:UniRef50_A0A632TV94
contig_44	cds	2072	2899	+	OEKLIE_00104	519.0	7.5e-187	1.105	1.0	0.895	UniRef:UniRef50_P76513
contig_44	cds	3036	3575	+	OEKLIE_00105	245.0	8.7e-82	0.983	0.867	0.676	UniRef:UniRef50_P76514
contig_44	cds	3646	3876	+	OEKLIE_00106	-	-	-	-	-	-
contig_44	cds	3873	4388	+	OEKLIE_00107	229.0	4.8e-76	0.971	0.933	0.663	UniRef:UniRef50_A0A2H4FWH2
contig_44	cds	4385	5002	+	OEKLIE_00108	-	-	-	-	-	-
contig_44	cds	4999	5832	+	OEKLIE_00109	318.0	1.3e-107	1.141	1.057	0.601	UniRef:UniRef50_A0A5W6ZD90
contig_44	cds	5836	6405	+	OEKLIE_00110	230.0	2.4e-75	0.958	0.834	0.602	UniRef:UniRef50_A0A7M2VDP3
contig_44	cds	6445	6672	+	OEKLIE_00111	120.0	1.4e-35	0.933	0.833	0.771	UniRef:UniRef50_A0A7U6BE32
contig_44	cds	6809	7663	+	OEKLIE_00112	-	-	-	-	-	-
contig_44	tRNA	7777	7866	-	OEKLIE_00113	85.5	-	-	-	-	-
contig_44	cds	8174	8488	-	OEKLIE_00114	-	-	-	-	-	-
contig_45	cds	100	1062	+	OEKLIE_00115	297.0	4.5e-98	0.969	0.923	0.503	UniRef:UniRef50_A0A2N1HU91
contig_45	cds	1062	1997	+	OEKLIE_00116	324.0	4.8e-109	0.987	0.959	0.557	UniRef:UniRef50_A0A455RWQ2
contig_45	cds	2799	3986	+	OEKLIE_00117	433.0	1.4e-148	1.035	0.893	0.579	UniRef:UniRef50_P31462
contig_45	cds	3955	4914	+	OEKLIE_00118	505.0	7.4e-180	0.984	0.918	0.758	UniRef:UniRef50_P31463
contig_45	cds	5072	5827	+	OEKLIE_00119	405.0	4.0e-143	0.992	0.984	0.779	UniRef:UniRef50_P0ADM8
contig_45	cds	5845	6411	+	OEKLIE_00120	207.0	2.8e-66	0.989	0.823	0.565	UniRef:UniRef50_A0A1X1EUE1
contig_45	cds	6456	7793	-	OEKLIE_00121	803.0	5.3e-296	1.0	1.0	0.964	BlastRules:WP_000019348
contig_45	cds	7962	8627	+	OEKLIE_00122	290.0	3.8e-98	0.991	0.905	0.616	UniRef:UniRef50_A0A0D6GJ90
contig_46	cds	64	342	+	OEKLIE_00123	-	-	-	-	-	-
contig_46	ncRNA	628	756	+	OEKLIE_00124	108.3	9.8e-16	-	-	-	RFAM:RF02957
contig_46	cds	818	1516	+	OEKLIE_00125	464.0	5.8e-167	1.0	0.963	1.0	UniRef:UniRef50_A0A8D5C0H2
contig_46	cds	1859	4027	+	OEKLIE_00126	468.0	9.6e-153	1.0	0.895	0.533	UniRef:UniRef50_A0A0T9QR00
contig_46	cds	4084	5814	+	OEKLIE_00127	1111.0	0.0	1.007	1.0	0.983	UniRef:UniRef50_A0A0R9PUQ5
contig_46	cds	6024	6197	+	OEKLIE_00128	-	-	-	-	-	-
contig_46	cds	6719	8173	-	OEKLIE_00129	573.0	1.4e-201	0.986	0.939	0.629	UniRef:UniRef50_N9WHX3
contig_46	cds	8369	8695	-	OEKLIE_00130	209.0	1.0e-69	1.093	0.959	0.890	UniRef:UniRef50_Q8ZNR8
contig_47	cds	388	861	+	OEKLIE_00131	219.0	4.5e-72	0.981	0.880	0.721	UniRef:UniRef50_A0A5U7CPM3
contig_47	ncRNA	1071	1168	-	OEKLIE_00132	80.0	2.7e-12	-	-	-	RFAM:RF01392
contig_47	cds	1076	1264	-	OEKLIE_00133	105.0	5.6e-30	0.984	0.803	0.738	UniRef:UniRef50_A0A348DDS2
contig_47	tRNA	1353	1429	-	OEKLIE_00134	64.8	-	-	-	-	-
contig_47	ncRNA	1664	1738	-	OEKLIE_00135	100.4	1.4e-16	-	-	-	RFAM:RF01393
contig_47	cds	1771	2334	-	OEKLIE_00136	174.0	1.2e-53	0.989	0.939	0.546	UniRef:UniRef50_A0A8E0KTY7
contig_47	ncRNA	2389	2472	-	OEKLIE_00137	73.3	8.1e-12	-	-	-	RFAM:RF01695
contig_47	ncRNA	2498	2574	-	OEKLIE_00138	79.4	1.9e-12	-	-	-	RFAM:RF01394
contig_47	ncRNA	2535	2587	-	OEKLIE_00139	48.2	1.5e-07	-	-	-	RFAM:RF03163
contig_47	cds	2607	3284	-	OEKLIE_00140	269.0	1.7e-89	1.142	0.959	0.556	UniRef:UniRef50_A0A377ZPB5
contig_47	cds	3281	3421	-	OEKLIE_00141	69.3	2.6e-16	0.978	0.804	0.778	UniRef:UniRef50_A0A090V867
contig_47	cds	3418	4029	-	OEKLIE_00142	322.0	4.1e-112	1.0	1.167	0.818	UniRef:UniRef50_A0A5T4DKW6
contig_47	cds	4032	4238	-	OEKLIE_00143	84.3	1.3e-21	0.971	0.857	0.561	UniRef:UniRef50_A0A807LK32
contig_47	cds	4238	4840	-	OEKLIE_00144	315.0	1.2e-108	0.985	0.835	0.777	UniRef:UniRef50_A8AHQ1
contig_47	cds	5240	5473	-	OEKLIE_00145	106.0	4.0e-30	0.987	0.826	0.632	UniRef:UniRef50_A0A481W2L8
contig_47	cds	5743	6735	+	OEKLIE_00146	451.0	7.3e-158	1.085	0.981	0.648	UniRef:UniRef50_Q8X834
contig_47	cds	6762	7280	-	OEKLIE_00147	242.0	3.8e-81	0.988	1.056	0.788	UniRef:UniRef50_A0A5I3RTH5
contig_47	cds	7277	7594	-	OEKLIE_00148	190.0	3.2e-62	1.124	0.922	0.873	UniRef:UniRef50_C0PVW9
contig_47	cds	7635	8384	-	OEKLIE_00149	478.0	1.1e-171	1.084	1.0	0.919	UniRef:UniRef50_P77546
contig_47	cds	8387	9469	-	OEKLIE_00150	395.0	8.7e-135	1.181	1.002	0.541	UniRef:UniRef50_A0A5U9MFF6
contig_47	cds	9560	9880	-	OEKLIE_00151	183.0	1.2e-59	1.0	0.841	0.887	UniRef:UniRef50_A0A2V4FYD3
contig_47	cds	9894	10136	-	OEKLIE_00152	93.6	4.5e-25	1.0	1.039	0.575	UniRef:UniRef50_A0A379S187
contig_47	cds	10209	10622	+	OEKLIE_00153	182.0	1.6e-58	0.964	0.904	0.689	UniRef:UniRef50_A8AHR9
contig_48	cds	18	140	-	OEKLIE_00154	-	-	-	-	-	-
contig_48	cds	313	1536	+	OEKLIE_00155	546.0	1.1e-192	0.993	0.845	0.696	UniRef:UniRef50_A0A084A2C7
contig_48	cds	1514	1972	+	OEKLIE_00156	252.0	4.1e-85	0.987	0.815	0.793	UniRef:UniRef50_Q5ZSN0
contig_48	cds	2080	2676	+	OEKLIE_00157	302.0	2.8e-103	1.0	0.825	0.798	UniRef:UniRef50_P0C093
contig_48	cds	2754	3395	-	OEKLIE_00158	301.0	1.6e-102	1.0	0.807	0.685	UniRef:UniRef50_P50587
contig_48	cds	3474	4190	-	OEKLIE_00159	271.0	3.1e-90	0.975	0.875	0.612	UniRef:UniRef50_R9M712
contig_48	cds	4316	5179	+	OEKLIE_00160	361.0	2.4e-123	1.003	0.811	0.646	UniRef:UniRef50_P23839
contig_48	cds	5229	6131	-	OEKLIE_00161	408.0	2.2e-142	0.993	0.971	0.671	UniRef:UniRef50_V5U293
contig_48	cds	6205	7086	+	OEKLIE_00162	389.0	7.9e-135	0.986	0.900	0.657	UniRef:UniRef50_N9EX43
contig_48	cds	7337	7954	+	OEKLIE_00163	351.0	4.9e-123	1.0	1.0	0.868	UniRef:UniRef50_A0A088QDU6
contig_48	cds	7951	9636	-	OEKLIE_00164	681.0	6.7e-242	0.996	0.982	0.562	UniRef:UniRef50_A4W502
contig_48	cds	9893	10516	+	OEKLIE_00165	355.0	5.9e-124	0.995	0.817	0.879	UniRef:UniRef50_Q8ZJQ2
contig_48	cds	10571	10846	+	OEKLIE_00166	92.4	4.6e-24	0.956	0.813	0.552	UniRef:UniRef50_A0A2D4TDH0
contig_49	cds	20	1060	-	OEKLIE_00167	567.0	4.1e-203	1.0	0.861	0.824	UniRef:UniRef50_P0AG82
contig_49	cds	1129	1230	+	OEKLIE_00168	-	-	-	-	-	-
contig_49	cds	1227	2600	-	OEKLIE_00169	493.0	4.8e-171	0.956	0.971	0.664	UniRef:UniRef50_A0A656BGN2
contig_49	cds	2649	3467	-	OEKLIE_00170	319.0	3.3e-108	1.007	0.958	0.584	UniRef:UniRef50_A0A1B7JTB9
contig_49	cds	3529	5319	+	OEKLIE_00171	870.0	1.4e-317	0.982	1.309	0.757	UniRef:UniRef50_A0A6C7I7A3
contig_49	cds	5470	7299	-	OEKLIE_00172	1055.0	0.0	0.979	0.951	0.903	UniRef:UniRef50_P59499
contig_49	cds	7488	8858	-	OEKLIE_00173	538.0	3.9e-188	0.978	0.901	0.610	UniRef:UniRef50_A7MMY0
contig_49	ncRNA	8942	9099	+	OEKLIE_00174	126.7	5.5e-17	-	-	-	RFAM:RF02060
contig_49	cds	9178	9876	-	OEKLIE_00175	434.0	7.6e-155	1.017	1.0	0.979	UniRef:UniRef50_Q8ZKW9
contig_49	cds	10106	10525	-	OEKLIE_00176	199.0	6.3e-65	0.964	0.876	0.746	UniRef:UniRef50_Q12HQ2
contig_49	cds	10546	10971	-	OEKLIE_00177	185.0	3.2e-59	0.986	0.832	0.647	UniRef:UniRef50_A0A522PNK0
contig_50	cds	125	679	+	OEKLIE_00178	230.0	1.5e-76	1.0	1.227	0.663	UniRef:UniRef50_A0AAX2K897
contig_50	cds	655	912	-	OEKLIE_00179	128.0	1.8e-38	1.0	0.895	0.682	UniRef:UniRef50_A0A8E1RUV6
contig_50	cds	909	1730	-	OEKLIE_00180	310.0	2.2e-104	0.982	0.934	0.549	UniRef:UniRef50_A0A0X9VZD4
contig_50	cds	1732	2304	-	OEKLIE_00181	295.0	7.9e-101	0.989	0.855	0.782	UniRef:UniRef50_P45748
contig_50	cds	2309	2851	-	OEKLIE_00182	246.0	7.1e-82	0.983	0.816	0.780	UniRef:UniRef50_P45771
contig_50	cds	2878	3351	-	OEKLIE_00183	291.0	1.1e-100	0.994	0.881	0.917	UniRef:UniRef50_P0A828
contig_50	cds	3323	4447	-	OEKLIE_00184	495.0	2.2e-174	1.0	0.987	0.671	UniRef:UniRef50_A0A6N2WU06
contig_50	cds	4579	5088	+	OEKLIE_00185	229.0	1.8e-75	1.006	0.850	0.694	UniRef:UniRef50_P57948
contig_50	cds	5104	6051	+	OEKLIE_00186	556.0	1.7e-199	1.0	0.838	0.879	UniRef:UniRef50_P23882
contig_50	cds	6103	7392	+	OEKLIE_00187	745.0	2.3e-270	1.0	0.850	0.839	UniRef:UniRef50_P36929
contig_50	cds	7414	8790	+	OEKLIE_00188	552.0	4.1e-193	1.0	0.856	0.616	UniRef:UniRef50_Q8EKR1
contig_50	cds	8932	9345	+	OEKLIE_00189	254.0	1.5e-86	0.985	0.808	0.985	UniRef:UniRef50_P0A742
contig_50	cds	9281	9550	-	OEKLIE_00190	129.0	7.6e-39	1.022	0.843	0.736	UniRef:UniRef50_A8AQI6
contig_50	cds	9608	10033	-	OEKLIE_00191	258.0	4.5e-88	0.943	0.821	0.992	UniRef:UniRef50_P0ACS5
contig_50	cds	10044	10412	-	OEKLIE_00192	180.0	1.0e-57	0.992	0.834	0.678	UniRef:UniRef50_A0A3D0EHT8
contig_50	cds	10520	10903	-	OEKLIE_00193	177.0	8.9e-57	0.929	0.837	0.763	UniRef:UniRef50_P44355
contig_50	cds	10944	11210	-	OEKLIE_00194	112.0	2.0e-32	0.830	0.839	0.712	UniRef:UniRef50_A0A3S4VGT7
contig_51	cds	107	292	+	OEKLIE_00195	126.0	1.0e-38	1.0	1.0	0.984	UniRef:UniRef50_G5R962
contig_51	cds	371	568	-	OEKLIE_00196	100.0	6.3e-28	0.954	0.805	0.710	UniRef:UniRef50_U3U0K0
contig_51	cds	647	1651	-	OEKLIE_00197	346.0	1.7e-116	1.006	0.918	0.568	UniRef:UniRef50_P0ABC3
contig_51	cds	1654	2229	-	OEKLIE_00198	-	-	-	-	-	-
contig_51	cds	2205	2912	-	OEKLIE_00199	366.0	1.2e-127	0.881	0.802	0.947	UniRef:UniRef50_A0A2X2XJ53
contig_51	cds	3127	4407	-	OEKLIE_00200	496.0	1.3e-172	0.981	0.891	0.648	UniRef:UniRef50_Q0I442
contig_51	cds	4479	4787	-	OEKLIE_00201	-	-	-	-	-	-
contig_51	cds	4870	5820	-	OEKLIE_00202	497.0	2.5e-176	1.149	0.992	0.716	UniRef:UniRef50_P16384
contig_51	cds	5813	7669	-	OEKLIE_00203	801.0	4.3e-289	0.840	0.990	0.829	UniRef:UniRef50_A0A2X4UAZ6
contig_51	cds	7679	8998	-	OEKLIE_00204	592.0	1.3e-211	0.820	0.970	0.861	UniRef:UniRef50_A0A376FG01
contig_51	cds	9015	9476	-	OEKLIE_00205	214.0	5.7e-70	0.987	0.803	0.689	UniRef:UniRef50_P0AF67
contig_51	cds	9448	10992	-	OEKLIE_00206	979.0	0.0	1.140	0.998	0.877	UniRef:UniRef50_P31806
contig_51	cds	10994	12133	+	OEKLIE_00207	475.0	5.6e-165	1.243	0.994	0.548	UniRef:UniRef50_P39288
contig_52	cds	405	506	+	OEKLIE_00208	-	-	-	-	-	-
contig_52	cds	1284	1772	-	OEKLIE_00209	303.0	4.4e-105	0.969	0.863	0.962	UniRef:UniRef50_A0A6M8UEQ2
contig_52	cds	2031	3146	+	OEKLIE_00210	-	-	-	-	-	-
contig_52	cds	3139	3648	+	OEKLIE_00211	336.0	3.2e-118	1.0	0.983	1.0	UniRef:UniRef50_P37414
contig_52	cds	3832	4167	+	OEKLIE_00212	-	-	-	-	-	-
contig_52	cds	4224	4790	+	OEKLIE_00213	213.0	5.4e-69	0.973	0.893	0.563	UniRef:UniRef50_A0A631J4Y7
contig_52	cds	4822	5763	-	OEKLIE_00214	587.0	8.3e-215	1.0	1.0	1.0	IS:ISSen7
contig_52	cds	5904	6044	+	OEKLIE_00215	-	-	-	-	-	-
contig_52	cds	6178	7383	+	OEKLIE_00216	450.0	7.7e-155	0.968	0.827	0.577	UniRef:UniRef50_P07620
contig_52	cds	7383	8357	+	OEKLIE_00217	306.0	2.6e-101	1.015	0.943	0.535	UniRef:UniRef50_P07621
contig_52	cds	8439	9713	-	OEKLIE_00218	717.0	4.5e-260	0.986	0.929	0.844	UniRef:UniRef50_A0A729IQK2
contig_52	cds	9713	10135	-	OEKLIE_00219	268.0	3.8e-92	1.0	0.897	0.943	UniRef:UniRef50_P23831
contig_52	cds	10646	11116	+	OEKLIE_00220	192.0	2.6e-61	0.981	0.832	0.582	UniRef:UniRef50_A0A2J0PS08
contig_52	cds	11109	11465	+	OEKLIE_00221	167.0	5.7e-53	0.966	0.958	0.640	UniRef:UniRef50_A0A0J1Q0T4
contig_52	cds	11847	12527	+	OEKLIE_00222	407.0	9.9e-145	1.004	1.0	0.868	UniRef:UniRef50_J5Q4F7
