#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_56	12736	12867	+	OEKLIE_00295	4.9	7.9		SO:0001217, UniRef:UniRef50_E8XLJ5
contig_56	17674	18096	-	OEKLIE_00300	15.2	6.1	PF00484.24|Pro_CA	PFAM:PF00484.24
contig_58	3238	3834	-	OEKLIE_00333	21.5	6.1	PF00294.29|PfkB, PF01256.23|Carb_kinase	PFAM:PF00294.29, PFAM:PF01256.23
contig_58	3809	4465	-	OEKLIE_00334	23.9	9.3	PF00294.29|PfkB, PF08220.18|HTH_DeoR	PFAM:PF00294.29, PFAM:PF08220.18
contig_59	8077	9240	+	OEKLIE_00355	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_60	3790	3927	-	OEKLIE_00371	5.5	5.0		
contig_60	7809	7982	-	OEKLIE_00375	6.3	4.4	PF02597.26|ThiS	PFAM:PF02597.26
contig_60	15594	15746	+	OEKLIE_00384	5.3	5.1	PF00216.26|Bac_DNA_binding	PFAM:PF00216.26
contig_62	278	637	+	OEKLIE_00409	12.8	6.0		
contig_62	11591	12379	+	OEKLIE_00421	29.6	9.5	PF00165.29|HTH_AraC, PF12833.13|HTH_18	PFAM:PF00165.29, PFAM:PF12833.13
contig_62	16562	18835	-	OEKLIE_00430	85.0	5.1		SO:0001217, UniRef:UniRef50_R8X0A7
contig_62	19721	20002	+	OEKLIE_00433	10.2	9.8		
contig_62	20858	21433	+	OEKLIE_00435	22.3	11.0		
contig_63	52	294	+	OEKLIE_00438	9.2	8.2		
contig_64	3790	4029	+	OEKLIE_00464	8.8	10.5		
contig_65	1512	1667	+	OEKLIE_00490	6.3	7.8		
contig_65	6599	6757	+	OEKLIE_00496	5.7	6.5		
contig_65	14726	15241	+	OEKLIE_00511	18.4	9.3		
contig_65	16054	16173	+	OEKLIE_00514	4.7	9.2		
contig_65	26246	26596	-	OEKLIE_00528	12.5	8.7		
contig_65	26603	27235	-	OEKLIE_00529	23.0	9.5		
contig_67	15575	15736	+	OEKLIE_00571	5.7	4.8		
contig_67	15858	16031	+	OEKLIE_00572	6.0	11.8		
contig_67	16165	16344	+	OEKLIE_00573	6.4	8.2	PF13091.12|PLDc_2	PFAM:PF13091.12
contig_67	21724	21909	-	OEKLIE_00582	6.7	8.0		
contig_67	23613	23726	+	OEKLIE_00586	4.2	6.5		
contig_67	30744	30953	+	OEKLIE_00593	7.9	5.5	PF04076.19|BOF	PFAM:PF04076.19
contig_68	679	972	+	OEKLIE_00594	11.1	6.3		
contig_68	19600	19767	-	OEKLIE_00608	6.8	10.0		
contig_69	477	986	+	OEKLIE_00618	20.1	10.3		
contig_69	32267	32521	-	OEKLIE_00646	9.3	5.0	PF00359.27|PTS_EIIA_2	PFAM:PF00359.27
contig_70	7	138	-	OEKLIE_00647	4.9	6.7		
contig_70	8296	8478	+	OEKLIE_00655	6.2	10.0		
contig_73	3211	3498	+	OEKLIE_00764	10.9	10.4	PF13693.12|HTH_35	PFAM:PF13693.12
contig_73	40115	40909	-	OEKLIE_00802	30.5	4.7	PF06877.16|RraB	PFAM:PF06877.16
contig_74	35876	36853	+	OEKLIE_00837	35.2	9.5		
contig_74	36857	37255	+	OEKLIE_00838	14.2	5.2		
contig_75	261	599	+	OEKLIE_00843	11.9	6.3		
contig_75	2389	2775	-	OEKLIE_00846	13.3	5.2		
contig_75	21141	22049	-	OEKLIE_00864	33.3	5.7		
contig_76	7827	8195	+	OEKLIE_00893	13.9	4.4		
contig_76	8244	8540	+	OEKLIE_00894	10.7	6.5		
contig_76	10079	10270	-	OEKLIE_00896	7.1	6.7		
contig_76	44047	44259	+	OEKLIE_00927	8.0	7.9		
contig_77	12	758	+	OEKLIE_00928	26.9	5.3	PF01232.29|Mannitol_dh, PF08125.19|Mannitol_dh_C	PFAM:PF01232.29, PFAM:PF08125.19
contig_77	44887	45240	-	OEKLIE_00973	13.4	6.6		
contig_78	29721	31928	-	OEKLIE_01008	78.7	8.9	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_78	45969	46547	-	OEKLIE_01021	21.1	8.1	PF07969.17|Amidohydro_3	PFAM:PF07969.17
contig_79	25	501	+	OEKLIE_01022	18.4	11.4		
contig_79	816	2135	-	OEKLIE_01023	49.0	9.5	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF04225.17|LysM_OapA, PF08525.16|OapA_N, PF19425.4|Csd3_N2, PF22310.2|NMB0315_dom_I	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF04225.17, PFAM:PF08525.16, PFAM:PF19425.4, PFAM:PF22310.2
contig_79	6753	6998	+	OEKLIE_01029	9.0	6.5		
contig_79	7085	7735	+	OEKLIE_01030	25.3	5.7		
contig_79	46079	47347	+	OEKLIE_01071	44.8	9.6	PF01490.24|Aa_trans	PFAM:PF01490.24
contig_79	48864	49811	-	OEKLIE_01075	35.5	9.4	PF12913.13|SH3_6, PF12914.13|SH3_7	PFAM:PF12913.13, PFAM:PF12914.13
contig_80	140	646	+	OEKLIE_01076	19.7	11.8		
contig_80	1190	1768	+	OEKLIE_01077	21.7	7.9		
contig_80	19017	19826	-	OEKLIE_01096	30.2	9.4		
contig_80	50221	50595	-	OEKLIE_01131	13.8	8.7	PF00102.32|Y_phosphatase, PF22784.1|PTP-SAK	PFAM:PF00102.32, PFAM:PF22784.1
contig_81	30	299	+	OEKLIE_01132	9.9	6.8	PF00248.27|Aldo_ket_red	PFAM:PF00248.27
contig_81	40794	40985	-	OEKLIE_01178	6.6	4.1		SO:0001217, UniRef:UniRef50_A0A659S1Q6
contig_82	6818	7273	+	OEKLIE_01197	15.3	5.0	PF07012.17|Curlin_rpt	PFAM:PF07012.17
contig_82	49385	49609	+	OEKLIE_01241	8.4	4.5		SO:0001217, UniRef:UniRef50_G5NAS5
contig_83	41426	41569	-	OEKLIE_01285	5.3	9.2		SO:0001217, UniRef:UniRef50_A0A8D5DXP7
contig_84	10141	10233	-	OEKLIE_01307	3.5	8.4		
contig_84	10272	10523	-	OEKLIE_01308	9.6	8.8		
contig_84	34452	35882	+	OEKLIE_01332	54.6	5.5		
contig_84	39449	39997	+	OEKLIE_01338	19.6	4.9		
contig_84	53823	54173	+	OEKLIE_01350	13.3	9.4	PF00258.30|Flavodoxin_1, PF12724.12|Flavodoxin_5	PFAM:PF00258.30, PFAM:PF12724.12
contig_85	8259	8498	+	OEKLIE_01361	8.4	9.6		
contig_85	25182	25658	+	OEKLIE_01378	17.4	9.6		
contig_85	27747	27893	-	OEKLIE_01380	5.6	9.2		
contig_85	32824	32946	-	OEKLIE_01386	4.6	6.7		
contig_85	33547	33705	+	OEKLIE_01387	5.7	9.7		
contig_85	37133	37363	-	OEKLIE_01392	8.3	10.0		
contig_85	46282	46572	-	OEKLIE_01406	10.7	5.0		
contig_85	55031	55294	-	OEKLIE_01413	10.3	9.7		
contig_86	5054	5899	-	OEKLIE_01418	29.6	5.5		
contig_86	6308	7051	+	OEKLIE_01419	29.0	9.1	PF00165.29|HTH_AraC, PF06445.20|GyrI-like, PF12833.13|HTH_18, PF14526.11|Cass2	PFAM:PF00165.29, PFAM:PF06445.20, PFAM:PF12833.13, PFAM:PF14526.11
contig_86	17938	18162	+	OEKLIE_01431	8.4	9.8		
contig_86	23408	23599	-	OEKLIE_01438	6.7	11.7		
contig_87	217	441	+	OEKLIE_01474	8.7	9.6		
contig_87	445	693	+	OEKLIE_01475	9.8	9.3		
contig_87	11504	12781	+	OEKLIE_01492	45.6	5.0		
contig_87	14305	14673	+	OEKLIE_01495	13.2	4.9		
contig_87	28158	29372	+	OEKLIE_01517	42.9	4.9	PF21882.2|Gp53-like_C	PFAM:PF21882.2
contig_87	29379	29783	+	OEKLIE_01518	15.6	4.6		
contig_87	62572	62739	+	OEKLIE_01554	5.7	10.5		
contig_87	62876	63514	+	OEKLIE_01555	23.8	9.1	PF00440.29|TetR_N, PF08362.16|TetR_C_3	PFAM:PF00440.29, PFAM:PF08362.16
contig_88	266	409	-	OEKLIE_01558	5.3	4.5		
contig_88	573	857	-	OEKLIE_01559	10.7	4.9		
contig_88	1606	1863	-	OEKLIE_01563	9.6	9.4		
contig_88	1826	2155	-	OEKLIE_01564	12.4	4.9		
contig_88	15196	16599	+	OEKLIE_01579	49.8	5.3	PF07196.18|Flagellin_IN	PFAM:PF07196.18
contig_88	17021	17389	+	OEKLIE_01581	13.7	5.1		
contig_88	24995	25702	+	OEKLIE_01589	25.8	4.6		
contig_88	27534	28751	+	OEKLIE_01592	41.8	4.9	PF02120.21|Flg_hook	PFAM:PF02120.21
contig_88	37413	37598	-	OEKLIE_01606	7.0	5.8		
contig_88	49736	49885	-	OEKLIE_01621	5.5	6.0		
contig_88	61359	61523	-	OEKLIE_01635	6.1	10.0		
contig_88	63295	63495	-	OEKLIE_01640	7.3	6.6		
contig_89	4254	4550	-	OEKLIE_01646	11.5	6.5	PF05016.21|ParE_toxin	PFAM:PF05016.21
contig_89	37221	37343	-	OEKLIE_01675	4.7	10.6		
contig_90	5909	6328	-	OEKLIE_01706	15.5	9.2		
contig_90	6380	7111	-	OEKLIE_01707	28.1	5.9	PF17767.7|NAPRTase_N	PFAM:PF17767.7
contig_90	8932	9171	-	OEKLIE_01710	8.7	10.4		
contig_90	17412	17723	+	OEKLIE_01722	11.3	4.5		
contig_90	21550	21768	+	OEKLIE_01729	8.1	6.7		
contig_90	34283	34681	+	OEKLIE_01747	14.7	4.4	PF06894.17|Phage_TAC_2	PFAM:PF06894.17
contig_90	34756	35007	+	OEKLIE_01748	9.1	4.1		
contig_90	38502	38999	+	OEKLIE_01751	17.4	4.6	PF13505.12|OMP_b-brl	PFAM:PF13505.12
contig_90	45244	45486	+	OEKLIE_01757	8.6	9.6		
contig_90	67559	68728	-	OEKLIE_01776	43.5	4.5	PF05362.19|Lon_C	PFAM:PF05362.19
contig_91	24234	24497	+	OEKLIE_01797	10.5	4.4		SO:0001217, UniRef:UniRef50_A0A0F1A9E0
contig_91	26198	26335	-	OEKLIE_01800	5.9	8.2		
contig_91	27940	28098	+	OEKLIE_01805	6.0	9.2		
contig_91	28773	29054	+	OEKLIE_01807	11.1	9.7	PF13683.12|rve_3	PFAM:PF13683.12
contig_91	35272	35883	-	OEKLIE_01813	22.3	9.8		
contig_91	47640	47801	+	OEKLIE_01824	5.8	5.0		
contig_91	57266	57568	+	OEKLIE_01834	11.4	9.1		
contig_91	57519	57863	+	OEKLIE_01835	11.4	4.4		
contig_91	68630	69805	-	OEKLIE_01848	42.7	8.7	PF13953.12|PapC_C	PFAM:PF13953.12
contig_93	19	1212	-	OEKLIE_01919	43.8	8.8	PF09119.15|SicP-binding	PFAM:PF09119.15
contig_93	1642	1902	-	OEKLIE_01921	10.1	9.3		
contig_93	25754	25930	-	OEKLIE_01948	6.5	10.9		
contig_93	30814	32022	-	OEKLIE_01952	43.5	10.1		
contig_93	74460	74687	-	OEKLIE_01993	8.0	8.0	PF00113.28|Enolase_C	PFAM:PF00113.28
contig_94	44655	44939	-	OEKLIE_02039	10.3	4.1		
contig_94	49948	50043	+	OEKLIE_02045	3.7	6.0		SO:0001217, UniRef:UniRef50_A0A3S4H9S7
contig_94	66247	66573	+	OEKLIE_02058	13.3	10.0		
contig_95	26	436	+	OEKLIE_02067	15.5	11.4		
contig_95	19501	20043	+	OEKLIE_02084	20.1	8.5	PF03925.18|SeqA, PF17206.9|SeqA_N	PFAM:PF03925.18, PFAM:PF17206.9
contig_95	26267	26371	-	OEKLIE_02089	4.3	11.8		
contig_95	43078	43299	+	OEKLIE_02103	8.0	6.5		
contig_95	54049	54186	+	OEKLIE_02113	5.4	6.0		
contig_95	68285	68410	+	OEKLIE_02126	4.6	9.0		
contig_95	72577	72690	+	OEKLIE_02129	4.0	4.5		
contig_95	74927	76012	+	OEKLIE_02134	37.6	9.5		
contig_96	1885	2067	+	OEKLIE_02136	6.1	9.9		
contig_96	3881	3976	-	OEKLIE_02140	3.5	5.4		
contig_96	14966	15493	-	OEKLIE_02153	19.2	9.2	PF08332.16|CaMKII_AD, PF11533.15|AtzH-like, PF13474.12|SnoaL_3, PF13577.12|SnoaL_4, PF14534.12|DUF4440	PFAM:PF08332.16, PFAM:PF11533.15, PFAM:PF13474.12, PFAM:PF13577.12, PFAM:PF14534.12
contig_96	19792	20202	-	OEKLIE_02159	15.3	5.8		
contig_96	24842	24994	-	OEKLIE_02165	5.9	9.7		SO:0001217, UniRef:UniRef50_B5F5Z7
contig_96	39045	39398	-	OEKLIE_02180	13.4	10.8	PF13384.12|HTH_23, PF13518.12|HTH_28, PF13551.12|HTH_29	PFAM:PF13384.12, PFAM:PF13518.12, PFAM:PF13551.12
contig_96	39737	39946	-	OEKLIE_02182	7.5	8.8		
contig_97	18220	18393	+	OEKLIE_02230	6.9	10.0		
contig_97	18390	19010	+	OEKLIE_02231	23.1	5.2		
contig_97	46030	46746	-	OEKLIE_02259	27.9	9.2		
contig_97	54306	54401	-	OEKLIE_02267	3.5	5.9		SO:0001217, UniRef:UniRef50_A0A3S4GLI1
contig_97	67462	67728	-	OEKLIE_02280	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_98	447	704	+	OEKLIE_02296	9.9	12.0		
contig_98	2476	2700	-	OEKLIE_02298	8.8	11.0		
contig_98	4771	4950	+	OEKLIE_02302	6.5	10.6		SO:0001217, UniRef:UniRef50_A0A4Z0LFH4
contig_98	60729	60914	+	OEKLIE_02354	7.4	11.8		
contig_98	65865	66107	-	OEKLIE_02359	8.6	9.3		
contig_98	88142	88441	-	OEKLIE_02383	11.0	9.7	PF00959.24|Phage_lysozyme	PFAM:PF00959.24
contig_99	2640	2924	+	OEKLIE_02385	10.5	9.5	PF01386.24|Ribosomal_L25p	PFAM:PF01386.24
contig_99	11571	12812	-	OEKLIE_02395	44.0	5.5		
contig_99	12873	13391	-	OEKLIE_02396	19.5	5.0		
contig_99	13405	13734	-	OEKLIE_02397	12.1	5.7		
contig_99	16771	17001	-	OEKLIE_02401	8.7	9.7		
contig_99	16991	17092	-	OEKLIE_02402	3.7	4.4		
contig_99	20127	20918	-	OEKLIE_02404	27.8	5.0	PF03406.18|Phage_fiber_2	PFAM:PF03406.18
contig_99	24683	25186	-	OEKLIE_02410	18.4	9.4	PF00578.27|AhpC-TSA, PF08534.16|Redoxin	PFAM:PF00578.27, PFAM:PF08534.16
contig_99	27587	27760	-	OEKLIE_02413	6.3	11.9		
contig_99	30491	30940	-	OEKLIE_02418	16.4	6.9		
contig_99	46943	49789	-	OEKLIE_02434	106.3	5.8	PF00072.30|Response_reg, PF00512.31|HisKA, PF02518.31|HATPase_c, PF09456.16|RcsC	PFAM:PF00072.30, PFAM:PF00512.31, PFAM:PF02518.31, PFAM:PF09456.16
contig_99	72056	72232	-	OEKLIE_02452	6.7	5.6		
contig_99	91069	91506	-	OEKLIE_02472	16.3	7.0		
contig_99	91475	91828	-	OEKLIE_02473	12.5	7.8	PF00561.26|Abhydrolase_1, PF12697.13|Abhydrolase_6	PFAM:PF00561.26, PFAM:PF12697.13
contig_99	94977	95282	-	OEKLIE_02476	11.3	5.1	PF05957.18|DUF883	PFAM:PF05957.18
contig_100	45518	45925	+	OEKLIE_02517	15.7	4.7		
contig_100	70396	70530	-	OEKLIE_02537	4.8	10.0		SO:0001217, UniRef:UniRef50_A0A379WNS4
contig_100	78205	78510	-	OEKLIE_02544	11.2	9.8		
contig_100	78610	78768	-	OEKLIE_02545	6.0	11.0		
contig_101	17086	17433	+	OEKLIE_02590	13.9	6.1	PF13708.11|DUF4942	PFAM:PF13708.11
contig_101	18769	18942	-	OEKLIE_02592	6.5	10.0		
contig_101	64540	65373	+	OEKLIE_02637	29.1	9.7	PF00892.27|EamA	PFAM:PF00892.27
contig_101	82206	82379	-	OEKLIE_02655	6.3	11.9		
contig_102	20965	22923	+	OEKLIE_02698	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_102	55351	55671	+	OEKLIE_02725	11.6	9.5	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_102	117753	118211	-	OEKLIE_02787	16.5	8.0		
contig_103	65833	66024	+	OEKLIE_02849	7.4	5.1		SO:0001217, UniRef:UniRef50_A9MMV4
contig_103	97926	98441	-	OEKLIE_02884	18.8	5.9	PF12883.13|DUF3828	PFAM:PF12883.13
contig_103	115076	115228	-	OEKLIE_02898	NA	5.0	PF00313.28|CSD	PFAM:PF00313.28
contig_103	120147	120335	-	OEKLIE_02904	7.1	9.8		
contig_104	2774	2902	+	OEKLIE_02906	5.1	6.7		
contig_104	5859	6173	-	OEKLIE_02909	12.3	8.7		
contig_104	6316	7275	+	OEKLIE_02910	34.8	5.9		
contig_104	25920	26135	-	OEKLIE_02931	8.5	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
contig_104	68751	69077	-	OEKLIE_02979	12.1	5.1	PF03860.21|DUF326	PFAM:PF03860.21
contig_104	75953	76267	+	OEKLIE_02986	10.6	8.8	PF13146.11|TRL	PFAM:PF13146.11
contig_104	77029	78072	-	OEKLIE_02988	39.0	6.0	PF13088.12|BNR_2	PFAM:PF13088.12
contig_104	79197	79370	+	OEKLIE_02990	6.7	11.0		
contig_104	86527	86730	+	OEKLIE_03001	7.9	9.2		SO:0001217, UniRef:UniRef50_A0A659M0N4
contig_104	136840	137070	-	OEKLIE_03051	8.1	9.2	PF08541.16|ACP_syn_III_C	PFAM:PF08541.16
contig_105	18164	18526	+	OEKLIE_03070	13.2	8.6		
contig_105	29683	30012	+	OEKLIE_03084	12.0	8.7		
contig_105	66407	66607	+	OEKLIE_03119	8.1	8.0		
contig_105	73714	73956	-	OEKLIE_03127	8.3	4.6		
contig_105	88769	88960	+	OEKLIE_03139	7.4	11.9		
contig_105	101961	103427	-	OEKLIE_03146	51.6	4.8	PF05688.17|BIg21, PF05689.17|InvE_AD	PFAM:PF05688.17, PFAM:PF05689.17
contig_105	137479	138678	-	OEKLIE_03167	44.4	5.8	PF07703.20|A2M_BRD, PF17962.7|bMG6, PF17972.7|bMG5	PFAM:PF07703.20, PFAM:PF17962.7, PFAM:PF17972.7
contig_106	29501	29815	-	OEKLIE_03199	12.3	5.6	PF05336.19|rhaM	PFAM:PF05336.19
contig_106	48765	49037	+	OEKLIE_03219	10.5	9.0		
contig_106	64199	64612	+	OEKLIE_03237	15.1	9.8		
contig_106	77611	78018	-	OEKLIE_03254	15.0	6.3		SO:0001217, UniRef:UniRef50_A0A0K4C5E9
contig_106	87304	87654	-	OEKLIE_03264	13.0	5.7	PF02311.25|AraC_binding, PF07883.17|Cupin_2, PF16867.11|DMSP_lyase	PFAM:PF02311.25, PFAM:PF07883.17, PFAM:PF16867.11
contig_107	19489	19944	-	OEKLIE_03340	17.6	9.1		
contig_107	20551	22296	-	OEKLIE_03342	59.0	5.6	PF03406.18|Phage_fiber_2, PF12571.13|Phage_tail_fib	PFAM:PF03406.18, PFAM:PF12571.13
contig_107	22924	24039	-	OEKLIE_03344	40.0	4.8		
contig_107	24553	26100	-	OEKLIE_03346	58.2	9.3		SO:0001217, UniRef:UniRef50_A0A7H0MG07
contig_107	34073	35500	-	OEKLIE_03355	51.6	5.5	PF04984.19|Phage_sheath_1, PF17482.7|Phage_sheath_1C	PFAM:PF04984.19, PFAM:PF17482.7, SO:0001217, UniRef:UniRef50_U3U6A9
contig_107	42361	42606	+	OEKLIE_03365	7.5	5.8		
contig_107	61453	61581	+	OEKLIE_03382	5.0	8.7		
contig_108	26517	26831	-	OEKLIE_03487	12.1	8.7		SO:0001217, UniRef:UniRef50_A0A3U8EHJ2
contig_108	29571	29750	-	OEKLIE_03490	6.8	6.8		SO:0001217, UniRef:UniRef50_A0A5V6ND51
contig_108	66111	66692	-	OEKLIE_03525	21.6	9.1	PF00367.25|PTS_EIIB	PFAM:PF00367.25
contig_108	99787	100074	+	OEKLIE_03558	10.9	10.3	PF13356.12|Arm-DNA-bind_3	PFAM:PF13356.12
contig_108	100436	101506	+	OEKLIE_03559	39.5	5.5	PF13086.12|AAA_11	PFAM:PF13086.12
contig_108	107245	109848	-	OEKLIE_03563	100.4	5.7	PF08665.17|PglZ	PFAM:PF08665.17
contig_108	121089	121196	-	OEKLIE_03571	4.1	9.7		SO:0001217, UniRef:UniRef50_A0A0J1LPK6
contig_108	128501	129028	-	OEKLIE_03581	19.7	5.7	PF01738.24|DLH	PFAM:PF01738.24
contig_108	132114	132560	+	OEKLIE_03585	16.7	9.4	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_108	144305	144469	+	OEKLIE_03596	6.8	10.8	PF06568.16|DUF1127	PFAM:PF06568.16
contig_108	154195	154497	+	OEKLIE_03605	11.4	9.5	PF14384.12|BrnA_antitoxin	PFAM:PF14384.12
contig_108	170545	171006	-	OEKLIE_03618	15.9	8.7		
contig_109	70024	71085	-	OEKLIE_03703	40.7	9.2	PF13439.12|Glyco_transf_4, PF13692.12|Glyco_trans_1_4	PFAM:PF13439.12, PFAM:PF13692.12
contig_109	101267	101755	-	OEKLIE_03731	17.5	8.7	PF00132.30|Hexapep	PFAM:PF00132.30
contig_109	115275	115403	-	OEKLIE_03741	5.1	9.5		
contig_109	117768	117965	+	OEKLIE_03746	7.2	9.4		
contig_109	157016	157483	-	OEKLIE_03778	17.7	9.2	PF07308.18|DUF1456	PFAM:PF07308.18, SO:0001217, UniRef:UniRef50_A0A0H2V0J0
contig_109	211208	211315	-	OEKLIE_03828	4.2	9.3		
contig_109	226269	227459	-	OEKLIE_03842	43.3	9.8		
contig_110	72935	73060	+	OEKLIE_03904	4.6	11.0		SO:0001217, UniRef:UniRef50_A0A379T4N8
contig_110	76143	77114	+	OEKLIE_03909	34.4	9.3		
contig_110	85664	86032	-	OEKLIE_03918	13.6	6.8		
contig_110	96474	97949	-	OEKLIE_03930	53.7	4.6	PF00448.28|SRP54, PF02881.24|SRP54_N, PF06414.18|Zeta_toxin	PFAM:PF00448.28, PFAM:PF02881.24, PFAM:PF06414.18
contig_110	98952	99323	-	OEKLIE_03933	13.9	10.4		
contig_110	104237	104572	-	OEKLIE_03937	12.6	6.9	PF01206.22|TusA	PFAM:PF01206.22
contig_110	161947	162150	-	OEKLIE_03982	7.6	4.7		
contig_110	163963	164154	+	OEKLIE_03984	7.3	11.0		
contig_110	181417	181818	-	OEKLIE_04001	14.1	4.5		
