#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_16	255257	255625	-	ALJMDI_02400	14.5	6.4		SO:0001217, UniRef:UniRef50_A0A3V7PFY0
contig_16	284498	284689	-	ALJMDI_02430	7.3	11.0		
contig_16	286502	286705	+	ALJMDI_02432	7.6	4.7		
contig_16	344096	344431	+	ALJMDI_02476	12.6	6.9	PF01206.22|TusA	PFAM:PF01206.22
contig_16	349345	349716	+	ALJMDI_02480	13.8	10.4		
contig_16	350719	352194	+	ALJMDI_02483	53.8	4.6	PF00448.28|SRP54, PF02881.24|SRP54_N, PF06414.18|Zeta_toxin	PFAM:PF00448.28, PFAM:PF02881.24, PFAM:PF06414.18
contig_16	371294	372265	-	ALJMDI_02503	34.4	9.3		
contig_17	20043	20852	-	ALJMDI_02609	30.1	9.4		
contig_17	39075	39380	-	ALJMDI_02630	11.6	8.5		
contig_17	53282	53542	-	ALJMDI_02647	10.1	9.3		
contig_17	75425	75601	-	ALJMDI_02671	6.6	10.2		
contig_17	120649	120945	-	ALJMDI_02711	11.5	5.7	PF05016.21|ParE_toxin	PFAM:PF05016.21
contig_17	153619	153741	-	ALJMDI_02740	4.7	10.6		
contig_17	212819	213025	+	ALJMDI_02796	7.5	4.5		
contig_17	239127	239603	+	ALJMDI_02824	18.0	5.8		
contig_17	269022	269477	+	ALJMDI_02852	17.7	9.8	PF10263.15|SprT-like, PF17283.8|Zn_ribbon_SprT	PFAM:PF10263.15, PFAM:PF17283.8
contig_17	307314	308192	-	ALJMDI_02894	33.1	5.9		
contig_17	308505	308978	-	ALJMDI_02895	17.2	5.2	PF00440.29|TetR_N, PF13977.11|TetR_C_6	PFAM:PF00440.29, PFAM:PF13977.11
contig_17	333940	335583	-	ALJMDI_02917	58.9	5.5	PF00672.30|HAMP, PF02203.21|TarH	PFAM:PF00672.30, PFAM:PF02203.21
contig_17	350650	352071	-	ALJMDI_02935	55.5	5.6	PF13308.11|YARHG, PF14485.11|DUF4431, PF14673.11|DUF4459	PFAM:PF13308.11, PFAM:PF14485.11, PFAM:PF14673.11
contig_17	355393	356046	-	ALJMDI_02938	25.0	9.3		
contig_17	400784	401428	+	ALJMDI_02981	24.0	7.0	PF03551.20|PadR	PFAM:PF03551.20
contig_18	38825	39040	+	ALJMDI_03105	8.5	8.5		SO:0001217, UniRef:UniRef50_A0A4Z0P2U0
contig_18	57537	58496	-	ALJMDI_03126	35.0	6.3		
contig_18	75463	75654	-	ALJMDI_03144	7.1	6.7		
contig_18	109470	109709	-	ALJMDI_03175	8.5	9.2	PF04728.18|LPP	PFAM:PF04728.18
contig_18	182254	184443	-	ALJMDI_03259	78.1	9.0	PF00037.32|Fer4, PF01512.22|Complex1_51K, PF10531.15|SLBB, PF12797.12|Fer4_2, PF12838.12|Fer4_7, PF13183.11|Fer4_8, PF13237.11|Fer4_10, PF13375.12|RnfC_N, PF13534.11|Fer4_17	PFAM:PF00037.32, PFAM:PF01512.22, PFAM:PF10531.15, PFAM:PF12797.12, PFAM:PF12838.12, PFAM:PF13183.11, PFAM:PF13237.11, PFAM:PF13375.12, PFAM:PF13534.11
contig_18	246307	246489	+	ALJMDI_03315	6.1	9.9		
contig_18	248302	248397	-	ALJMDI_03319	3.5	5.4		
contig_18	259386	259913	-	ALJMDI_03332	19.2	9.2	PF08332.16|CaMKII_AD, PF11533.15|AtzH-like, PF13474.12|SnoaL_3, PF13577.12|SnoaL_4, PF14534.12|DUF4440	PFAM:PF08332.16, PFAM:PF11533.15, PFAM:PF13474.12, PFAM:PF13577.12, PFAM:PF14534.12
contig_18	264212	264622	-	ALJMDI_03338	15.2	5.8		
contig_18	282239	282442	-	ALJMDI_03357	7.6	5.1		
contig_18	282512	282688	-	ALJMDI_03358	6.7	9.9		
contig_18	283765	284298	+	ALJMDI_03360	18.6	6.7	PF03060.21|NMO	PFAM:PF03060.21
contig_18	300978	301088	+	ALJMDI_03372	4.0	4.1		
contig_18	349455	349559	-	ALJMDI_03412	3.9	4.7		
contig_18	377883	378599	-	ALJMDI_03440	27.8	9.2		
contig_18	386210	386305	-	ALJMDI_03448	3.4	5.9		SO:0001217, UniRef:UniRef50_A0A3S4GLI1
contig_18	399393	399659	-	ALJMDI_03461	8.7	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_18	417055	417393	+	ALJMDI_03479	13.1	5.0		
contig_18	421061	421906	-	ALJMDI_03483	29.5	5.5		
contig_18	444447	444611	+	ALJMDI_03507	6.3	7.9		
contig_18	487646	487828	+	ALJMDI_03547	6.2	10.0		
contig_19	29240	29485	+	ALJMDI_03656	7.5	5.8		
contig_19	33613	34485	-	ALJMDI_03661	32.1	9.0		
contig_19	50005	50133	+	ALJMDI_03675	5.0	8.5		
contig_19	151564	152031	+	ALJMDI_03754	17.4	10.0		
contig_19	152913	154361	+	ALJMDI_03755	51.4	6.6		
contig_19	154378	154944	+	ALJMDI_03756	21.3	10.2	PF00345.26|PapD_N	PFAM:PF00345.26
contig_19	154977	155123	+	ALJMDI_03757	5.3	5.9		
contig_19	195107	195415	+	ALJMDI_03797	11.1	7.0	PF17209.9|Hfq	PFAM:PF17209.9
contig_19	206117	206353	+	ALJMDI_03808	8.9	7.8		
contig_19	208076	209239	+	ALJMDI_03812	45.3	4.8	PF03738.19|GSP_synth	PFAM:PF03738.19
contig_19	301891	302076	+	ALJMDI_03907	6.8	10.1		
contig_19	304624	304956	+	ALJMDI_03915	11.8	9.8		
contig_19	309607	309756	-	ALJMDI_03920	5.4	9.9		
contig_19	309909	310016	-	ALJMDI_03921	4.1	9.7		SO:0001217, UniRef:UniRef50_A0A0J1LPK6
contig_19	315785	316153	+	ALJMDI_03928	13.6	8.1	PF03625.19|DUF302	PFAM:PF03625.19
contig_19	319764	320210	+	ALJMDI_03933	16.7	9.4	PF05638.18|T6SS_HCP	PFAM:PF05638.18
contig_19	332582	332746	+	ALJMDI_03944	6.8	10.5	PF06568.16|DUF1127	PFAM:PF06568.16
contig_19	334154	334795	-	ALJMDI_03946	23.1	9.6		
contig_19	347226	347369	+	ALJMDI_03958	5.6	9.3		
contig_19	351998	352234	+	ALJMDI_03964	8.4	10.0		
contig_19	370665	371225	-	ALJMDI_03985	20.8	9.5	PF00345.26|PapD_N	PFAM:PF00345.26
contig_19	385262	385369	+	ALJMDI_03999	4.2	4.5		SO:0001217, UniRef:UniRef50_A0A2X4TXI3
contig_19	409900	410304	-	ALJMDI_04023	14.5	9.0		
contig_19	415554	416087	-	ALJMDI_04029	19.9	5.8	PF05838.17|Glyco_hydro_108, PF09374.15|PG_binding_3	PFAM:PF05838.17, PFAM:PF09374.15
contig_19	429055	429573	+	ALJMDI_04039	17.8	4.3	PF00419.26|Fimbrial	PFAM:PF00419.26
contig_19	431654	431827	-	ALJMDI_04043	6.6	9.8		
contig_19	473904	474299	+	ALJMDI_04081	15.4	9.4		
contig_19	487488	487910	+	ALJMDI_04095	15.6	9.0		
contig_19	511003	511407	-	ALJMDI_04114	14.9	10.0	PF02698.23|DUF218	PFAM:PF02698.23
contig_19	677940	678200	-	ALJMDI_04260	9.6	4.5		
contig_19	684266	684919	-	ALJMDI_04269	23.2	9.8		
contig_19	702241	703080	-	ALJMDI_04290	30.3	4.8		
contig_19	704908	705066	+	ALJMDI_04293	5.7	6.5		
contig_19	728558	728827	-	ALJMDI_04317	9.8	9.8		
contig_19	728811	729053	-	ALJMDI_04318	8.7	4.6		SO:0001217, UniRef:UniRef50_A0A068RBH7
contig_19	729043	729264	-	ALJMDI_04319	8.7	8.9		
contig_19	729464	729967	+	ALJMDI_04320	18.6	4.8	PF21882.2|Gp53-like_C	PFAM:PF21882.2
contig_19	729974	730381	+	ALJMDI_04321	15.7	4.6		
contig_19	756888	758846	+	ALJMDI_04344	73.3	5.4	PF01555.25|N6_N4_Mtase, PF18273.6|T3RM_EcoP15I_C	PFAM:PF01555.25, PFAM:PF18273.6
contig_19	791300	791620	+	ALJMDI_04371	11.6	9.6	PF07769.19|PsiF_repeat	PFAM:PF07769.19
contig_19	846051	846275	-	ALJMDI_04427	8.3	4.8	PF06481.20|COX_ARM	PFAM:PF06481.20
