"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"1.5e-153","424.0",30,"GEGEGB_01578","1.0"
"Oxidoreductase",NA,29,"GEGEGB_02383","SO:0001217, UniRef:UniRef50_A0A486LAG5"
"ABC transporter ATP-binding protein",NA,28,"GEGEGB_00906","SO:0001217, UniRef:UniRef50_A0A0F1BEW3"
"Peptidyl-prolyl cis-trans isomerase",NA,28,"GEGEGB_00052","SO:0001217, UniRef:UniRef50_A0A376DLB2"
"Ascorbate-specific PTS system EIIC component",NA,27,"GEGEGB_00562","SO:0001217, UniRef:UniRef50_A0A6G2UA75"
"Cytochrome b561 bacterial/Ni-hydrogenase domain-containing protein",NA,27,"GEGEGB_01154","SO:0001217, UniRef:UniRef50_A0A086XVW4"
"HTH cro/C1-type domain-containing protein",NA,27,"GEGEGB_00703","SO:0001217, UniRef:UniRef50_A8AE76"
"HTH luxR-type domain-containing protein",NA,27,"GEGEGB_01206","SO:0001217, UniRef:UniRef50_A9MFK1"
"N-acetylmuramoyl-L-alanine amidase",NA,27,"GEGEGB_00444","SO:0001217, UniRef:UniRef50_A0A7H4NZ89"
"Putative cytoplasmic protein",NA,27,"GEGEGB_01699","SO:0001217, UniRef:UniRef50_A0A379USV6"
"Threonine/homoserine exporter RhtA","rhtA",27,"GEGEGB_02163","SO:0001217, UniRef:UniRef50_A0A6C8H732"
"1.2e-133","384.0",26,"GEGEGB_00189","1.0"
"1.2e-83","257.0",26,"GEGEGB_00101","1.067"
"Lipoprotein YgdI/YgdR-like SH3-like domain-containing protein",NA,26,"GEGEGB_01575","SO:0001217, UniRef:UniRef50_D4B9E7"
"Nickel/cobalt efflux system",NA,26,"GEGEGB_00330","SO:0001217, UniRef:UniRef50_A0A659SDF7"
"Periplasmic protein",NA,26,"GEGEGB_01219","SO:0001217, UniRef:UniRef50_A0A3Z5DAC2"
"Ribokinase",NA,26,"GEGEGB_03830","SO:0001217, UniRef:UniRef50_A0A3P8M3X6"
"1.2e-127","362.0",25,"GEGEGB_02672","1.0"
"1.2e-69","209.0",23,"GEGEGB_01770","1.0"
"2.1e-67","206.0",23,"GEGEGB_00745","0.967"
"1.2e-165","468.0",22,"GEGEGB_00732","0.887"
"Transposase (putative) YhgA-like domain-containing protein",NA,21,"GEGEGB_02504","SO:0001217, UniRef:UniRef50_A0A0J5LV69"
"1.4e-168","473.0",20,"GEGEGB_00074","0.981"
"2.0e-128","368.0",20,"GEGEGB_04168","1.207"
"2.4e-76","228.0",20,"GEGEGB_01605","0.959"
"3.3e-58","180.0",20,"GEGEGB_01683","0.958"
"1.2e-95","277.0",19,"GEGEGB_01402","1.0"
"1.3e-87","255.0",19,"GEGEGB_03029","1.0"
"1.5e-45","145.0",19,"GEGEGB_02510","1.0"
"2.2e-65","197.0",19,"LNHIMF_01013","0.943"
"EamA domain-containing protein","eamA",19,"GEGEGB_00951","SO:0001217, UniRef:UniRef50_A0A7U3Z0B7"
"Major facilitator superfamily protein",NA,19,"GEGEGB_01479","SO:0001217, UniRef:UniRef50_A0A658YYM1"
"1.0e-58","182.0",18,"GEGEGB_01036","0.977"
"1.0e-64","197.0",18,"GEGEGB_01946","0.825"
"1.2e-24","92.0",18,"GEGEGB_03527","1.0"
"1.3e-52","165.0",18,"GEGEGB_00584","0.980"
"1.5e-70","210.0",18,"GEGEGB_01870","1.028"
"2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase",NA,18,"GEGEGB_00068","SO:0001217, UniRef:UniRef50_B7LWM0"
"2-dehydropantoate 2-reductase",NA,18,"GEGEGB_00306","SO:0001217, UniRef:UniRef50_A0A564J7J9"
"2.1e-87","256.0",18,"GEGEGB_00445","1.0"
"2.9e-160","450.0",18,"GEGEGB_00757","0.980"
"3-ketoacyl-CoA thiolase",NA,18,"GEGEGB_00514","SO:0001217, UniRef:UniRef50_Q8ZD46"
"3.4e-163","448.0",18,"GEGEGB_00576","1.0"
"3.4e-174","485.0",18,"GEGEGB_00595","1.079"
"4Fe-4S ferredoxin-type domain-containing protein",NA,18,"GEGEGB_02370","SO:0001217, UniRef:UniRef50_A0A0J1PBT5"
"5.4e-59","185.0",18,"GEGEGB_03846","1.013"
"6-carboxy-5,6,7,8-tetrahydropterin synthase",NA,18,"GEGEGB_01680","SO:0001217, UniRef:UniRef50_A0A2W6PJ41"
"6.1e-29","103.0",18,"GEGEGB_02764","0.963"
"ABC-type dipeptide transporter",NA,18,"GEGEGB_00678","SO:0001217, UniRef:UniRef50_A0A377CBZ7"
"ADP-ribosylglycohydrolase family protein",NA,18,"GEGEGB_00759","SO:0001217, UniRef:UniRef50_F5NWW3"
"Alcohol dehydrogenase",NA,18,"GEGEGB_01562","SO:0001217, UniRef:UniRef50_A0A2A7GVY2"
"Alkyl hydroperoxide reductase C",NA,18,"GEGEGB_02376","SO:0001217, UniRef:UniRef50_K0J4Q8"
"Amino acid permease",NA,18,"GEGEGB_00545","SO:0001217, UniRef:UniRef50_S3BNV8"
"Anaerobic dimethyl sulfoxide reductase subunit A",NA,18,"GEGEGB_01491","SO:0001217, UniRef:UniRef50_A0A486MVR8"
"Anti-FlhC(2)FlhD(4) factor YdiV","ydiV",18,"GEGEGB_01696","SO:0001217, UniRef:UniRef50_A0A447R3Q8"
"Arabinose 5-phosphate isomerase",NA,18,"GEGEGB_02879","SO:0001217, UniRef:UniRef50_A0A0E3U4T5"
"Arginine decarboxylase",NA,18,"GEGEGB_03154","SO:0001217, UniRef:UniRef50_A0A447RRD8"
"Arginine repressor",NA,18,"GEGEGB_03445","SO:0001217, UniRef:UniRef50_A3N1U5"
"Arylsulfate sulfotransferase AssT","assT",18,"GEGEGB_03266","SO:0001217, UniRef:UniRef50_Q8FDI4"
"Citrate lyase alpha chain",NA,18,"GEGEGB_00066","SO:0001217, UniRef:UniRef50_P75726"
"Citrate lyase subunit beta",NA,18,"GEGEGB_00065","SO:0001217, UniRef:UniRef50_P17725"
"Citrate synthase",NA,18,"GEGEGB_02256","SO:0001217, UniRef:UniRef50_P0ABH7"
"Cytochrome bd-II ubiquinol oxidase subunit 1",NA,18,"GEGEGB_01150","SO:0001217, UniRef:UniRef50_P26459"
"Cytochrome d ubiquinol oxidase subunit II",NA,18,"GEGEGB_01149","SO:0001217, UniRef:UniRef50_A0A344R1E1"
"D-alanyl-D-alanine dipeptidase",NA,18,"GEGEGB_01588","SO:0001217, UniRef:UniRef50_A0A4U9HGL2"
"D-glucosaminate-6-phosphate ammonia lyase","dgaE",18,"GEGEGB_03953","BlastRules:WP_000188463, SO:0001217, UniRef:UniRef50_D0ZLR3"
"DNA-binding protein H-NS",NA,18,"GEGEGB_01754","SO:0001217, UniRef:UniRef50_P0DOA5"
"DNA-binding response regulator","ssrB",18,"GEGEGB_01332","SO:0001217, UniRef:UniRef50_Q7CQM5, VFDB:VFC0086, VFDB:VFG000492"
"Dihydroorotase",NA,18,"GEGEGB_01853","SO:0001217, UniRef:UniRef50_B1XWS5"
"Dimethyl sulfoxide reductase",NA,18,"GEGEGB_00357","SO:0001217, UniRef:UniRef50_A9MHK9"
"Dimethyl sulfoxide reductase DmsA","dmsA",18,"GEGEGB_02074","SO:0001217, UniRef:UniRef50_P18775"
"Electron transport protein HydN","hydN",18,"GEGEGB_02884","SO:0001217, UniRef:UniRef50_A0A3P2EL24"
"Ethanolamine utilization protein",NA,18,"GEGEGB_00427","SO:0001217, UniRef:UniRef50_A0A2X1N9V8"
"Fatty acid oxidation complex subunit alpha",NA,18,"GEGEGB_00515","SO:0001217, UniRef:UniRef50_Q8ZD45"
"Flagellar basal-body rod protein FlgF","flgF",18,"GEGEGB_01837","SO:0001217, UniRef:UniRef50_A0A2S5THT3"
"Formate acetyltransferase 1",NA,18,"GEGEGB_02065","SO:0001217, UniRef:UniRef50_P09373"
"GlsB/YeaQ/YmgE family stress response membrane protein",NA,18,"GEGEGB_01143","SO:0001217, UniRef:UniRef50_A0A653L0T6"
"Glutamate dehydrogenase",NA,18,"GEGEGB_01146","SO:0001217, UniRef:UniRef50_N9C2I3"
"Glutathione S-transferase",NA,18,"GEGEGB_02138","SO:0001217, UniRef:UniRef50_A0A0M7GX35"
"Glycerate 3-kinase",NA,18,"GEGEGB_03007","SO:0001217, UniRef:UniRef50_A0A1E3WRF7"
"Glycerol-3-phosphate acyltransferase",NA,18,"GEGEGB_03282","SO:0001217, UniRef:UniRef50_Q5E2K3"
"Glycine zipper 2TM domain-containing protein",NA,18,"GEGEGB_01704","SO:0001217, UniRef:UniRef50_A0A0H3GM06"
"HTH lacI-type domain-containing protein",NA,18,"GEGEGB_00559","SO:0001217, UniRef:UniRef50_A8ADT1"
"HTH tetR-type domain-containing protein",NA,18,"GEGEGB_01566","SO:0001217, UniRef:UniRef50_A0A0J1LXI3"
"Hydrogenase maturation factor HypA","hypA",18,"GEGEGB_02895","SO:0001217, UniRef:UniRef50_A0A0F7HEE6"
"IprA winged helix-turn-helix domain-containing protein","iprA",18,"GEGEGB_00022","SO:0001217, UniRef:UniRef50_E3G2G5"
"Iron-binding protein IscA","iscA",18,"GEGEGB_00340","SO:0001217, UniRef:UniRef50_B7J5X1"
"Isochorismatase-like domain-containing protein",NA,18,"GEGEGB_02088","SO:0001217, UniRef:UniRef50_A0A446CFS7"
"L-glyceraldehyde 3-phosphate reductase",NA,18,"GEGEGB_00488","SO:0001217, UniRef:UniRef50_A0A4Y6UQW3"
"L-ribulose-5-phosphate 4-epimerase AraD","araD",18,"GEGEGB_00110","SO:0001217, UniRef:UniRef50_P08203"
"L-serine dehydratase",NA,18,"GEGEGB_00702","SO:0001217, UniRef:UniRef50_A0A0K0HCE7"
"Lysozyme inhibitor LprI-like N-terminal domain-containing protein",NA,18,"GEGEGB_01777","SO:0001217, UniRef:UniRef50_I2BAA4"
"Mechanosensitive ion channel family protein",NA,18,"GEGEGB_01200","SO:0001217, UniRef:UniRef50_A7MNC9"
"Methyl-accepting chemotaxis protein II",NA,18,"GEGEGB_01019","SO:0001217, UniRef:UniRef50_P02941"
"Methyl-accepting transducer domain-containing protein",NA,18,"GEGEGB_03208","SO:0001217, UniRef:UniRef50_A0A0K0HEH7"
"Molecular chaperone",NA,18,"GEGEGB_02372","SO:0001217, UniRef:UniRef50_A0A0J1LKN0"
"Nitrate reductase subunit beta",NA,18,"GEGEGB_01569","SO:0001217, UniRef:UniRef50_A0A7C6CEJ9"
"Nitrogen regulatory protein P-II",NA,18,"GEGEGB_00319","SO:0001217, UniRef:UniRef50_A0A2D4VJR3"
"Nucleoside transporter/FeoB GTPase Gate domain-containing protein",NA,18,"GEGEGB_04807","SO:0001217, UniRef:UniRef50_A8ADA5"
"Outer membrane lipoprotein",NA,18,"GEGEGB_03708","SO:0001217, UniRef:UniRef50_S5MXC2"
"Outer membrane protein",NA,18,"GEGEGB_00748","SO:0001217, UniRef:UniRef50_Q7CQ92"
"Phosphofructokinase",NA,18,"GEGEGB_00691","SO:0001217, UniRef:UniRef50_A0A077NC40"
"Phosphoserine phosphatase",NA,18,"GEGEGB_00701","SO:0001217, UniRef:UniRef50_A0A0T9XPZ6"
"Primosomal replication protein N",NA,18,"GEGEGB_02502","SO:0001217, UniRef:UniRef50_A0A1V2GK00"
"Proline--tRNA ligase",NA,18,"GEGEGB_00264","SO:0001217, UniRef:UniRef50_G2H1A0"
"Pseudouridine synthase",NA,18,"GEGEGB_01721","SO:0001217, UniRef:UniRef50_F7XXE1"
"Respiratory nitrate reductase 2 alpha chain",NA,18,"GEGEGB_01568","SO:0001217, UniRef:UniRef50_P19319"
"Selenoprotein",NA,18,"GEGEGB_02384","SO:0001217, UniRef:UniRef50_A0A151ULG1"
"Sensor protein",NA,18,"GEGEGB_01767","SO:0001217, UniRef:UniRef50_A0A085APD9"
"Small heat shock protein IbpA","ibpA",18,"GEGEGB_01191","SO:0001217, UniRef:UniRef50_A0A6P1Q446"
"Solute-binding protein family 3/N-terminal domain-containing protein",NA,18,"GEGEGB_00549","SO:0001217, UniRef:UniRef50_A7MH44"
"Sulfatase N-terminal domain-containing protein",NA,18,"GEGEGB_02114","SO:0001217, UniRef:UniRef50_A0A0G4KAP6"
"TRAP transporter large permease protein",NA,18,"GEGEGB_03754","SO:0001217, UniRef:UniRef50_A0A083ZVS3"
"TRAP transporter small permease protein",NA,18,"GEGEGB_03753","SO:0001217, UniRef:UniRef50_A0A447N0K8"
"Thioredoxin",NA,18,"GEGEGB_00282","SO:0001217, UniRef:UniRef50_A0A377A270"
"Threonylcarbamoyl-AMP synthase",NA,18,"GEGEGB_01722","SO:0001217, UniRef:UniRef50_A0A161HVR8"
"Transketolase",NA,18,"GEGEGB_00420","SO:0001217, UniRef:UniRef50_A0A7C5WY53"
"Transporter",NA,18,"GEGEGB_00496","SO:0001217, UniRef:UniRef50_S5NHH7"
"UTP--glucose-1-phosphate uridylyltransferase",NA,18,"GEGEGB_00819","SO:0001217, UniRef:UniRef50_A0A1C3T0N2"
"Universal stress protein",NA,18,"GEGEGB_01012","SO:0001217, UniRef:UniRef50_A0A285B5Z7"
"VTT domain-containing protein",NA,18,"GEGEGB_02859","SO:0001217, UniRef:UniRef50_H5V5Y4"
"cysteine desulfurase","iscS",18,"GEGEGB_00338","BlastRules:WP_001295373, EC:2.8.1.7, SO:0001217, UniRef:UniRef50_A0A0K6IR10"
"diguanylate cyclase",NA,18,"GEGEGB_01226","SO:0001217, UniRef:UniRef50_A0A2X1LHF9"
"hydrogenase (acceptor)",NA,18,"GEGEGB_01535","SO:0001217, UniRef:UniRef50_G5SAZ2"
"peptidoglycan lytic exotransglycosylase",NA,18,"GEGEGB_02736","SO:0001217, UniRef:UniRef50_D8MNH0"
"putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE","arnE",18,"GEGEGB_00601","SO:0001217, UniRef:UniRef50_O52328"
"transcription antiterminator/RNA stability regulator CspE","cspE",18,"GEGEGB_01103","BlastRules:WP_000034825, SO:0001217, UniRef:UniRef50_P0A986"
"1.0e-163","471.0",17,"GEGEGB_00526","0.998"
"1.1e-52","158.0",17,"GEGEGB_02921","1.0"
"1.2e-34","120.0",17,"GEGEGB_04301","1.0"
"1.5e-75","224.0",17,"GEGEGB_01059","1.0"
"1.7e-109","327.0",17,"GEGEGB_01521","1.0"
"1.8e-94","290.0",17,"GEGEGB_00242","0.979"
"1.9e-30","109.0",17,"GEGEGB_02540","0.981"
"2.3e-201","562.0",17,"GEGEGB_00139","0.994"
"2.8e-49","157.0",17,"GEGEGB_00343","0.991"
"3.3e-178","489.0",17,"LNHIMF_01721","1.0"
"3.4e-158","444.0",17,"GEGEGB_02388","0.807"
"3.6e-104","308.0",17,"GEGEGB_01292","1.0"
"4.2e-228","636.0",17,"GEGEGB_02250","1.182"
"5.7e-79","233.0",17,"GEGEGB_01211","0.958"
"6.0e-94","280.0",17,"GEGEGB_02495","1.019"
"AB hydrolase-1 domain-containing protein",NA,17,"GEGEGB_02293","SO:0001217, UniRef:UniRef50_A0A8S0FZL0"
"Anaerobic dimethyl sulfoxide reductase chain B",NA,17,"GEGEGB_02073","SO:0001217, UniRef:UniRef50_P45003"
"Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase",NA,17,"GEGEGB_00067","SO:0001217, UniRef:UniRef50_B7LWL8"
"AraC family transcriptional regulator","hilC",17,"GEGEGB_02907","SO:0001217, UniRef:UniRef50_P0CL09, VFDB:VFC0086, VFDB:VFG000531"
"Bacterial OB-fold domain-containing protein",NA,17,"GEGEGB_03251","SO:0001217, UniRef:UniRef50_F5NZE3"
"CSD domain-containing protein",NA,17,"GEGEGB_00943","SO:0001217, UniRef:UniRef50_A7ME79"
"DUF202 domain-containing protein",NA,17,"GEGEGB_03912","SO:0001217, UniRef:UniRef50_Q329D7"
"EAL domain-containing protein",NA,17,"GEGEGB_00484","SO:0001217, UniRef:UniRef50_H5UY16"
"Fimbrial usher protein",NA,17,"GEGEGB_04881","SO:0001217, UniRef:UniRef50_Q8ZJU1"
"Glucarate dehydratase",NA,17,"GEGEGB_03008","SO:0001217, UniRef:UniRef50_P0AES2"
"Glycogen debranching enzyme",NA,17,"GEGEGB_04202","SO:0001217, UniRef:UniRef50_P15067"
"HTH merR-type domain-containing protein",NA,17,"GEGEGB_01207","SO:0001217, UniRef:UniRef50_A9MFK0"
"Integral membrane protein",NA,17,"GEGEGB_02188","SO:0001217, UniRef:UniRef50_A0A5V7M7H2"
"Ornithine carbamoyltransferase subunit I",NA,17,"GEGEGB_04735","SO:0001217, UniRef:UniRef50_P04391"
"Transcriptional regulatory protein",NA,17,"GEGEGB_04437","SO:0001217, UniRef:UniRef50_A0A1M0QMJ0"
"Transport permease protein",NA,17,"GEGEGB_02182","SO:0001217, UniRef:UniRef50_Q7N6N9"
"Uptake hydrogenase large subunit",NA,17,"GEGEGB_01155","SO:0001217, UniRef:UniRef50_A0A711MED0"
"1.2e-118","351.0",16,"GEGEGB_00671","0.991"
"1.2e-37","127.0",16,"GEGEGB_02056","0.968"
"1.3e-216","604.0",16,"GEGEGB_01302","0.997"
"1.3e-61","193.0",16,"GEGEGB_00516","0.969"
"1.3e-89","269.0",16,"GEGEGB_04242","1.062"
"1.6e-182","513.0",16,"GEGEGB_03219","0.991"
"1.6e-275","748.0",16,"GEGEGB_02307","1.0"
"1.7e-86","254.0",16,"GEGEGB_01845","0.957"
"2.1e-72","223.0",16,"LNHIMF_01545","0.966"
"2.4e-205","582.0",16,"GEGEGB_01469","1.106"
"2.6e-52","166.0",16,"GEGEGB_00480","1.0"
"3.6e-65","197.0",16,"GEGEGB_03255","1.0"
"3.7e-71","219.0",16,"GEGEGB_01566","0.990"
"3.9e-125","367.0",16,"GEGEGB_01196","0.914"
"4.3e-68","211.0",16,"GEGEGB_01959","0.989"
"8.8e-64","196.0",16,"GEGEGB_03035","0.952"
"D-alanyl-D-alanine carboxypeptidase DacA","dacA",16,"GEGEGB_02345","SO:0001217, UniRef:UniRef50_P0AEB2"
"DUF218 domain-containing protein",NA,16,"GEGEGB_02047","SO:0001217, UniRef:UniRef50_O32562"
"Nucleoside permease NupG","nupG",16,"GEGEGB_00472","SO:0001217, UniRef:UniRef50_P0AFF4"
"1.1e-127","365.0",15,"GEGEGB_01126","1.0"
"1.2e-210","583.0",15,"LNHIMF_00124","1.0"
"1.3e-38","126.0",15,"LNHIMF_02668","1.0"
"1.3e-86","260.0",15,"GEGEGB_03393","0.976"
"1.6e-96","273.0",15,"GEGEGB_01877","1.0"
"1.7e-188","525.0",15,"GEGEGB_01096","1.0"
"1.8e-175","491.0",15,"LNHIMF_00413","0.981"
"2.4e-89","266.0",15,"GEGEGB_00843","1.031"
"2.7e-81","239.0",15,"LNHIMF_03496","1.102"
"3.1e-51","159.0",15,"GEGEGB_00419","1.0"
"4.1e-49","163.0",15,"GEGEGB_03723","0.818"
"4.3e-106","314.0",15,"GEGEGB_00180","1.0"
"5.7e-133","376.0",15,"LNHIMF_03833","1.0"
"6.3e-128","364.0",15,"GEGEGB_02044","0.808"
"7.5e-233","643.0",15,"GEGEGB_01167","1.0"
"8.3e-178","502.0",15,"GEGEGB_00972","1.154"
"1.0e-97","286.0",14,"LNHIMF_04645","0.941"
"1.1e-129","372.0",14,"GEGEGB_01331","1.0"
"1.1e-140","397.0",14,"GEGEGB_03750","1.238"
"1.1e-180","503.0",14,"GEGEGB_01698","1.0"
"1.1e-31","111.0",14,"GEGEGB_00064","0.979"
"1.1e-99","294.0",14,"GEGEGB_02112","1.131"
"1.2e-45","148.0",14,"GEGEGB_02254","1.0"
"1.3e-142","397.0",14,"GEGEGB_00281","1.0"
"1.5e-130","372.0",14,"GEGEGB_01094","1.075"
"1.5e-177","486.0",14,"LNHIMF_00873","1.0"
"1.5e-90","271.0",14,"GEGEGB_00220","1.065"
"1.7e-33","114.0",14,"GEGEGB_01005","1.0"
"1.9e-39","129.0",14,"GEGEGB_03451","1.0"
"2.0e-98","288.0",14,"GEGEGB_01291","1.0"
"2.6e-116","332.0",14,"GEGEGB_01508","0.966"
"2.6e-49","156.0",14,"LNHIMF_01455","0.906"
"2.6e-92","270.0",14,"GEGEGB_00243","1.0"
"3.1e-163","458.0",14,"GEGEGB_03331","0.996"
"3.7e-144","400.0",14,"LNHIMF_01542","1.0"
"6.9e-107","313.0",14,"GEGEGB_01947","1.0"
"9.1e-115","334.0",14,"GEGEGB_02732","0.984"
"9.9e-145","410.0",14,"GEGEGB_04223","0.987"
"Recombination-promoting nuclease RpnA","rpnA",14,"GEGEGB_04217","SO:0001217, UniRef:UniRef50_P31667"
"1.1e-91","268.0",13,"GEGEGB_03716","0.932"
"1.2e-143","405.0",13,"GEGEGB_01482","1.0"
"1.3e-104","295.0",13,"GEGEGB_02523","1.0"
"1.3e-108","319.0",13,"GEGEGB_00301","0.971"
"1.3e-223","608.0",13,"GEGEGB_00590","1.0"
"1.5e-102","303.0",13,"GEGEGB_03110","0.992"
"1.5e-134","391.0",13,"GEGEGB_04731","0.994"
"1.5e-194","553.0",13,"LNHIMF_01520","0.983"
"1.5e-224","611.0",13,"GEGEGB_03780","1.0"
"1.5e-235","662.0",13,"GEGEGB_02361","0.933"
"1.6e-102","301.0",13,"LNHIMF_03767","1.0"
"1.7e-69","210.0",13,"GEGEGB_03722","0.979"
"1.8e-172","485.0",13,"GEGEGB_02099","0.987"
"2.0e-103","303.0",13,"GEGEGB_00155","0.990"
"2.0e-145","410.0",13,"GEGEGB_03268","0.960"
"2.1e-58","179.0",13,"GEGEGB_01416","0.856"
"2.2e-176","495.0",13,"GEGEGB_00737","0.990"
"2.2e-50","162.0",13,"GEGEGB_03908","1.007"
"2.3e-154","443.0",13,"GEGEGB_00722","0.971"
"2.4e-169","478.0",13,"GEGEGB_02576","1.007"
"2.5e-129","364.0",13,"GEGEGB_01133","1.0"
"2.5e-150","431.0",13,"GEGEGB_00117","0.997"
"2.7e-158","452.0",13,"GEGEGB_00758","1.0"
"2.9e-87","249.0",13,"GEGEGB_02531","0.992"
"4.2e-149","424.0",13,"GEGEGB_03016","1.0"
"4.8e-142","404.0",13,"GEGEGB_00079","1.0"
"5.5e-59","184.0",13,"GEGEGB_03122","1.0"
"6.2e-161","455.0",13,"GEGEGB_03054","0.990"
"1.0e-172","485.0",12,"GEGEGB_00045","0.990"
"1.0e-71","218.0",12,"GEGEGB_03215","0.963"
"1.1e-181","524.0",12,"LNHIMF_04484","0.981"
"1.1e-183","511.0",12,"GEGEGB_01273","0.997"
"1.1e-217","602.0",12,"GEGEGB_02212","1.0"
"1.1e-232","650.0",12,"GEGEGB_03547","1.020"
"1.1e-297","811.0",12,"GEGEGB_01944","1.0"
"1.1e-63","197.0",12,"GEGEGB_00401","0.968"
"1.2e-172","486.0",12,"LNHIMF_01029","0.987"
"1.3e-106","313.0",12,"GEGEGB_00723","0.987"
"1.3e-109","314.0",12,"LNHIMF_00506","1.0"
"1.3e-120","353.0",12,"LNHIMF_01813","0.937"
"1.3e-218","628.0",12,"GEGEGB_03043","1.077"
"1.4e-244","674.0",12,"LNHIMF_02211","1.228"
"1.4e-247","684.0",12,"GEGEGB_01011","0.801"
"1.4e-66","208.0",12,"GEGEGB_01106","1.154"
"1.4e-76","227.0",12,"GEGEGB_01378","0.807"
"1.5e-178","498.0",12,"GEGEGB_01721","1.0"
"1.6e-110","326.0",12,"GEGEGB_01105","1.108"
"1.6e-149","423.0",12,"GEGEGB_04886","1.0"
"1.6e-267","744.0",12,"GEGEGB_01678","1.008"
"1.7e-116","347.0",12,"GEGEGB_02669","1.011"
"1.8e-139","402.0",12,"LNHIMF_02714","0.993"
"1.8e-75","229.0",12,"LNHIMF_03451","1.006"
"1.9e-144","409.0",12,"GEGEGB_00393","0.992"
"2.0e-101","296.0",12,"GEGEGB_02538","0.870"
"2.0e-171","476.0",12,"GEGEGB_01532","1.0"
"2.1e-116","336.0",12,"GEGEGB_00738","0.897"
"2.2e-102","303.0",12,"GEGEGB_03165","0.979"
"2.2e-163","466.0",12,"GEGEGB_03434","0.989"
"2.4e-71","214.0",12,"LNHIMF_01010","1.0"
"2.7e-111","327.0",12,"GEGEGB_02305","1.0"
"2.8e-55","172.0",12,"GEGEGB_01936","1.0"
"3.0e-181","514.0",12,"GEGEGB_04750","1.191"
"3.1e-212","603.0",12,"GEGEGB_00075","1.002"
"3.2e-100","288.0",12,"LNHIMF_01879","0.993"
"3.6e-114","334.0",12,"GEGEGB_03844","0.993"
"4.0e-88","258.0",12,"GEGEGB_01516","1.0"
"4.2e-102","300.0",12,"GEGEGB_03439","0.976"
"4.4e-279","755.0",12,"LNHIMF_01541","1.0"
"4.8e-196","563.0",12,"GEGEGB_03206","0.998"
"6.8e-34","115.0",12,"GEGEGB_00061","0.987"
"7.6e-57","174.0",12,"GEGEGB_04449","1.0"
"9.0e-146","414.0",12,"GEGEGB_02477","1.0"
"1.0e-89","267.0",11,"GEGEGB_02588","1.0"
"1.1e-100","291.0",11,"GEGEGB_04324","0.994"
"1.1e-130","370.0",11,"GEGEGB_03930","1.0"
"1.1e-177","488.0",11,"GEGEGB_02911","1.0"
"1.1e-53","167.0",11,"GEGEGB_03221","1.0"
"1.2e-125","358.0",11,"LNHIMF_02052","1.0"
"1.2e-146","431.0",11,"GEGEGB_03747","0.989"
"1.3e-144","401.0",11,"LNHIMF_01467","1.0"
"1.3e-282","772.0",11,"GEGEGB_00612","0.938"
"1.3e-82","253.0",11,"GEGEGB_03951","0.980"
"1.4e-130","376.0",11,"GEGEGB_00166","1.193"
