"Product","Gene_Name","Count","Example_Tag","DbXrefs"
"Nucleoside transporter/FeoB GTPase Gate domain-containing protein",NA,18,"GEGEGB_04807","SO:0001217, UniRef:UniRef50_A8ADA5"
"Outer membrane lipoprotein",NA,18,"GEGEGB_03708","SO:0001217, UniRef:UniRef50_S5MXC2"
"Outer membrane protein",NA,18,"GEGEGB_00748","SO:0001217, UniRef:UniRef50_Q7CQ92"
"Respiratory nitrate reductase 2 alpha chain",NA,18,"GEGEGB_01568","SO:0001217, UniRef:UniRef50_P19319"
"Solute-binding protein family 3/N-terminal domain-containing protein",NA,18,"GEGEGB_00549","SO:0001217, UniRef:UniRef50_A7MH44"
"TRAP transporter large permease protein",NA,18,"GEGEGB_03754","SO:0001217, UniRef:UniRef50_A0A083ZVS3"
"TRAP transporter small permease protein",NA,18,"GEGEGB_03753","SO:0001217, UniRef:UniRef50_A0A447N0K8"
"Transporter",NA,18,"GEGEGB_00496","SO:0001217, UniRef:UniRef50_S5NHH7"
"Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase",NA,17,"GEGEGB_00067","SO:0001217, UniRef:UniRef50_B7LWL8"
"Fimbrial usher protein",NA,17,"GEGEGB_04881","SO:0001217, UniRef:UniRef50_Q8ZJU1"
"Integral membrane protein",NA,17,"GEGEGB_02188","SO:0001217, UniRef:UniRef50_A0A5V7M7H2"
"Transport permease protein",NA,17,"GEGEGB_02182","SO:0001217, UniRef:UniRef50_Q7N6N9"
"Nucleoside permease NupG","nupG",16,"GEGEGB_00472","SO:0001217, UniRef:UniRef50_P0AFF4"
"DNA-binding protein",NA,11,"GEGEGB_03144","SO:0001217, UniRef:UniRef50_A0A0H2V1L1"
"Autotransporter domain-containing protein",NA,10,"GEGEGB_02470","SO:0001217, UniRef:UniRef50_A0A1X1D1Y9"
"Efflux pump membrane transporter",NA,10,"GEGEGB_00413","SO:0001217, UniRef:UniRef50_A0A510IXH6"
"Membrane protein",NA,10,"GEGEGB_02954","SO:0001217, UniRef:UniRef50_A0A379UU93"
"Permease",NA,10,"GEGEGB_03852","SO:0001217, UniRef:UniRef50_Q8ZKW9"
"2-keto-3-deoxygluconate permease 1",NA,9,"GEGEGB_00177","BlastRules:WP_001022089, SO:0001217, UniRef:UniRef50_P65207"
"2-keto-3-deoxygluconate permease 2",NA,9,"GEGEGB_02331","BlastRules:WP_000694473, SO:0001217, UniRef:UniRef50_Q8ZQZ4"
"2-methylisocitrate lyase",NA,9,"GEGEGB_02626","SO:0001217, UniRef:UniRef50_Q8EJW1"
"2-nitroimidazole transporter",NA,9,"GEGEGB_01221","SO:0001217, UniRef:UniRef50_P76242"
"3-hydroxybenzoate transporter MhbT","mhbT",9,"GEGEGB_00721","SO:0001217, UniRef:UniRef50_Q5EXK5"
"4-hydroxyphenylacetate permease",NA,9,"GEGEGB_01912","SO:0001217, UniRef:UniRef50_A0A379SYB7"
"ABC transport system, permease component YbhS","ybhS",9,"GEGEGB_02181","SO:0001217, UniRef:UniRef50_A0A0T9UBZ6"
"ABC transporter ATP binding protein",NA,9,"GEGEGB_00188","SO:0001217, UniRef:UniRef50_A0A0W0U308"
"ABC transporter ATP-binding protein ModF","modF",9,"GEGEGB_02219","SO:0001217, UniRef:UniRef50_P31060"
"ABC transporter ATP-binding protein/permease",NA,9,"GEGEGB_02522","SO:0001217, UniRef:UniRef50_A0A376VLX3"
"ABC transporter ATP-binding/permease protein YojI","yojI",9,"GEGEGB_00645","SO:0001217, UniRef:UniRef50_P33941"
"ABC transporter arginine-binding protein 1",NA,9,"GEGEGB_04637","SO:0001217, UniRef:UniRef50_P30860"
"ABC transporter domain-containing protein",NA,9,"GEGEGB_02153","SO:0001217, UniRef:UniRef50_A0A3M4PYG5"
"ABC transporter permease",NA,9,"GEGEGB_02467","SO:0001217, UniRef:UniRef50_A0A917LJM3"
"ABC transporter substrate-binding protein ArtJ","artJ",9,"GEGEGB_02113","BlastRules:WP_001295339, SO:0001217, UniRef:UniRef50_A0A264VXK4"
"ABC transporter, ATP-binding protein",NA,9,"GEGEGB_02095","SO:0001217, UniRef:UniRef50_D4E8G0"
"ABC-type xenobiotic transporter",NA,9,"GEGEGB_02083","SO:0001217, UniRef:UniRef50_A0A246NLP7"
"ABC3 transporter permease C-terminal domain-containing protein",NA,9,"GEGEGB_02472","SO:0001217, UniRef:UniRef50_A0A076LKE1"
"AI-2E family transporter",NA,9,"GEGEGB_04156","SO:0001217, UniRef:UniRef50_A8AR35"
"APC family permease",NA,9,"GEGEGB_01319","SO:0001217, UniRef:UniRef50_A0A212IK18"
"ATP-binding component of an ABC superfamily nickel transporter",NA,9,"GEGEGB_01199","SO:0001217, UniRef:UniRef50_A0A198G6Z2"
"ATP-binding component of an ABC superfamily osmoprotectant transporter",NA,9,"GEGEGB_00737","SO:0001217, UniRef:UniRef50_A0A085AG43"
"ATP-binding protein Uup",NA,9,"GEGEGB_01962","SO:0001217, UniRef:UniRef50_P43672"
"ATP-dependent Clp protease ATP-binding subunit ClpX","clpX",9,"GEGEGB_02537","SO:0001217, UniRef:UniRef50_Q1QVW2"
"ATP-dependent Clp protease adapter protein ClpS","clpS",9,"GEGEGB_02093","SO:0001217, UniRef:UniRef50_B5XYB2"
"ATP/GTP-binding protein",NA,9,"GEGEGB_01527","SO:0001217, UniRef:UniRef50_A9MRR0"
"ATPase component of energizing moduleof queuosine-regulated ECF transporter",NA,9,"GEGEGB_03147","SO:0001217, UniRef:UniRef50_S5NC86"
"Ail/Lom family outer membrane beta-barrel protein",NA,9,"GEGEGB_02645","SO:0001217, UniRef:UniRef50_A0A2J4YQS5"
"Alpha-ketoglutarate permease",NA,9,"GEGEGB_00277","SO:0001217, UniRef:UniRef50_B2TYL0"
"Amino acid ABC transporter permease",NA,9,"GEGEGB_01618","SO:0001217, UniRef:UniRef50_A0A3S4IB21"
"Amino acid ABC transporter permease component",NA,9,"GEGEGB_01616","SO:0001217, UniRef:UniRef50_Q8ZPA2"
"Ammonium transporter",NA,9,"GEGEGB_02519","SO:0001217, UniRef:UniRef50_A0A380APN2"
"Anaerobic C4-dicarboxylate transporter DcuC","dcuC",9,"GEGEGB_02355","SO:0001217, UniRef:UniRef50_P0ABP3"
"Anhydromuropeptide permease",NA,9,"GEGEGB_02542","SO:0001217, UniRef:UniRef50_P0AE16"
"Arginine ABC transporter permease component",NA,9,"GEGEGB_02111","SO:0001217, UniRef:UniRef50_Q2NU06"
"Arginine ABC transporter permease protein ArtM","artM",9,"GEGEGB_02112","SO:0001217, UniRef:UniRef50_P0AE30"
"Arginine transport ATP-binding protein ArtP","artP",9,"GEGEGB_02109","SO:0001217, UniRef:UniRef50_A0AA41XYP2"
"Aspartate/glutamate permease AcaP","acaP",9,"GEGEGB_02070","SO:0001217, UniRef:UniRef50_A2RL65"
"Autoinducer 2 import ATP-binding protein LsrA","lsrA",9,"GEGEGB_03731","SO:0001217, UniRef:UniRef50_A0A379B5Q6"
"Autoinducer 2 import system permease protein LsrC","lsrC",9,"GEGEGB_03730","SO:0001217, UniRef:UniRef50_P77672"
"Autoinducer 2-binding protein LsrB","lsrB",9,"GEGEGB_03728","SO:0001217, UniRef:UniRef50_P76142"
"Bacterial microcompartment shell protein EutL","eutL",9,"GEGEGB_00438","SO:0001217, UniRef:UniRef50_P0A1C9"
"Bacterial microcompartment shell protein EutS","eutS",9,"GEGEGB_00425","SO:0001217, UniRef:UniRef50_Q9ZFV7"
"Bacterial microcompartment shell vertex protein EutN","eutN",9,"GEGEGB_00430","SO:0001217, UniRef:UniRef50_P41792"
"Benzoate transporter",NA,9,"GEGEGB_01595","SO:0001217, UniRef:UniRef50_A0A1X1D7S9"
"Biotin transporter",NA,9,"GEGEGB_03510","SO:0001217, UniRef:UniRef50_P0ADP5"
"Branched-chain amino acid ABC transporter permease",NA,9,"GEGEGB_03765","SO:0001217, UniRef:UniRef50_A8AL36"
"Branched-chain amino acid permease BrnQ","brnQ",9,"GEGEGB_02593","SO:0001217, UniRef:UniRef50_P0AD99"
"C4-dicarboxylate transporter DctC","dctC",9,"GEGEGB_04117","BlastRules:WP_000858214, BlastRules:WP_003082442, SO:0001217, UniRef:UniRef50_A0A097R7G0"
"CDF family cation-efflux transporter FieF","fieF",9,"GEGEGB_03744","BlastRules:WP_001076748, BlastRules:WP_003093118, NCBIProtein:BAE77395.1, SO:0001217, UniRef:UniRef50_P69380"
"Carbohydrate transporter",NA,9,"GEGEGB_02687","SO:0001217, UniRef:UniRef50_A0A3F3IR32"
"Cell division ATP-binding protein FtsE","ftsE",9,"GEGEGB_04168","SO:0001217, UniRef:UniRef50_P44871"
"Cell division protein FtsX","ftsX",9,"GEGEGB_04169","SO:0001217, UniRef:UniRef50_P0AC30"
"Chloramphenical resistance permease RarD","rarD",9,"GEGEGB_03518","SO:0001217, UniRef:UniRef50_A0A156JPX3"
"Chlorhexidine efflux transporter domain-containing protein",NA,9,"GEGEGB_03079","SO:0001217, UniRef:UniRef50_S5MZU1"
"Chloride channel protein",NA,9,"GEGEGB_00490","SO:0001217, UniRef:UniRef50_A0A919I7T6"
"Choline-binding protein",NA,9,"GEGEGB_00735","SO:0001217, UniRef:UniRef50_A0A379N3Q1"
"Citrate carrier",NA,9,"GEGEGB_03238","SO:0001217, UniRef:UniRef50_A9MQJ0"
"Citrate lyase acyl carrier protein",NA,9,"GEGEGB_00064","SO:0001217, UniRef:UniRef50_B7LVP5"
"Citrate transporter-like domain-containing protein",NA,9,"GEGEGB_03441","SO:0001217, UniRef:UniRef50_F3B4M1"
"ClpXP protease specificity-enhancing factor",NA,9,"GEGEGB_03426","SO:0001217, UniRef:UniRef50_A0A0T9TVK0"
"Coenzyme Q-binding protein COQ10 START domain-containing protein",NA,9,"GEGEGB_02774","SO:0001217, UniRef:UniRef50_H2FST7"
"Curved DNA-binding protein",NA,9,"GEGEGB_01908","SO:0001217, UniRef:UniRef50_A8AI78"
"Cyclic di-GMP binding protein BcsE","bcsE",9,"GEGEGB_04107","SO:0001217, UniRef:UniRef50_P37657"
"Cyclic di-GMP-binding protein",NA,9,"GEGEGB_04111","SO:0001217, UniRef:UniRef50_P37652"
"Cytochrome c-type protein NrfB","nrfB",9,"GEGEGB_04410","SO:0001217, UniRef:UniRef50_P0ABL1"
"Cytosine permease",NA,9,"GEGEGB_03417","SO:0001217, UniRef:UniRef50_P0AA82"
"D-serine/D-alanine/glycine transporter",NA,9,"GEGEGB_04682","SO:0001217, UniRef:UniRef50_Q6A5H4"
"DNA replication terminus site-binding protein",NA,9,"GEGEGB_01411","SO:0001217, UniRef:UniRef50_A0A2P5GTY5"
"DNA uptake porin HofQ","hofQ",9,"GEGEGB_04237","SO:0001217, UniRef:UniRef50_A0A7L7IMV1"
"DNA-binding protein Fis",NA,9,"GEGEGB_03470","SO:0001217, UniRef:UniRef50_P57902"
"DNA-binding protein HU-beta",NA,9,"GEGEGB_03639","SO:0001217, UniRef:UniRef50_A0A090ASH9"
"DedA family inner membrane protein YabI","yabI",9,"GEGEGB_00114","SO:0001217, UniRef:UniRef50_A0A377TMN9"
"Dipeptide and tripeptide permease A",NA,9,"GEGEGB_01394","SO:0001217, UniRef:UniRef50_Q0WEG0"
"Dipeptide and tripeptide permease B",NA,9,"GEGEGB_04138","SO:0001217, UniRef:UniRef50_P36837"
"Dipeptide and tripeptide permease C",NA,9,"GEGEGB_00320","SO:0001217, UniRef:UniRef50_P39276"
"Dipeptide permease D",NA,9,"GEGEGB_02277","SO:0001217, UniRef:UniRef50_Q7CQY0"
"Dipeptide transport system permease protein DppB","dppB",9,"GEGEGB_04098","SO:0001217, UniRef:UniRef50_P0AEF8"
"Dipeptide transport system permease protein DppC","dppC",9,"GEGEGB_04099","SO:0001217, UniRef:UniRef50_P0AEG1"
"DsdX permease","dsdX",9,"GEGEGB_03915","SO:0001217, UniRef:UniRef50_A0A2X2T347"
"ECF transporter S component",NA,9,"GEGEGB_03145","SO:0001217, UniRef:UniRef50_A8APE3"
"EamA family transporter RarD","rarD",9,"GEGEGB_03036","SO:0001217, UniRef:UniRef50_UPI0019CAF06C"
"Energy-coupling factor transporter transmembrane protein EcfT","ecfT",9,"GEGEGB_03146","SO:0001217, UniRef:UniRef50_A0A8S0FN79"
"Envelope stress response membrane protein PspB","pspB",9,"GEGEGB_01684","SO:0001217, UniRef:UniRef50_Q9F4H3"
"Envelope stress response membrane protein PspC","pspC",9,"GEGEGB_01683","SO:0001217, UniRef:UniRef50_A0A484Z727"
"Ethanolamine utilization microcompartment protein EutK","eutK",9,"GEGEGB_00439","SO:0001217, UniRef:UniRef50_A0A6L5EAN2"
"Extracellular solute-binding protein family 3",NA,9,"GEGEGB_02322","SO:0001217, UniRef:UniRef50_B1G7D0"
"Fe(3+)-siderophore ABC transporter permease",NA,9,"GEGEGB_02393","SO:0001217, UniRef:UniRef50_A0A7D5H6H1"
"Fe2+-enterobactin ABC transporter substrate-binding protein",NA,9,"GEGEGB_02391","SO:0001217, UniRef:UniRef50_A0A7H0MB01"
"Ferric enterobactin receptor",NA,9,"GEGEGB_02811","SO:0001217, UniRef:UniRef50_S6BLS3"
"Ferrienterobactin receptor",NA,9,"GEGEGB_02401","SO:0001217, UniRef:UniRef50_P05825"
"Fimbriae subunit",NA,9,"GEGEGB_02688","SO:0001217, UniRef:UniRef50_Q7CR56"
"Fimbrial chaperone protein",NA,9,"GEGEGB_02653","SO:0001217, UniRef:UniRef50_A0A3S4G1S0"
"Fimbrial outer membrane usher protein StdB","stdB",9,"GEGEGB_03088","SO:0001217, UniRef:UniRef50_A0A5U9WYF0"
"Fimbrial protein",NA,9,"GEGEGB_04883","SO:0001217, UniRef:UniRef50_A0A0F5B9S0"
"Fimbrial subunit",NA,9,"GEGEGB_04880","SO:0001217, UniRef:UniRef50_Q8ZJU2"
"Fimbrial usher protein StbD","stbD",9,"GEGEGB_02656","SO:0001217, UniRef:UniRef50_A0A6P1V930"
"Flagella basal body P-ring formation protein FlgA","flgA",9,"GEGEGB_01843","SO:0001217, UniRef:UniRef50_P75933"
"Flagella synthesis protein FlgN","flgN",9,"GEGEGB_01845","SO:0001217, UniRef:UniRef50_P43533"
"Flagellar FliJ protein","fliJ",9,"GEGEGB_00969","SO:0001217, UniRef:UniRef50_P52613"
"Flagellar L-ring protein",NA,9,"GEGEGB_01836","SO:0001217, UniRef:UniRef50_F7RW61"
"Flagellar M-ring protein",NA,9,"GEGEGB_00973","SO:0001217, UniRef:UniRef50_P15928"
"Flagellar P-ring protein",NA,9,"GEGEGB_01835","SO:0001217, UniRef:UniRef50_A0A0E3ZKT4"
"Flagellar basal body rod protein FlgB","flgB",9,"GEGEGB_01842","SO:0001217, UniRef:UniRef50_P16437"
"Flagellar basal-body rod protein FlgC","flgC",9,"GEGEGB_01841","SO:0001217, UniRef:UniRef50_A0A653ZK36"
"Flagellar biosynthesis protein FlhA","flhA",9,"GEGEGB_01025","SO:0001217, UniRef:UniRef50_Q89AN5"
"Flagellar biosynthetic protein FlhB","flhB",9,"GEGEGB_01024","SO:0001217, UniRef:UniRef50_A0AA94H4W7"
"Flagellar biosynthetic protein FliQ","fliQ",9,"GEGEGB_00962","SO:0001217, UniRef:UniRef50_P0AC07"
"Flagellar biosynthetic protein FliR","fliR",9,"GEGEGB_00961","SO:0001217, UniRef:UniRef50_P54702"
"Flagellar hook protein FlgE","flgE",9,"GEGEGB_01839","SO:0001217, UniRef:UniRef50_A0A2T7AJ89"
"Flagellar hook-associated protein 1",NA,9,"GEGEGB_01833","SO:0001217, UniRef:UniRef50_A0A376TIC6"
"Flagellar hook-associated protein 3",NA,9,"GEGEGB_01832","SO:0001217, UniRef:UniRef50_Q6D6G9"
"Flagellar hook-basal body complex protein FliE","fliE",9,"GEGEGB_00974","SO:0001217, UniRef:UniRef50_A0A0U5GMW4"
"Flagellar motor stator protein MotA","motA",9,"GEGEGB_01015","SO:0001217, UniRef:UniRef50_A0AA95GI55"
"Flagellar motor switch protein FliG","fliG",9,"GEGEGB_00972","SO:0001217, UniRef:UniRef50_Q7VYE6"
"Flagellar motor switch protein FliM","fliM",9,"GEGEGB_00966","SO:0001217, UniRef:UniRef50_P06974"
"Flagellar motor switch protein FliN","fliN",9,"GEGEGB_00965","SO:0001217, UniRef:UniRef50_P15070"
"Flagellar protein FliL","fliL",9,"GEGEGB_00967","SO:0001217, UniRef:UniRef50_A1JSW4"
"Flagellar protein FliO","fliO",9,"GEGEGB_00964","SO:0001217, UniRef:UniRef50_P0A1L1"
"Flagellar regulator flk",NA,9,"GEGEGB_00533","SO:0001217, UniRef:UniRef50_P15286"
"Flagellar secretion chaperone FliS","fliS",9,"GEGEGB_00981","SO:0001217, UniRef:UniRef50_P26609"
"Flagellar transcriptional regulator FlhC","flhC",9,"GEGEGB_01014","SO:0001217, UniRef:UniRef50_J7TP89"
"Flagellar transcriptional regulator FlhD","flhD",9,"GEGEGB_01013","SO:0001217, UniRef:UniRef50_Q8XCE8"
"Flagellum-specific ATP synthase",NA,9,"GEGEGB_00970","SO:0001217, UniRef:UniRef50_A0A484X499"
"Fluoride-specific ion channel FluC","fluC",9,"GEGEGB_02352","SO:0001217, UniRef:UniRef50_Q6D7N0"
"Formate transporter",NA,9,"GEGEGB_00510","SO:0001217, UniRef:UniRef50_A0A1Y0L9R0"
"Formate transporter FocA","focA",9,"GEGEGB_02064","SO:0001217, UniRef:UniRef50_A0A1V4B3H6"
"Fructose permease IID component",NA,9,"GEGEGB_01108","SO:0001217, UniRef:UniRef50_P26382"
"GPH family transporter",NA,9,"GEGEGB_00164","SO:0001217, UniRef:UniRef50_A0A0E1GVZ2"
"Galactoside transporter permease MglC","mglC",9,"GEGEGB_00711","SO:0001217, UniRef:UniRef50_A0A447R1S8"
"Glutamate transport ATP-binding protein",NA,9,"GEGEGB_02167","SO:0001217, UniRef:UniRef50_A0A085GK57"
"Glutamate transport ATP-binding protein GluA","gluA",9,"GEGEGB_02326","SO:0001217, UniRef:UniRef50_Q8RQL7"
"Glutamine ABC transporter permease GlnP","glnP",9,"GEGEGB_02166","SO:0001217, UniRef:UniRef50_A0AAE9R8E0"
"Glutathione import ATP-binding protein GsiA","gsiA",9,"GEGEGB_02145","SO:0001217, UniRef:UniRef50_P75796"
"Glutathione transport system permease protein GsiC","gsiC",9,"GEGEGB_02143","SO:0001217, UniRef:UniRef50_P75798"
"Glutathione transport system permease protein GsiD","gsiD",9,"GEGEGB_02142","SO:0001217, UniRef:UniRef50_A0A377TP34"
"Glutathione-binding protein GsiB","gsiB",9,"GEGEGB_02144","SO:0001217, UniRef:UniRef50_P75797"
"Glycerol-3-phosphate transporter",NA,9,"GEGEGB_00621","SO:0001217, UniRef:UniRef50_P37948"
"Glycine transporter domain-containing protein",NA,9,"GEGEGB_03989","SO:0001217, UniRef:UniRef50_A0A088QDU6"
"H(+)/Cl(-) exchange transporter ClcA","clcA",9,"GEGEGB_00216","SO:0001217, UniRef:UniRef50_Q8ZRP8"
"H-NS-and StpA-binding protein",NA,9,"GEGEGB_01403","SO:0001217, UniRef:UniRef50_A0A2B7MLN2"
"HAAAP family serine/threonine permease SdaC","sdaC",9,"GEGEGB_03018","BlastRules:WP_000450476, SO:0001217, UniRef:UniRef50_P0AAD6"
"Heme-binding protein A",NA,9,"GEGEGB_04097","SO:0001217, UniRef:UniRef50_P33950"
"High-affinity branched-chain amino acid transport ATP-binding protein BraG","braG",9,"GEGEGB_04178","SO:0001217, UniRef:UniRef50_P21630"
"High-affinity branched-chain amino acid transport system permease protein LivH","livH",9,"GEGEGB_04175","SO:0001217, UniRef:UniRef50_P0AEX7"
"High-affinity gluconate transporter",NA,9,"GEGEGB_04213","SO:0001217, UniRef:UniRef50_P39835"
"High-affinity zinc uptake system membrane protein ZnuB","znuB",9,"GEGEGB_01047","SO:0001217, UniRef:UniRef50_P39832"
"Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP","hisP",9,"GEGEGB_00553","SO:0001217, UniRef:UniRef50_P02915"
"Histone-like bacterial DNA-binding protein, hupB family","hupB",9,"GEGEGB_02534","SO:0001217, UniRef:UniRef50_C1DGL7"
"Inhibitor of glucose uptake transporter SgrT","sgrT",9,"GEGEGB_00120","SO:0001217, UniRef:UniRef50_A0A0J1LLN9"
"Inner membrane ABC transporter permease protein YejE","yejE",9,"GEGEGB_00679","SO:0001217, UniRef:UniRef50_P33915"
"Inner membrane ABC transporter permease protein yejB","yejB",9,"GEGEGB_00680","SO:0001217, UniRef:UniRef50_A0A4U9D2T2"
"Inner membrane protein YaaH","yaaH",9,"GEGEGB_00009","SO:0001217, UniRef:UniRef50_A0A8S0G258"
"Inner membrane protein YbbJ","ybbJ",9,"GEGEGB_02480","SO:0001217, UniRef:UniRef50_P0AAS3"
"Inner membrane protein YbhN","ybhN",9,"GEGEGB_02186","SO:0001217, UniRef:UniRef50_P75770"
"Inner membrane protein YbiR","ybiR",9,"GEGEGB_02155","SO:0001217, UniRef:UniRef50_P75788"
"Inner membrane protein YbjJ","ybjJ",9,"GEGEGB_02132","SO:0001217, UniRef:UniRef50_P75810"
"Inner membrane protein YbjM","ybjM",9,"GEGEGB_02128","SO:0001217, UniRef:UniRef50_P64439"
"Inner membrane protein YccF","yccF",9,"GEGEGB_01950","SO:0001217, UniRef:UniRef50_P0AB12"
"Inner membrane protein YccS","yccS",9,"GEGEGB_01951","SO:0001217, UniRef:UniRef50_P75870"
"Inner membrane protein YdcZ","ydcZ",9,"GEGEGB_01581","SO:0001217, UniRef:UniRef50_P76111"
"Inner membrane protein YdgK","ydgK",9,"GEGEGB_01402","SO:0001217, UniRef:UniRef50_A0A090V4A7"
"Inner membrane protein YdjM","ydjM",9,"GEGEGB_01270","SO:0001217, UniRef:UniRef50_P64481"
"Inner membrane protein YebE","yebE",9,"GEGEGB_01060","SO:0001217, UniRef:UniRef50_P33218"
"Inner membrane protein YebZ","yebZ",9,"GEGEGB_01066","SO:0001217, UniRef:UniRef50_P76278"
"Inner membrane protein YeeA","yeeA",9,"GEGEGB_00864","SO:0001217, UniRef:UniRef50_P33011"
"Inner membrane protein YejM","yejM",9,"GEGEGB_00669","SO:0001217, UniRef:UniRef50_P0AD27"
"Inner membrane protein YfeZ","yfeZ",9,"GEGEGB_00446","SO:0001217, UniRef:UniRef50_P76538"
"Inner membrane protein YgbE","ygbE",9,"GEGEGB_02969","SO:0001217, UniRef:UniRef50_P46141"
"Inner membrane protein YghB","yghB",9,"GEGEGB_03233","SO:0001217, UniRef:UniRef50_A0A2X3DNJ8"
"Inner membrane protein YhaH","yhaH",9,"GEGEGB_03312","SO:0001217, UniRef:UniRef50_P64590"
"Inner membrane protein YijD","yijD",9,"GEGEGB_03679","SO:0001217, UniRef:UniRef50_P0AF40"
"Inner membrane protein YlaC","ylaC",9,"GEGEGB_02512","SO:0001217, UniRef:UniRef50_P0AAS0"
"Inner membrane protein YohD","yohD",9,"GEGEGB_00730","SO:0001217, UniRef:UniRef50_A0A484YEZ6"
"Inner membrane protein YohK","yohK",9,"GEGEGB_00718","SO:0001217, UniRef:UniRef50_P0AD19"
"Inner membrane protein YpjD","ypjD",9,"GEGEGB_02766","SO:0001217, UniRef:UniRef50_P64432"
"Inner membrane protein YqiJ","yqiJ",9,"GEGEGB_03272","SO:0001217, UniRef:UniRef50_P76657"
"Inner membrane protein YqjE","yqjE",9,"GEGEGB_03308","SO:0001217, UniRef:UniRef50_A0A2Y9U2E3"
"Inner membrane protein YrbG","yrbG",9,"GEGEGB_03397","SO:0001217, UniRef:UniRef50_P45394"
"Inner membrane protein ybhQ","ybhQ",9,"GEGEGB_02183","SO:0001217, UniRef:UniRef50_A8AIZ5"
"Inner membrane protein ycdZ","ycdZ",9,"GEGEGB_01879","SO:0001217, UniRef:UniRef50_A0A8S0FXZ0"
"Inner membrane transport permease YadH","yadH",9,"GEGEGB_00189","SO:0001217, UniRef:UniRef50_P0AFN6"
"Inner membrane transporter YjeM","yjeM",9,"GEGEGB_04631","SO:0001217, UniRef:UniRef50_U5MSK9"
"Intermembrane phospholipid transport system ATP-binding protein MlaF","mlaF",9,"GEGEGB_03396","SO:0001217, UniRef:UniRef50_P63386"
"Intermembrane phospholipid transport system binding protein MlaC","mlaC",9,"GEGEGB_03393","SO:0001217, UniRef:UniRef50_P0ADV7"
"Intermembrane phospholipid transport system binding protein MlaD","mlaD",9,"GEGEGB_03394","SO:0001217, UniRef:UniRef50_P45029"
"Intermembrane phospholipid transport system permease protein MlaE","mlaE",9,"GEGEGB_03395","SO:0001217, UniRef:UniRef50_A0A418GDJ1"
"Inverse autotransporter beta-domain domain-containing protein",NA,9,"GEGEGB_01661","SO:0001217, UniRef:UniRef50_V1H4F9"
"Ion channel protein Tsx",NA,9,"GEGEGB_00470","SO:0001217, UniRef:UniRef50_D3VLA1"
"Iron ABC transporter",NA,9,"GEGEGB_00214","SO:0001217, UniRef:UniRef50_A0A0J8YC22"
"Iron export ABC transporter permease subunit FetB","fetB",9,"GEGEGB_02477","SO:0001217, UniRef:UniRef50_A0A0A7FTF0"
"Iron(3+)-hydroxamate import ATP-binding protein FhuC","fhuC",9,"GEGEGB_00212","SO:0001217, UniRef:UniRef50_P07821"
"Iron(3+)-hydroxamate-binding protein FhuD","fhuD",9,"GEGEGB_00213","SO:0001217, UniRef:UniRef50_P07822"
"Iron-siderophore ABC transporter permease",NA,9,"GEGEGB_02227","SO:0001217, UniRef:UniRef50_A0A0F6TZF5"
"Isocitrate dehydrogenase [NADP] 1",NA,9,"GEGEGB_01775","SO:0001217, UniRef:UniRef50_A0A5A4WIX0"
"Isocitrate dehydrogenase kinase/phosphatase",NA,9,"GEGEGB_04339","SO:0001217, UniRef:UniRef50_P51067"
"Isocitrate lyase",NA,9,"GEGEGB_04338","SO:0001217, UniRef:UniRef50_B6BQ52"
