# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_16	cds	4995	5579	+	PAPNPA_00039	260.0	5.2e-87	0.990	0.857	0.677	UniRef:UniRef50_P0A729
contig_16	cds	5650	5874	-	PAPNPA_00040	129.0	3.4e-39	1.216	1.0	0.756	UniRef:UniRef50_G5NAS5
contig_16	cds	6076	6576	-	PAPNPA_00041	-	-	-	-	-	-
contig_17	cds	215	688	+	PAPNPA_00042	-	-	-	-	-	-
contig_17	ncRNA	973	1101	+	PAPNPA_00043	111.3	3.1e-16	-	-	-	RFAM:RF02957
contig_17	cds	1163	2035	+	PAPNPA_00044	407.0	1.4e-142	0.993	0.980	0.722	UniRef:UniRef50_D4BHM6
contig_17	cds	2547	4715	+	PAPNPA_00045	469.0	3.4e-153	1.0	0.895	0.533	UniRef:UniRef50_A0A0T9QR00
contig_17	cds	4772	6502	+	PAPNPA_00046	1104.0	0.0	1.007	1.0	0.974	UniRef:UniRef50_A0A0R9PUQ5
contig_17	cds	6712	6885	+	PAPNPA_00047	-	-	-	-	-	-
contig_17	cds	7406	8860	-	PAPNPA_00048	574.0	9.7e-202	0.986	0.939	0.629	UniRef:UniRef50_N9WHX3
contig_17	cds	9055	9381	-	PAPNPA_00049	211.0	1.3e-70	1.093	0.959	0.898	UniRef:UniRef50_Q8ZNR8
contig_17	cds	9375	9839	-	PAPNPA_00050	213.0	1.2e-69	1.0	0.815	0.682	UniRef:UniRef50_A0A0Q4MNR9
contig_18	cds	281	835	+	PAPNPA_00051	232.0	3.8e-77	1.0	1.227	0.663	UniRef:UniRef50_A0AAX2K897
contig_18	cds	811	1068	-	PAPNPA_00052	128.0	1.3e-38	1.0	0.895	0.694	UniRef:UniRef50_A0A8E1RUV6
contig_18	cds	1065	1886	-	PAPNPA_00053	306.0	5.2e-103	0.982	0.934	0.545	UniRef:UniRef50_A0A0X9VZD4
contig_18	cds	1888	2460	-	PAPNPA_00054	294.0	1.1e-100	0.989	0.855	0.782	UniRef:UniRef50_P45748
contig_18	cds	2465	3007	-	PAPNPA_00055	246.0	7.1e-82	0.983	0.816	0.780	UniRef:UniRef50_P45771
contig_18	cds	3034	3507	-	PAPNPA_00056	291.0	1.1e-100	0.994	0.881	0.917	UniRef:UniRef50_P0A828
contig_18	cds	3479	4603	-	PAPNPA_00057	496.0	7.5e-175	1.0	0.987	0.671	UniRef:UniRef50_A0A6N2WU06
contig_18	cds	4735	5244	+	PAPNPA_00058	227.0	7.5e-75	1.006	0.850	0.688	UniRef:UniRef50_P57948
contig_18	cds	5260	6207	+	PAPNPA_00059	556.0	1.7e-199	1.0	0.838	0.879	UniRef:UniRef50_P23882
contig_18	cds	6259	7548	+	PAPNPA_00060	746.0	1.1e-270	1.0	0.850	0.841	UniRef:UniRef50_P36929
contig_18	cds	7570	8946	+	PAPNPA_00061	552.0	4.1e-193	1.0	0.856	0.616	UniRef:UniRef50_Q8EKR1
contig_18	cds	9088	9501	+	PAPNPA_00062	254.0	1.5e-86	0.985	0.808	0.985	UniRef:UniRef50_P0A742
contig_18	cds	9437	9706	-	PAPNPA_00063	127.0	6.2e-38	1.045	0.861	0.720	UniRef:UniRef50_B7LRQ8
contig_18	cds	9764	10189	-	PAPNPA_00064	258.0	4.5e-88	0.943	0.821	0.992	UniRef:UniRef50_P0ACS5
contig_18	cds	10200	10568	-	PAPNPA_00065	180.0	1.0e-57	0.992	0.834	0.678	UniRef:UniRef50_A0A3D0EHT8
contig_19	cds	10	1050	-	PAPNPA_00066	565.0	2.4e-202	1.0	0.861	0.821	UniRef:UniRef50_P0AG82
contig_19	cds	1216	2589	-	PAPNPA_00067	493.0	4.8e-171	0.956	0.971	0.664	UniRef:UniRef50_A0A656BGN2
contig_19	cds	2638	3456	-	PAPNPA_00068	319.0	4.7e-108	1.007	0.958	0.584	UniRef:UniRef50_A0A1B7JTB9
contig_19	cds	3518	5308	+	PAPNPA_00069	869.0	1.4e-317	0.982	1.309	0.759	UniRef:UniRef50_A0A6C7I7A3
contig_19	cds	5459	7288	-	PAPNPA_00070	1056.0	0.0	0.979	0.951	0.904	UniRef:UniRef50_P59499
contig_19	cds	7476	8846	-	PAPNPA_00071	538.0	2.0e-188	0.978	0.901	0.612	UniRef:UniRef50_A7MMY0
contig_19	ncRNA	8930	9087	+	PAPNPA_00072	119.6	6.0e-16	-	-	-	RFAM:RF02060
contig_19	cds	9166	9864	-	PAPNPA_00073	436.0	1.3e-155	1.017	1.0	0.983	UniRef:UniRef50_Q8ZKW9
contig_19	cds	10094	10513	-	PAPNPA_00074	199.0	6.3e-65	0.964	0.876	0.746	UniRef:UniRef50_Q12HQ2
contig_19	cds	10534	10779	-	PAPNPA_00075	130.0	1.8e-39	1.0	0.853	0.778	UniRef:UniRef50_A0A920I920
contig_20	cds	414	2060	+	PAPNPA_00076	1063.0	0.0	1.042	1.0	0.958	UniRef:UniRef50_P25714
contig_20	cds	2202	3566	+	PAPNPA_00077	548.0	1.1e-192	1.044	0.994	0.627	UniRef:UniRef50_Q5NFF3
contig_20	cds	3749	4936	+	PAPNPA_00078	432.0	4.0e-148	1.035	0.893	0.579	UniRef:UniRef50_P31462
contig_20	cds	4905	5864	+	PAPNPA_00079	499.0	1.4e-177	0.984	0.918	0.752	UniRef:UniRef50_P31463
contig_20	cds	6022	6777	+	PAPNPA_00080	405.0	4.0e-143	0.992	0.984	0.779	UniRef:UniRef50_P0ADM8
contig_20	cds	6795	7361	+	PAPNPA_00081	207.0	4.0e-66	0.989	0.823	0.559	UniRef:UniRef50_A0A1X1EUE1
contig_20	cds	7406	8743	-	PAPNPA_00082	803.0	5.3e-296	1.0	1.0	0.964	BlastRules:WP_000019348
contig_20	cds	8912	9577	+	PAPNPA_00083	291.0	9.3e-99	0.991	0.905	0.616	UniRef:UniRef50_A0A0D6GJ90
contig_20	cds	9672	10397	-	PAPNPA_00084	328.0	6.5e-113	0.971	0.979	0.671	UniRef:UniRef50_A0A191W1Z7
contig_20	cds	10412	11185	-	PAPNPA_00085	321.0	8.0e-109	1.121	0.954	0.556	UniRef:UniRef50_A0A1M5Z1N6
contig_20	cds	11272	12162	-	PAPNPA_00086	545.0	2.2e-196	0.993	0.883	0.986	UniRef:UniRef50_P07654
contig_20	cds	12162	13121	-	PAPNPA_00087	462.0	2.1e-162	1.028	0.868	0.720	UniRef:UniRef50_P45191
contig_21	cds	220	1809	+	PAPNPA_00088	922.0	0.0	1.0	0.860	0.881	UniRef:UniRef50_P15639
contig_21	cds	1825	3114	+	PAPNPA_00089	813.0	2.1e-297	1.121	1.0	0.869	UniRef:UniRef50_P15640
contig_21	cds	3111	4436	-	PAPNPA_00090	592.0	8.2e-212	1.0	1.205	0.737	UniRef:UniRef50_A0A3S4KDD1
contig_21	cds	4442	6028	-	PAPNPA_00091	997.0	0.0	1.0	0.953	0.983	UniRef:UniRef50_P14377
contig_21	cds	6093	6548	+	PAPNPA_00092	166.0	8.5e-52	0.881	0.869	0.654	UniRef:UniRef50_A0A484Y856
contig_21	cds	6590	7282	-	PAPNPA_00093	327.0	1.9e-112	1.052	1.0	0.674	UniRef:UniRef50_P32681
contig_21	cds	7294	7566	-	PAPNPA_00094	97.1	7.2e-26	1.0	0.818	0.567	UniRef:UniRef50_A0A090ASH9
contig_21	cds	7753	8343	-	PAPNPA_00095	266.0	7.0e-90	1.0	0.970	0.633	UniRef:UniRef50_A0A6L2ZL37
contig_21	cds	8385	9056	-	PAPNPA_00096	388.0	4.5e-137	0.996	0.996	0.833	UniRef:UniRef50_I2BE02
contig_21	cds	9066	10130	-	PAPNPA_00097	497.0	1.5e-175	0.997	0.941	0.683	UniRef:UniRef50_A9KCZ5
contig_21	cds	10171	10944	-	PAPNPA_00098	450.0	2.9e-160	1.0	0.915	0.817	UniRef:UniRef50_P32664
contig_21	cds	11037	11525	+	PAPNPA_00099	252.0	5.2e-85	1.198	1.021	0.716	UniRef:UniRef50_P0AFX4
contig_21	cds	11889	13784	+	PAPNPA_00100	853.0	3.4e-307	0.990	0.959	0.659	UniRef:UniRef50_Q6G477
contig_21	cds	13784	14419	+	PAPNPA_00101	215.0	6.6e-69	0.929	0.820	0.571	UniRef:UniRef50_B5FF67
contig_21	cds	14412	15170	+	PAPNPA_00102	281.0	6.4e-94	1.004	0.984	0.577	UniRef:UniRef50_A0A8S0FGV7
contig_21	cds	15353	16123	+	PAPNPA_00103	481.0	8.4e-175	1.0	1.0	0.984	BlastRules:WP_000944065
contig_21	cds	16120	17253	+	PAPNPA_00104	509.0	4.9e-179	0.981	0.841	0.665	UniRef:UniRef50_A0A7T3X3R1
contig_21	cds	17474	18484	-	PAPNPA_00105	684.0	9.5e-253	1.0	1.0	0.991	VFDB:VFG004016
contig_21	cds	18792	18929	+	PAPNPA_00106	-	-	-	-	-	-
contig_21	cds	18883	19227	+	PAPNPA_00107	230.0	4.1e-78	1.0	1.0	0.956	UniRef:UniRef50_A0A0T9RQT6
contig_21	cds	19229	19510	-	PAPNPA_00108	111.0	8.2e-32	1.0	1.0	0.667	UniRef:UniRef50_A0A657G0Q6
contig_21	cds	19597	22707	-	PAPNPA_00109	1883.0	0.0	1.0	0.920	0.933	UniRef:UniRef50_A0A3S4IB59
contig_22	cds	75	428	+	PAPNPA_00110	-	-	-	-	-	-
contig_22	cds	434	1297	-	PAPNPA_00111	496.0	1.1e-177	1.0	0.953	0.895	UniRef:UniRef50_P43716
contig_22	cds	1348	2889	-	PAPNPA_00112	736.0	5.8e-265	0.996	0.973	0.748	UniRef:UniRef50_O51874
contig_22	cds	2902	3435	-	PAPNPA_00113	270.0	5.6e-92	1.0	0.957	0.825	UniRef:UniRef50_Q7NA91
contig_22	cds	3450	3848	-	PAPNPA_00114	-	-	-	-	-	-
contig_22	cds	4005	4229	-	PAPNPA_00115	90.9	4.9e-24	0.946	0.843	0.657	UniRef:UniRef50_Q8D3J8
contig_22	cds	4276	5091	-	PAPNPA_00116	334.0	3.6e-114	0.993	0.947	0.606	UniRef:UniRef50_P0AB98
contig_22	cds	5100	5480	-	PAPNPA_00117	132.0	1.5e-38	1.0	0.824	0.587	UniRef:UniRef50_P0ABC0
contig_22	cds	6096	6719	-	PAPNPA_00118	343.0	1.3e-119	0.976	0.849	0.822	UniRef:UniRef50_Q7NA87
contig_22	cds	6822	8711	-	PAPNPA_00119	1113.0	0.0	1.0	0.904	0.905	UniRef:UniRef50_P0A6U3
contig_22	cds	9090	9533	-	PAPNPA_00120	251.0	5.0e-85	1.0	0.891	0.803	UniRef:UniRef50_P03817
contig_22	cds	9623	10081	-	PAPNPA_00121	222.0	1.6e-73	0.980	0.909	0.752	UniRef:UniRef50_P0ACI6
contig_22	cds	10232	11224	+	PAPNPA_00122	516.0	1.2e-184	0.800	0.892	0.932	UniRef:UniRef50_A0A377E031
contig_22	cds	11229	12680	-	PAPNPA_00123	926.0	0.0	1.027	1.0	0.972	UniRef:UniRef50_Q8ZKW3
contig_22	cds	12674	14170	-	PAPNPA_00124	823.0	7.1e-299	1.0	0.888	0.843	UniRef:UniRef50_P31473
contig_22	cds	14518	16386	+	PAPNPA_00125	1036.0	0.0	1.0	0.931	0.834	UniRef:UniRef50_P63183
contig_22	cds	16583	17002	+	PAPNPA_00126	228.0	1.7e-76	1.0	0.972	0.835	UniRef:UniRef50_A7MMV4
contig_22	cds	17010	18515	+	PAPNPA_00127	788.0	1.4e-286	0.932	0.994	0.878	UniRef:UniRef50_A0A2X3GG12
contig_22	cds	18521	19486	+	PAPNPA_00128	445.0	2.4e-157	0.807	0.992	0.977	UniRef:UniRef50_A0A377PRY9
contig_22	cds	19511	20401	+	PAPNPA_00129	344.0	6.1e-117	0.943	0.830	0.627	UniRef:UniRef50_P44737
contig_22	cds	20534	21463	+	PAPNPA_00130	489.0	1.9e-174	1.0	0.997	0.832	UniRef:UniRef50_A0A3P8M3X6
contig_22	cds	21476	22465	+	PAPNPA_00131	627.0	1.2e-227	1.088	0.992	0.911	UniRef:UniRef50_A8ACQ9
contig_22	cds	22431	23858	-	PAPNPA_00132	769.0	6.3e-279	0.981	0.930	0.869	UniRef:UniRef50_P31474
contig_22	cds	23870	24574	-	PAPNPA_00133	319.0	2.2e-109	0.970	0.912	0.714	UniRef:UniRef50_P31475
contig_23	cds	201	563	-	PAPNPA_00134	161.0	2.4e-50	0.983	0.831	0.636	UniRef:UniRef50_B7LM80
contig_23	cds	605	1861	-	PAPNPA_00135	794.0	3.4e-290	1.127	0.967	0.887	UniRef:UniRef50_P0AFF4
contig_23	cds	2078	3163	-	PAPNPA_00136	532.0	1.5e-190	0.801	0.983	0.910	UniRef:UniRef50_A0A376UH26
contig_23	cds	3276	3551	-	PAPNPA_00137	182.0	1.8e-59	1.0	0.805	0.934	UniRef:UniRef50_P0A8P3
contig_23	cds	3579	4631	-	PAPNPA_00138	545.0	4.2e-194	0.983	0.821	0.741	UniRef:UniRef50_A0A2L1US24
contig_23	cds	4786	5505	+	PAPNPA_00139	422.0	1.3e-149	1.0	0.851	0.841	UniRef:UniRef50_Q2NRB6
contig_23	cds	5505	5831	+	PAPNPA_00140	181.0	8.7e-59	1.0	1.0	0.787	UniRef:UniRef50_Q8EBX9
contig_23	cds	5881	6600	+	PAPNPA_00141	277.0	1.5e-92	0.962	0.913	0.600	UniRef:UniRef50_P0ADS9
contig_23	cds	6789	7835	+	PAPNPA_00142	458.0	5.7e-161	0.851	0.894	0.767	UniRef:UniRef50_A0A3S4FVM0
contig_23	cds	7968	8975	+	PAPNPA_00143	638.0	5.5e-232	1.048	1.0	0.937	UniRef:UniRef50_P46142
contig_23	cds	9067	10203	-	PAPNPA_00144	632.0	3.6e-228	0.995	0.964	0.803	UniRef:UniRef50_A0A523M839
contig_23	cds	10196	10789	-	PAPNPA_00145	258.0	3.7e-86	0.990	0.859	0.651	UniRef:UniRef50_A1WVN6
contig_23	cds	10797	11087	-	PAPNPA_00146	120.0	8.4e-35	1.021	0.838	0.622	UniRef:UniRef50_Q9CLC6
contig_23	cds	11084	11650	-	PAPNPA_00147	314.0	4.3e-109	1.005	1.0	0.899	UniRef:UniRef50_P64564
contig_23	cds	11669	12373	-	PAPNPA_00148	303.0	2.2e-102	0.979	0.818	0.694	UniRef:UniRef50_Q9KUQ4
contig_23	cds	12391	13371	+	PAPNPA_00149	397.0	2.8e-138	0.847	0.993	0.746	UniRef:UniRef50_A0A376RCW0
contig_23	cds	13503	14189	+	PAPNPA_00150	421.0	4.9e-149	1.0	0.811	0.934	UniRef:UniRef50_V5TVW8
contig_23	cds	14236	14652	-	PAPNPA_00151	167.0	4.3e-52	0.957	0.835	0.591	UniRef:UniRef50_A0AA42BB57
contig_23	cds	14652	15215	-	PAPNPA_00152	306.0	1.0e-105	1.0	0.882	0.786	UniRef:UniRef50_Q8ZHG3
contig_23	cds	15431	16378	-	PAPNPA_00153	511.0	1.6e-182	0.984	0.909	0.800	UniRef:UniRef50_P04425
contig_23	cds	16398	17129	-	PAPNPA_00154	332.0	6.0e-115	0.815	0.975	0.854	UniRef:UniRef50_A0A2X3FA23
contig_23	cds	17206	17913	-	PAPNPA_00155	264.0	1.0e-87	0.889	0.860	0.598	UniRef:UniRef50_A0A379IGJ8
contig_23	cds	18008	18463	-	PAPNPA_00156	-	-	-	-	-	-
contig_23	cds	18584	19978	-	PAPNPA_00157	882.0	0.0	1.0	1.0	0.974	BlastRules:WP_001112301
contig_23	cds	20471	21625	-	PAPNPA_00158	466.0	1.1e-162	0.990	0.977	0.650	UniRef:UniRef50_A0A2M6W2A7
contig_23	cds	22415	24391	+	PAPNPA_00159	903.0	0.0	0.964	1.002	0.707	UniRef:UniRef50_A0A447RRD8
contig_23	cds	24536	25267	+	PAPNPA_00160	398.0	5.8e-141	0.827	0.980	0.990	UniRef:UniRef50_W1WFG5
contig_23	cds	25472	26221	+	PAPNPA_00161	469.0	4.8e-168	0.984	0.878	1.0	UniRef:UniRef50_A0A1C3JG50
contig_23	cds	27453	28925	+	PAPNPA_00162	620.0	6.4e-220	0.941	0.897	0.651	UniRef:UniRef50_A0A655EK34
contig_24	cds	1	1179	-	PAPNPA_00163	572.0	7.1e-203	1.0	0.810	0.717	UniRef:UniRef50_P25534
contig_24	cds	1176	2492	-	PAPNPA_00164	706.0	5.5e-257	0.806	1.0	0.994	UniRef:UniRef50_A0A4U9IKB9
contig_24	cds	2518	3096	-	PAPNPA_00165	189.0	1.4e-59	1.057	1.010	0.517	UniRef:UniRef50_C5BAT6
contig_24	cds	3263	3592	+	PAPNPA_00166	128.0	5.8e-38	0.936	0.895	0.618	UniRef:UniRef50_A4WE62
contig_24	ncRNA	3634	3817	+	PAPNPA_00167	136.3	5.4e-25	-	-	-	RFAM:RF00013
contig_24	cds	3886	4434	+	PAPNPA_00168	313.0	9.3e-109	0.995	0.914	0.818	UniRef:UniRef50_A6VM34
contig_24	ncRNA	4449	4601	+	PAPNPA_00169	95.1	8.2e-15	-	-	-	RFAM:RF00113
contig_24	cds	4816	6048	-	PAPNPA_00170	680.0	6.8e-246	1.007	0.924	0.833	UniRef:UniRef50_A0A0E8LPW5
contig_24	cds	6315	6974	-	PAPNPA_00171	412.0	7.6e-146	1.0	0.808	0.977	UniRef:UniRef50_P44725
contig_24	cds	7128	8021	+	PAPNPA_00172	575.0	6.3e-211	1.0	1.0	0.973	BlastRules:WP_000828351
contig_24	cds	8287	9033	-	PAPNPA_00173	305.0	6.5e-103	1.012	0.896	0.653	UniRef:UniRef50_P0ADS6
contig_24	cds	9127	9762	-	PAPNPA_00174	383.0	3.3e-135	0.995	0.917	0.905	UniRef:UniRef50_P11667
contig_24	cds	9963	10823	-	PAPNPA_00175	417.0	9.0e-146	0.983	0.854	0.843	UniRef:UniRef50_P0C0S1
contig_24	cds	11056	12135	-	PAPNPA_00176	592.0	2.3e-212	1.192	1.0	0.699	UniRef:UniRef50_P0AB71
contig_24	cds	12237	13400	-	PAPNPA_00177	735.0	3.9e-271	1.0	1.0	1.0	BlastRules:WP_000111274
contig_24	cds	13422	14468	-	PAPNPA_00178	486.0	2.2e-171	0.971	0.878	0.701	UniRef:UniRef50_P0C6C2
contig_24	cds	14842	15267	+	PAPNPA_00179	231.0	4.9e-78	0.816	0.975	0.983	UniRef:UniRef50_A0A0H2V1L1
contig_24	cds	15293	15871	+	PAPNPA_00180	298.0	3.0e-102	1.0	0.853	0.917	UniRef:UniRef50_A8APE3
contig_24	cds	15872	16579	+	PAPNPA_00181	363.0	3.8e-127	0.898	1.0	0.820	UniRef:UniRef50_A0A8S0FN79
contig_24	cds	16567	17244	+	PAPNPA_00182	344.0	9.2e-120	1.0	0.991	0.742	UniRef:UniRef50_S5NC86
contig_24	cds	17238	17927	+	PAPNPA_00183	445.0	3.4e-159	1.0	0.939	0.987	UniRef:UniRef50_A0A2X4WBR2
contig_24	cds	17896	18612	-	PAPNPA_00184	339.0	5.5e-117	0.979	0.914	0.687	UniRef:UniRef50_P11664
contig_24	cds	18609	19118	-	PAPNPA_00185	338.0	1.1e-118	1.0	0.885	1.0	UniRef:UniRef50_P11663
contig_24	cds	19332	20303	-	PAPNPA_00186	329.0	2.1e-110	1.025	0.948	0.541	UniRef:UniRef50_A0A6I7LNI1
contig_24	cds	20300	21574	-	PAPNPA_00187	787.0	5.2e-288	1.050	0.998	0.872	UniRef:UniRef50_Q5E1G4
contig_24	cds	21598	22977	-	PAPNPA_00188	509.0	2.5e-176	1.041	0.917	0.567	UniRef:UniRef50_L0KCS6
contig_24	cds	23005	23448	-	PAPNPA_00189	202.0	4.1e-66	0.871	0.821	0.789	UniRef:UniRef50_P69824
contig_24	cds	23763	25754	-	PAPNPA_00190	1232.0	0.0	1.116	0.874	0.839	UniRef:UniRef50_P27302
contig_24	cds	26030	26788	+	PAPNPA_00191	300.0	1.9e-102	1.0	1.292	0.698	UniRef:UniRef50_A0A377LVB2
contig_24	cds	26889	27809	-	PAPNPA_00192	434.0	1.7e-152	0.993	0.997	0.658	UniRef:UniRef50_Q7VRG4
contig_24	cds	28014	28640	-	PAPNPA_00193	293.0	1.5e-99	1.226	1.0	0.639	UniRef:UniRef50_A0A5I8HY44
contig_24	cds	28900	29394	-	PAPNPA_00194	328.0	2.2e-115	1.0	1.0	1.0	UniRef:UniRef50_A0A379Q5Q7
contig_24	cds	29433	30440	-	PAPNPA_00195	514.0	2.5e-183	0.964	0.934	0.793	UniRef:UniRef50_A0A564MTD2
contig_24	cds	30454	30999	-	PAPNPA_00196	-	-	-	-	-	-
contig_25	cds	422	991	+	PAPNPA_00197	260.0	1.3e-87	0.995	0.940	0.686	UniRef:UniRef50_P76270
contig_25	cds	1089	1775	+	PAPNPA_00198	372.0	1.5e-130	1.075	1.0	0.890	UniRef:UniRef50_P60317
contig_25	cds	1795	3843	+	PAPNPA_00199	911.0	0.0	0.937	0.874	0.725	UniRef:UniRef50_P23865
contig_25	cds	4037	4918	+	PAPNPA_00200	525.0	1.7e-188	1.0	0.930	0.959	UniRef:UniRef50_P23894
contig_25	cds	4966	6339	-	PAPNPA_00201	687.0	1.4e-247	0.993	0.960	0.793	UniRef:UniRef50_A0A377WK07
contig_25	cds	6404	6511	+	PAPNPA_00202	73.9	1.5e-18	1.0	1.0	1.0	UniRef:UniRef50_A0A455RYX3
contig_25	cds	6515	7306	+	PAPNPA_00203	328.0	9.4e-112	0.989	0.922	0.623	UniRef:UniRef50_A0A128EZN5
contig_25	cds	7518	7757	-	PAPNPA_00204	78.2	6.5e-19	0.861	0.810	0.500	UniRef:UniRef50_A0A085JE78
contig_25	cds	7915	8058	+	PAPNPA_00205	101.0	2.7e-31	1.0	1.0	1.0	BlastRules:WP_000714547
contig_25	cds	8129	8416	+	PAPNPA_00206	107.0	1.1e-29	1.0	0.841	0.589	UniRef:UniRef50_A0A509BQG0
contig_25	ncRNA-region	9045	9504	+	-	131.7	3.5e-15	-	-	-	RFAM:RF01766
contig_25	cds	9221	9430	+	PAPNPA_00207	120.0	3.9e-38	1.0	1.0	0.826	BlastRules:WP_000034825
contig_25	cds	9650	11395	+	PAPNPA_00208	746.0	7.9e-265	0.986	0.801	0.637	UniRef:UniRef50_P0AD68
contig_25	cds	11461	12270	+	PAPNPA_00209	323.0	2.7e-109	1.108	0.968	0.567	UniRef:UniRef50_P36999
contig_25	cds	12267	12833	-	PAPNPA_00210	208.0	1.4e-66	1.154	0.960	0.530	UniRef:UniRef50_A0A085VMU3
contig_25	ncRNA-region	12945	13036	-	-	46.6	1.2e-08	-	-	-	RFAM:RF00080
contig_25	cds	13243	13701	-	PAPNPA_00211	251.0	4.3e-85	1.0	0.921	0.849	UniRef:UniRef50_A6TAZ1
contig_25	cds	13760	14611	-	PAPNPA_00212	323.0	2.7e-109	0.951	0.888	0.591	UniRef:UniRef50_P26382
contig_25	cds	14624	15424	-	PAPNPA_00213	464.0	9.2e-168	1.0	1.0	0.944	BlastRules:WP_000406926
